name,stra.14151,stra.14152,stra.14153,stra.14154,stra.13321,stra.14642
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,6.21E-05,6.18E-05,6.15E-05,6.12E-05,7.64E-05,6.79E-05
2,5.62E-05,5.56E-05,5.50E-05,5.44E-05,8.44E-05,6.75E-05
3,5.05E-05,4.97E-05,4.89E-05,4.81E-05,9.20E-05,6.71E-05
4,4.52E-05,4.42E-05,4.32E-05,4.23E-05,9.88E-05,6.67E-05
5,4.03E-05,3.91E-05,3.80E-05,3.69E-05,1.05E-04,6.64E-05
6,3.58E-05,3.44E-05,3.31E-05,3.20E-05,1.09E-04,6.61E-05
7,3.16E-05,3.01E-05,2.88E-05,2.76E-05,1.13E-04,6.58E-05
8,2.78E-05,2.62E-05,2.49E-05,2.36E-05,1.15E-04,6.55E-05
9,2.43E-05,2.27E-05,2.14E-05,2.01E-05,1.15E-04,6.53E-05
10,2.12E-05,1.96E-05,1.83E-05,1.71E-05,1.15E-04,6.52E-05
11,1.85E-05,1.69E-05,1.55E-05,1.44E-05,1.13E-04,6.51E-05
12,1.60E-05,1.45E-05,1.32E-05,1.21E-05,1.10E-04,6.51E-05
13,1.38E-05,1.24E-05,1.11E-05,1.01E-05,1.06E-04,6.52E-05
14,1.20E-05,1.05E-05,9.36E-06,8.38E-06,1.01E-04,6.54E-05
15,1.03E-05,8.95E-06,7.85E-06,6.95E-06,9.62E-05,6.56E-05
16,8.88E-06,7.59E-06,6.57E-06,5.75E-06,9.08E-05,6.61E-05
17,7.65E-06,6.43E-06,5.49E-06,4.74E-06,8.52E-05,6.66E-05
18,6.59E-06,5.45E-06,4.58E-06,3.90E-06,7.95E-05,6.73E-05
19,5.67E-06,4.61E-06,3.82E-06,3.21E-06,7.38E-05,6.82E-05
20,4.89E-06,3.91E-06,3.18E-06,2.64E-06,6.82E-05,6.92E-05
21,4.23E-06,3.31E-06,2.65E-06,2.17E-06,6.28E-05,7.05E-05
22,3.66E-06,2.81E-06,2.21E-06,1.78E-06,5.77E-05,7.20E-05
23,3.18E-06,2.39E-06,1.85E-06,1.47E-06,5.28E-05,7.37E-05
24,2.77E-06,2.04E-06,1.55E-06,1.21E-06,4.82E-05,7.57E-05
25,2.42E-06,1.75E-06,1.30E-06,1.00E-06,4.40E-05,7.80E-05
26,2.12E-06,1.50E-06,1.10E-06,8.29E-07,4.01E-05,8.06E-05
27,1.87E-06,1.29E-06,9.29E-07,6.90E-07,3.65E-05,8.36E-05
28,1.66E-06,1.12E-06,7.90E-07,5.77E-07,3.32E-05,8.70E-05
29,1.48E-06,9.76E-07,6.74E-07,4.84E-07,3.02E-05,9.07E-05
30,1.32E-06,8.54E-07,5.79E-07,4.09E-07,2.75E-05,9.50E-05
31,1.19E-06,7.53E-07,5.00E-07,3.47E-07,2.51E-05,9.97E-05
32,1.08E-06,6.68E-07,4.35E-07,2.97E-07,2.29E-05,1.05E-04
33,9.91E-07,5.97E-07,3.81E-07,2.56E-07,2.10E-05,1.11E-04
34,9.13E-07,5.37E-07,3.37E-07,2.22E-07,1.93E-05,1.18E-04
