name,stra.14151,stra.14152,stra.14153,stra.14154,stra.13321,stra.14642
72,3.23E-05,1.43E-05,7.06E-06,3.78E-06,7.17E-05,6.74E-04
73,3.42E-05,1.52E-05,7.51E-06,4.03E-06,7.24E-05,6.46E-04
74,3.63E-05,1.62E-05,7.98E-06,4.28E-06,7.29E-05,6.19E-04
75,3.83E-05,1.71E-05,8.46E-06,4.54E-06,7.34E-05,5.93E-04
76,4.04E-05,1.81E-05,8.95E-06,4.81E-06,7.37E-05,5.68E-04
77,4.26E-05,1.91E-05,9.45E-06,5.09E-06,7.40E-05,5.45E-04
78,4.48E-05,2.01E-05,9.96E-06,5.37E-06,7.41E-05,5.23E-04
79,4.70E-05,2.11E-05,1.05E-05,5.65E-06,7.42E-05,5.01E-04
80,4.93E-05,2.22E-05,1.10E-05,5.95E-06,7.42E-05,4.81E-04
81,5.16E-05,2.32E-05,1.16E-05,6.25E-06,7.41E-05,4.62E-04
82,5.39E-05,2.43E-05,1.21E-05,6.55E-06,7.39E-05,4.44E-04
83,5.63E-05,2.55E-05,1.27E-05,6.87E-06,7.37E-05,4.27E-04
84,5.87E-05,2.66E-05,1.33E-05,7.19E-06,7.34E-05,4.10E-04
85,6.12E-05,2.77E-05,1.39E-05,7.51E-06,7.31E-05,3.95E-04
86,6.37E-05,2.89E-05,1.45E-05,7.84E-06,7.26E-05,3.80E-04
87,6.62E-05,3.01E-05,1.51E-05,8.18E-06,7.22E-05,3.65E-04
88,6.88E-05,3.13E-05,1.57E-05,8.53E-06,7.17E-05,3.52E-04
89,7.14E-05,3.26E-05,1.63E-05,8.88E-06,7.11E-05,3.39E-04
90,7.41E-05,3.38E-05,1.70E-05,9.24E-06,7.05E-05,3.27E-04
91,7.68E-05,3.51E-05,1.76E-05,9.61E-06,6.99E-05,3.15E-04
92,7.95E-05,3.64E-05,1.83E-05,9.98E-06,6.93E-05,3.04E-04
93,8.23E-05,3.77E-05,1.90E-05,1.04E-05,6.86E-05,2.93E-04
94,8.51E-05,3.90E-05,1.97E-05,1.07E-05,6.78E-05,2.83E-04
95,8.80E-05,4.04E-05,2.04E-05,1.11E-05,6.71E-05,2.73E-04
96,9.09E-05,4.18E-05,2.11E-05,1.15E-05,6.63E-05,2.64E-04
97,9.38E-05,4.32E-05,2.18E-05,1.19E-05,6.55E-05,2.55E-04
98,9.68E-05,4.46E-05,2.26E-05,1.23E-05,6.47E-05,2.46E-04
99,9.98E-05,4.60E-05,2.33E-05,1.28E-05,6.39E-05,2.38E-04
100,0.000102824,4.75E-05,2.41E-05,1.32E-05,6.30E-05,2.30E-04
101,0.00010591,4.90E-05,2.48E-05,1.36E-05,6.22E-05,2.23E-04
102,0.000109035,5.05E-05,2.56E-05,1.41E-05,6.13E-05,2.16E-04
103,0.000112197,5.20E-05,2.64E-05,1.45E-05,6.04E-05,2.09E-04
104,0.000115399,5.35E-05,2.72E-05,1.50E-05,5.95E-05,2.02E-04
105,0.000118638,5.51E-05,2.80E-05,1.54E-05,5.86E-05,1.96E-04
106,0.000121916,5.67E-05,2.89E-05,1.59E-05,5.77E-05,1.90E-04
107,0.000125232,5.83E-05,2.97E-05,1.64E-05,5.68E-05,1.84E-04
108,0.000128586,5.99E-05,3.06E-05,1.68E-05,5.59E-05,1.79E-04
109,0.000131978,6.15E-05,3.14E-05,1.73E-05,5.50E-05,1.73E-04
110,0.000135409,6.32E-05,3.23E-05,1.78E-05,5.40E-05,1.68E-04
111,0.000138878,6.49E-05,3.32E-05,1.83E-05,5.31E-05,1.63E-04
