name,stra.13543,stra.13544,stra.13545,stra.13546,stra.13547,stra.13664,stra.13665,stra.13666,stra.13667,stra.13668,stra.13785,stra.13786,stra.13787,stra.13788,stra.13789,stra.13906,stra.13907,stra.13908,stra.13909,stra.13910,stra.14027,stra.14028,stra.14029,stra.14030,stra.14031,
init,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,1.71E-03
0,6.81E-05,6.81E-05,6.79E-05,6.77E-05,6.74E-05,6.74E-05,6.74E-05,6.72E-05,6.69E-05,6.66E-05,6.66E-05,6.66E-05,6.63E-05,6.60E-05,6.57E-05,6.57E-05,6.56E-05,6.53E-05,6.50E-05,6.47E-05,6.46E-05,6.44E-05,6.41E-05,6.38E-05,6.35E-05,1.65E-03
1,6.79E-05,6.78E-05,6.74E-05,6.69E-05,6.63E-05,6.66E-05,6.64E-05,6.60E-05,6.54E-05,6.48E-05,6.50E-05,6.48E-05,6.43E-05,6.37E-05,6.31E-05,6.31E-05,6.28E-05,6.23E-05,6.17E-05,6.11E-05,6.10E-05,6.06E-05,6.00E-05,5.94E-05,5.88E-05,1.60E-03
2,6.76E-05,6.75E-05,6.69E-05,6.60E-05,6.51E-05,6.56E-05,6.54E-05,6.47E-05,6.38E-05,6.29E-05,6.33E-05,6.29E-05,6.21E-05,6.13E-05,6.03E-05,6.06E-05,6.01E-05,5.93E-05,5.84E-05,5.74E-05,5.74E-05,5.68E-05,5.60E-05,5.51E-05,5.42E-05,1.54E-03
3,6.74E-05,6.71E-05,6.62E-05,6.51E-05,6.38E-05,6.47E-05,6.43E-05,6.33E-05,6.21E-05,6.09E-05,6.16E-05,6.10E-05,6.00E-05,5.88E-05,5.75E-05,5.80E-05,5.74E-05,5.63E-05,5.51E-05,5.39E-05,5.40E-05,5.32E-05,5.21E-05,5.09E-05,4.98E-05,1.48E-03
4,6.71E-05,6.67E-05,6.55E-05,6.40E-05,6.24E-05,6.37E-05,6.31E-05,6.19E-05,6.03E-05,5.88E-05,5.99E-05,5.91E-05,5.78E-05,5.63E-05,5.47E-05,5.56E-05,5.47E-05,5.33E-05,5.18E-05,5.03E-05,5.07E-05,4.97E-05,4.83E-05,4.69E-05,4.55E-05,1.43E-03
5,6.68E-05,6.62E-05,6.47E-05,6.28E-05,6.09E-05,6.28E-05,6.20E-05,6.04E-05,5.85E-05,5.66E-05,5.82E-05,5.72E-05,5.56E-05,5.37E-05,5.19E-05,5.32E-05,5.20E-05,5.03E-05,4.86E-05,4.68E-05,4.76E-05,4.63E-05,4.47E-05,4.30E-05,4.15E-05,1.37E-03
6,6.65E-05,6.57E-05,6.38E-05,6.16E-05,5.92E-05,6.18E-05,6.08E-05,5.88E-05,5.66E-05,5.44E-05,5.66E-05,5.53E-05,5.33E-05,5.12E-05,4.91E-05,5.08E-05,4.94E-05,4.74E-05,4.54E-05,4.35E-05,4.46E-05,4.31E-05,4.12E-05,3.93E-05,3.76E-05,1.32E-03
7,6.62E-05,6.51E-05,6.28E-05,6.02E-05,5.75E-05,6.09E-05,5.96E-05,5.72E-05,5.47E-05,5.21E-05,5.50E-05,5.34E-05,5.11E-05,4.87E-05,4.63E-05,4.86E-05,4.69E-05,4.47E-05,4.24E-05,4.02E-05,4.17E-05,4.00E-05,3.79E-05,3.59E-05,3.40E-05,1.26E-03
8,6.59E-05,6.45E-05,6.19E-05,5.88E-05,5.58E-05,6.00E-05,5.83E-05,5.56E-05,5.27E-05,4.98E-05,5.35E-05,5.16E-05,4.89E-05,4.62E-05,4.36E-05,4.64E-05,4.45E-05,4.20E-05,3.95E-05,3.71E-05,3.91E-05,3.71E-05,3.48E-05,3.26E-05,3.06E-05,1.21E-03
9,6.56E-05,6.39E-05,6.08E-05,5.74E-05,5.39E-05,5.91E-05,5.71E-05,5.40E-05,5.07E-05,4.75E-05,5.20E-05,4.98E-05,4.68E-05,4.38E-05,4.09E-05,4.44E-05,4.22E-05,3.94E-05,3.67E-05,3.42E-05,3.66E-05,3.44E-05,3.19E-05,2.96E-05,2.75E-05,1.16E-03
10,6.54E-05,6.33E-05,5.98E-05,5.59E-05,5.21E-05,5.83E-05,5.59E-05,5.24E-05,4.88E-05,4.53E-05,5.06E-05,4.80E-05,4.47E-05,4.14E-05,3.83E-05,4.25E-05,3.99E-05,3.69E-05,3.40E-05,3.14E-05,3.42E-05,3.18E-05,2.92E-05,2.68E-05,2.46E-05,1.11E-03
11,6.53E-05,6.28E-05,5.87E-05,5.44E-05,5.02E-05,5.75E-05,5.48E-05,5.09E-05,4.69E-05,4.31E-05,4.93E-05,4.64E-05,4.27E-05,3.91E-05,3.58E-05,4.07E-05,3.78E-05,3.46E-05,3.15E-05,2.87E-05,3.21E-05,2.95E-05,2.67E-05,2.42E-05,2.20E-05,1.07E-03
12,6.52E-05,6.22E-05,5.77E-05,5.29E-05,4.84E-05,5.69E-05,5.37E-05,4.93E-05,4.50E-05,4.09E-05,4.80E-05,4.48E-05,4.08E-05,3.69E-05,3.35E-05,3.90E-05,3.59E-05,3.24E-05,2.91E-05,2.63E-05,3.01E-05,2.73E-05,2.44E-05,2.18E-05,1.96E-05,1.02E-03
13,6.51E-05,6.17E-05,5.67E-05,5.15E-05,4.66E-05,5.63E-05,5.26E-05,4.78E-05,4.31E-05,3.88E-05,4.69E-05,4.33E-05,3.89E-05,3.48E-05,3.12E-05,3.75E-05,3.40E-05,3.03E-05,2.69E-05,2.40E-05,2.83E-05,2.53E-05,2.23E-05,1.97E-05,1.74E-05,9.81E-04
14,6.52E-05,6.13E-05,5.57E-05,5.00E-05,4.48E-05,5.58E-05,5.16E-05,4.64E-05,4.14E-05,3.68E-05,4.59E-05,4.18E-05,3.72E-05,3.29E-05,2.91E-05,3.61E-05,3.23E-05,2.84E-05,2.49E-05,2.19E-05,2.67E-05,2.35E-05,2.03E-05,1.77E-05,1.55E-05,9.43E-04
15,6.54E-05,6.09E-05,5.47E-05,4.86E-05,4.30E-05,5.54E-05,5.07E-05,4.51E-05,3.97E-05,3.49E-05,4.50E-05,4.05E-05,3.55E-05,3.10E-05,2.71E-05,3.48E-05,3.07E-05,2.66E-05,2.30E-05,1.99E-05,2.52E-05,2.18E-05,1.86E-05,1.59E-05,1.38E-05,9.08E-04
16,6.58E-05,6.06E-05,5.38E-05,4.72E-05,4.13E-05,5.52E-05,4.99E-05,4.38E-05,3.80E-05,3.30E-05,4.43E-05,3.93E-05,3.40E-05,2.92E-05,2.52E-05,3.37E-05,2.93E-05,2.49E-05,2.12E-05,1.82E-05,2.39E-05,2.03E-05,1.70E-05,1.43E-05,1.22E-05,8.76E-04
17,6.62E-05,6.04E-05,5.30E-05,4.59E-05,3.97E-05,5.51E-05,4.93E-05,4.26E-05,3.65E-05,3.13E-05,4.37E-05,3.82E-05,3.25E-05,2.76E-05,2.35E-05,3.27E-05,2.80E-05,2.34E-05,1.96E-05,1.66E-05,2.28E-05,1.89E-05,1.56E-05,1.29E-05,1.08E-05,8.47E-04
18,6.69E-05,6.03E-05,5.22E-05,4.47E-05,3.81E-05,5.52E-05,4.87E-05,4.15E-05,3.51E-05,2.97E-05,4.32E-05,3.73E-05,3.12E-05,2.61E-05,2.19E-05,3.19E-05,2.68E-05,2.20E-05,1.82E-05,1.51E-05,2.17E-05,1.77E-05,1.43E-05,1.16E-05,9.61E-06,8.21E-04
19,6.78E-05,6.03E-05,5.15E-05,4.35E-05,3.66E-05,5.54E-05,4.82E-05,4.05E-05,3.37E-05,2.81E-05,4.29E-05,3.64E-05,3.00E-05,2.47E-05,2.04E-05,3.12E-05,2.57E-05,2.08E-05,1.68E-05,1.38E-05,2.09E-05,1.66E-05,1.31E-05,1.05E-05,8.54E-06,7.98E-04
20,6.88E-05,6.06E-05,5.10E-05,4.24E-05,3.53E-05,5.58E-05,4.79E-05,3.96E-05,3.25E-05,2.67E-05,4.28E-05,3.57E-05,2.89E-05,2.34E-05,1.90E-05,3.07E-05,2.48E-05,1.97E-05,1.56E-05,1.26E-05,2.01E-05,1.57E-05,1.21E-05,9.52E-06,7.60E-06,7.79E-04
21,7.02E-05,6.09E-05,5.06E-05,4.15E-05,3.40E-05,5.65E-05,4.78E-05,3.88E-05,3.14E-05,2.54E-05,4.29E-05,3.52E-05,2.80E-05,2.22E-05,1.78E-05,3.03E-05,2.40E-05,1.86E-05,1.46E-05,1.15E-05,1.95E-05,1.48E-05,1.12E-05,8.64E-06,6.78E-06,7.63E-04
22,7.18E-05,6.15E-05,5.03E-05,4.07E-05,3.29E-05,5.74E-05,4.78E-05,3.82E-05,3.04E-05,2.42E-05,4.31E-05,3.47E-05,2.71E-05,2.12E-05,1.67E-05,3.01E-05,2.33E-05,1.77E-05,1.36E-05,1.06E-05,1.90E-05,1.41E-05,1.04E-05,7.86E-06,6.06E-06,7.51E-04
23,7.37E-05,6.23E-05,5.02E-05,3.99E-05,3.18E-05,5.86E-05,4.80E-05,3.77E-05,2.95E-05,2.32E-05,4.36E-05,3.45E-05,2.64E-05,2.03E-05,1.57E-05,3.00E-05,2.28E-05,1.70E-05,1.28E-05,9.76E-06,1.87E-05,1.35E-05,9.74E-06,7.19E-06,5.43E-06,7.42E-04
24,7.60E-05,6.33E-05,5.02E-05,3.93E-05,3.09E-05,6.00E-05,4.83E-05,3.74E-05,2.87E-05,2.22E-05,4.43E-05,3.43E-05,2.58E-05,1.94E-05,1.48E-05,3.01E-05,2.23E-05,1.63E-05,1.20E-05,9.03E-06,1.84E-05,1.30E-05,9.13E-06,6.59E-06,4.89E-06,7.37E-04
25,7.87E-05,6.46E-05,5.04E-05,3.89E-05,3.01E-05,6.18E-05,4.89E-05,3.72E-05,2.81E-05,2.14E-05,4.52E-05,3.44E-05,2.53E-05,1.87E-05,1.40E-05,3.04E-05,2.20E-05,1.57E-05,1.13E-05,8.38E-06,1.83E-05,1.25E-05,8.60E-06,6.08E-06,4.42E-06,7.36E-04
26,8.18E-05,6.62E-05,5.08E-05,3.86E-05,2.94E-05,6.39E-05,4.98E-05,3.71E-05,2.76E-05,2.07E-05,4.64E-05,3.46E-05,2.50E-05,1.81E-05,1.33E-05,3.09E-05,2.19E-05,1.52E-05,1.08E-05,7.81E-06,1.83E-05,1.22E-05,8.15E-06,5.63E-06,4.02E-06,7.38E-04
27,8.55E-05,6.81E-05,5.15E-05,3.84E-05,2.88E-05,6.65E-05,5.09E-05,3.72E-05,2.72E-05,2.00E-05,4.79E-05,3.50E-05,2.47E-05,1.76E-05,1.28E-05,3.16E-05,2.18E-05,1.48E-05,1.03E-05,7.32E-06,1.84E-05,1.19E-05,7.77E-06,5.25E-06,3.67E-06,7.45E-04
