name,stra.13321,stra.13442,stra.13453,stra.13563,stra.13684,stra.14642,stra.14153
153,0.00012266,0.00040735,0.000457456,0.000610423,0.000546515,1.67E-05,1.06E-04
154,0.000121589,0.000406818,0.000458117,0.000612755,0.000550536,1.62E-05,1.08E-04
155,0.000120522,0.000406257,0.000458742,0.000615039,0.000554529,1.57E-05,1.09E-04
156,0.00011946,0.000405667,0.000459331,0.000617277,0.000558496,1.52E-05,1.11E-04
157,0.000118402,0.000405051,0.000459885,0.000619468,0.000562435,1.48E-05,1.12E-04
158,0.00011735,0.000404407,0.000460404,0.000621613,0.000566348,1.44E-05,1.14E-04
159,0.000116302,0.000403737,0.00046089,0.000623713,0.000570233,1.40E-05,1.16E-04
160,0.00011526,0.000403042,0.000461342,0.000625769,0.000574092,1.36E-05,1.17E-04
161,0.000114223,0.000402323,0.000461761,0.000627779,0.000577923,1.32E-05,1.19E-04
162,0.000113191,0.000401579,0.000462148,0.000629746,0.000581728,1.28E-05,1.20E-04
163,0.000112165,0.000400812,0.000462504,0.000631669,0.000585506,1.24E-05,1.22E-04
164,0.000111145,0.000400022,0.000462828,0.00063355,0.000589257,1.21E-05,1.24E-04
165,0.000110131,0.00039921,0.000463122,0.000635388,0.000592981,1.18E-05,1.25E-04
166,0.000109122,0.000398377,0.000463386,0.000637183,0.000596678,1.14E-05,1.27E-04
167,0.00010812,0.000397523,0.000463621,0.000638937,0.000600349,1.11E-05,1.28E-04
168,0.000107123,0.000396648,0.000463826,0.00064065,0.000603993,1.08E-05,1.30E-04
169,0.000106133,0.000395754,0.000464003,0.000642323,0.000607611,1.05E-05,1.32E-04
170,0.000105149,0.000394841,0.000464152,0.000643955,0.000611202,1.02E-05,1.33E-04
171,0.000104172,0.000393909,0.000464274,0.000645547,0.000614767,9.96E-06,1.35E-04
172,0.000103201,0.000392959,0.000464368,0.0006471,0.000618305,9.69E-06,1.37E-04
173,0.000102236,0.000391992,0.000464437,0.000648614,0.000621818,9.43E-06,1.38E-04
174,0.000101279,0.000391007,0.000464479,0.000650089,0.000625303,9.18E-06,1.40E-04
175,0.000100327,0.000390007,0.000464495,0.000651526,0.000628763,8.94E-06,1.42E-04
176,9.94E-05,0.00038899,0.000464487,0.000652926,0.000632197,8.70E-06,1.44E-04
177,9.84E-05,0.000387958,0.000464454,0.000654288,0.000635604,8.47E-06,1.45E-04
178,9.75E-05,0.00038691,0.000464396,0.000655614,0.000638986,8.25E-06,1.47E-04
179,9.66E-05,0.000385849,0.000464315,0.000656903,0.000642341,8.04E-06,1.49E-04
180,9.57E-05,0.000384773,0.000464211,0.000658156,0.000645671,7.83E-06,1.50E-04
181,9.48E-05,0.000383683,0.000464084,0.000659374,0.000648975,7.63E-06,1.52E-04
182,9.39E-05,0.000382581,0.000463934,0.000660557,0.000652254,7.44E-06,1.54E-04
183,9.30E-05,0.000381466,0.000463762,0.000661705,0.000655507,7.25E-06,1.56E-04
184,9.21E-05,0.000380338,0.000463569,0.000662818,0.000658734,7.06E-06,1.57E-04
185,9.12E-05,0.000379198,0.000463354,0.000663898,0.000661936,6.89E-06,1.59E-04
186,9.03E-05,0.000378047,0.000463119,0.000664944,0.000665113,6.71E-06,1.61E-04
187,8.94E-05,0.000376885,0.000462863,0.000665957,0.000668265,6.55E-06,1.63E-04
188,8.86E-05,0.000375713,0.000462587,0.000666937,0.000671391,6.38E-06,1.65E-04
189,8.77E-05,0.000374529,0.000462291,0.000667885,0.000674492,6.23E-06,1.66E-04
190,8.69E-05,0.000373336,0.000461976,0.000668801,0.000677569,6.07E-06,1.68E-04
191,8.60E-05,0.000372134,0.000461643,0.000669685,0.00068062,5.92E-06,1.70E-04
192,8.52E-05,0.000370922,0.00046129,0.000670538,0.000683647,5.78E-06,1.72E-04
193,8.44E-05,0.000369701,0.00046092,0.000671361,0.000686649,5.64E-06,1.74E-04
194,8.36E-05,0.000368472,0.000460531,0.000672153,0.000689627,5.50E-06,1.76E-04
195,8.27E-05,0.000367235,0.000460125,0.000672914,0.00069258,5.37E-06,1.78E-04
196,8.19E-05,0.00036599,0.000459702,0.000673646,0.000695508,5.24E-06,1.79E-04
197,8.11E-05,0.000364737,0.000459262,0.000674349,0.000698412,5.12E-06,1.81E-04
198,8.03E-05,0.000363477,0.000458806,0.000675022,0.000701293,5.00E-06,1.83E-04
199,7.96E-05,0.00036221,0.000458333,0.000675667,0.000704149,4.88E-06,1.85E-04
200,7.88E-05,0.000360936,0.000457845,0.000676284,0.000706981,4.76E-06,1.87E-04
201,7.80E-05,0.000359656,0.000457341,0.000676872,0.000709789,4.65E-06,1.89E-04
202,7.72E-05,0.000358371,0.000456822,0.000677433,0.000712573,4.54E-06,1.91E-04
203,7.65E-05,0.000357079,0.000456288,0.000677967,0.000715334,4.44E-06,1.93E-04
204,7.57E-05,0.000355782,0.000455739,0.000678474,0.000718071,4.34E-06,1.95E-04
205,7.50E-05,0.00035448,0.000455176,0.000678954,0.000720785,4.24E-06,1.97E-04
206,7.42E-05,0.000353172,0.000454599,0.000679408,0.000723475,4.14E-06,1.98E-04
207,7.35E-05,0.000351861,0.000454008,0.000679836,0.000726142,4.05E-06,2.00E-04
208,7.28E-05,0.000350544,0.000453404,0.000680239,0.000728786,3.95E-06,2.02E-04
209,7.21E-05,0.000349224,0.000452787,0.000680616,0.000731406,3.86E-06,2.04E-04
210,7.14E-05,0.000347899,0.000452157,0.000680968,0.000734004,3.78E-06,2.06E-04
211,7.06E-05,0.000346571,0.000451514,0.000681295,0.000736579,3.69E-06,2.08E-04
212,6.99E-05,0.00034524,0.000450859,0.000681599,0.000739131,3.61E-06,2.10E-04
213,6.93E-05,0.000343905,0.000450192,0.000681878,0.000741661,3.53E-06,2.12E-04
214,6.86E-05,0.000342567,0.000449513,0.000682133,0.000744168,3.45E-06,2.14E-04
215,6.79E-05,0.000341227,0.000448822,0.000682365,0.000746653,3.38E-06,2.16E-04
216,6.72E-05,0.000339884,0.000448121,0.000682574,0.000749115,3.30E-06,2.18E-04
217,6.65E-05,0.000338538,0.000447408,0.000682761,0.000751556,3.23E-06,2.20E-04
218,6.59E-05,0.00033719,0.000446684,0.000682924,0.000753974,3.16E-06,2.22E-04
219,6.52E-05,0.000335841,0.00044595,0.000683066,0.00075637,3.09E-06,2.24E-04
220,6.46E-05,0.000334489,0.000445205,0.000683186,0.000758744,3.03E-06,2.26E-04
221,6.39E-05,0.000333136,0.000444451,0.000683284,0.000761097,2.96E-06,2.28E-04
222,6.33E-05,0.000331782,0.000443686,0.00068336,0.000763428,2.90E-06,2.31E-04
223,6.27E-05,0.000330426,0.000442912,0.000683416,0.000765738,2.84E-06,2.33E-04
224,6.21E-05,0.000329069,0.000442129,0.000683451,0.000768026,2.78E-06,2.35E-04
225,6.14E-05,0.000327712,0.000441336,0.000683465,0.000770293,2.72E-06,2.37E-04
226,6.08E-05,0.000326353,0.000440534,0.000683459,0.000772538,2.66E-06,2.39E-04
227,6.02E-05,0.000324994,0.000439724,0.000683433,0.000774763,2.60E-06,2.41E-04
228,5.96E-05,0.000323635,0.000438905,0.000683388,0.000776966,2.55E-06,2.43E-04
229,5.90E-05,0.000322276,0.000438077,0.000683323,0.000779149,2.50E-06,2.45E-04
230,5.84E-05,0.000320916,0.000437242,0.000683239,0.000781311,2.44E-06,2.47E-04
231,5.79E-05,0.000319556,0.000436398,0.000683136,0.000783453,2.39E-06,2.49E-04
232,5.73E-05,0.000318197,0.000435547,0.000683015,0.000785574,2.35E-06,2.51E-04
233,5.67E-05,0.000316838,0.000434688,0.000682875,0.000787674,2.30E-06,2.54E-04
234,5.61E-05,0.00031548,0.000433822,0.000682717,0.000789755,2.25E-06,2.56E-04
235,5.56E-05,0.000314122,0.000432949,0.000682542,0.000791815,2.21E-06,2.58E-04
236,5.50E-05,0.000312765,0.000432068,0.000682348,0.000793855,2.16E-06,2.60E-04
237,5.45E-05,0.000311409,0.000431181,0.000682137,0.000795875,2.12E-06,2.62E-04
238,5.39E-05,0.000310053,0.000430287,0.00068191,0.000797876,2.07E-06,2.64E-04
239,5.34E-05,0.000308699,0.000429387,0.000681665,0.000799856,2.03E-06,2.67E-04
240,5.29E-05,0.000307347,0.000428481,0.000681404,0.000801818,1.99E-06,2.69E-04
241,5.23E-05,0.000305995,0.000427568,0.000681126,0.000803759,1.95E-06,2.71E-04
242,5.18E-05,0.000304645,0.000426649,0.000680832,0.000805681,1.91E-06,2.73E-04
243,5.13E-05,0.000303297,0.000425725,0.000680522,0.000807585,1.88E-06,2.75E-04
244,5.08E-05,0.00030195,0.000424795,0.000680197,0.000809468,1.84E-06,2.77E-04
245,5.03E-05,0.000300605,0.00042386,0.000679856,0.000811333,1.80E-06,2.80E-04
246,4.98E-05,0.000299263,0.000422919,0.0006795,0.000813179,1.77E-06,2.82E-04
247,4.93E-05,0.000297922,0.000421973,0.000679128,0.000815007,1.73E-06,2.84E-04
248,4.88E-05,0.000296583,0.000421022,0.000678742,0.000816815,1.70E-06,2.86E-04
249,4.83E-05,0.000295246,0.000420066,0.000678342,0.000818605,1.67E-06,2.89E-04
250,4.78E-05,0.000293912,0.000419106,0.000677927,0.000820377,1.64E-06,2.91E-04
251,4.73E-05,0.00029258,0.000418141,0.000677498,0.00082213,1.61E-06,2.93E-04
252,4.69E-05,0.000291251,0.000417171,0.000677055,0.000823865,1.58E-06,2.95E-04
253,4.64E-05,0.000289924,0.000416198,0.000676598,0.000825582,1.55E-06,2.98E-04
254,4.59E-05,0.0002886,0.00041522,0.000676127,0.000827281,1.52E-06,3.00E-04
255,4.55E-05,0.000287278,0.000414238,0.000675644,0.000828962,1.49E-06,3.02E-04
256,4.50E-05,0.00028596,0.000413252,0.000675147,0.000830625,1.46E-06,3.04E-04
257,4.46E-05,0.000284644,0.000412263,0.000674637,0.00083227,1.43E-06,3.07E-04
258,4.41E-05,0.000283331,0.00041127,0.000674115,0.000833898,1.41E-06,3.09E-04
259,4.37E-05,0.000282021,0.000410273,0.00067358,0.000835509,1.38E-06,3.11E-04
260,4.33E-05,0.000280715,0.000409273,0.000673032,0.000837102,1.35E-06,3.14E-04
261,4.28E-05,0.000279411,0.00040827,0.000672473,0.000838678,1.33E-06,3.16E-04
262,4.24E-05,0.000278111,0.000407264,0.000671901,0.000840237,1.30E-06,3.18E-04
263,4.20E-05,0.000276814,0.000406254,0.000671318,0.000841779,1.28E-06,3.20E-04
264,4.16E-05,0.00027552,0.000405242,0.000670724,0.000843304,1.26E-06,3.23E-04
265,4.11E-05,0.00027423,0.000404227,0.000670117,0.000844812,1.23E-06,3.25E-04
266,4.07E-05,0.000272943,0.00040321,0.0006695,0.000846303,1.21E-06,3.27E-04
267,4.03E-05,0.00027166,0.00040219,0.000668872,0.000847778,1.19E-06,3.30E-04
268,3.99E-05,0.00027038,0.000401167,0.000668232,0.000849237,1.17E-06,3.32E-04
269,3.95E-05,0.000269104,0.000400142,0.000667582,0.000850679,1.15E-06,3.34E-04
270,3.91E-05,0.000267832,0.000399115,0.000666922,0.000852105,1.13E-06,3.37E-04
271,3.88E-05,0.000266563,0.000398086,0.000666251,0.000853515,1.11E-06,3.39E-04
272,3.84E-05,0.000265298,0.000397055,0.00066557,0.000854909,1.09E-06,3.42E-04
273,3.80E-05,0.000264037,0.000396022,0.000664879,0.000856287,1.07E-06,3.44E-04
274,3.76E-05,0.00026278,0.000394987,0.000664178,0.000857649,1.05E-06,3.46E-04
275,3.72E-05,0.000261527,0.00039395,0.000663468,0.000858995,1.03E-06,3.49E-04
276,3.69E-05,0.000260278,0.000392912,0.000662748,0.000860326,1.01E-06,3.51E-04
277,3.65E-05,0.000259032,0.000391872,0.000662018,0.000861641,9.96E-07,3.53E-04
278,3.61E-05,0.000257791,0.000390831,0.00066128,0.000862941,9.79E-07,3.56E-04
279,3.58E-05,0.000256554,0.000389788,0.000660532,0.000864226,9.62E-07,3.58E-04
280,3.54E-05,0.000255321,0.000388745,0.000659776,0.000865495,9.45E-07,3.61E-04
281,3.51E-05,0.000254092,0.0003877,0.00065901,0.00086675,9.29E-07,3.63E-04
282,3.47E-05,0.000252868,0.000386654,0.000658237,0.000867989,9.13E-07,3.66E-04
283,3.44E-05,0.000251647,0.000385606,0.000657454,0.000869214,8.98E-07,3.68E-04
284,3.41E-05,0.000250431,0.000384558,0.000656664,0.000870424,8.82E-07,3.70E-04
285,3.37E-05,0.000249219,0.00038351,0.000655865,0.000871619,8.67E-07,3.73E-04
286,3.34E-05,0.000248011,0.00038246,0.000655059,0.0008728,8.53E-07,3.75E-04
287,3.31E-05,0.000246808,0.00038141,0.000654244,0.000873966,8.38E-07,3.78E-04
288,3.27E-05,0.000245609,0.000380359,0.000653422,0.000875118,8.24E-07,3.80E-04
289,3.24E-05,0.000244415,0.000379307,0.000652592,0.000876256,8.11E-07,3.83E-04
290,3.21E-05,0.000243225,0.000378256,0.000651755,0.000877379,7.97E-07,3.85E-04
291,3.18E-05,0.000242039,0.000377203,0.000650911,0.000878489,7.84E-07,3.88E-04
292,3.15E-05,0.000240858,0.000376151,0.000650059,0.000879584,7.71E-07,3.90E-04
293,3.12E-05,0.000239681,0.000375098,0.000649201,0.000880666,7.58E-07,3.92E-04
294,3.09E-05,0.000238509,0.000374045,0.000648335,0.000881734,7.46E-07,3.95E-04
295,3.05E-05,0.000237341,0.000372992,0.000647463,0.000882788,7.33E-07,3.97E-04
296,3.02E-05,0.000236178,0.000371939,0.000646584,0.000883829,7.21E-07,4.00E-04
297,3.00E-05,0.00023502,0.000370886,0.000645699,0.000884857,7.10E-07,4.02E-04
298,2.97E-05,0.000233866,0.000369833,0.000644807,0.000885871,6.98E-07,4.05E-04
299,2.94E-05,0.000232716,0.00036878,0.000643909,0.000886872,6.87E-07,4.07E-04
