name,stra.14027,stra.14031,stra.14032,stra.14148,stra.14149,stra.14151,stra.14152,stra.14153,stra.14269,stra.14397,stra.14399,stra.14512,stra.14632,stra.14642
981200,2.80E-156,1.22E-13,4.64E-59,6.05E-64,4.89E-68,1.16E-17,3.21E-64,5.05E-08,1.03E-43,0.0593896,0.157691,0.101231,1.60E-22,0.50282
981300,2.34E-156,1.06E-13,4.01E-59,5.53E-64,4.51E-68,1.07E-17,2.99E-64,4.70E-08,9.94E-44,0.0595245,0.158072,0.101562,1.42E-22,0.501583
981400,1.97E-156,9.10E-14,3.46E-59,5.05E-64,4.16E-68,9.96E-18,2.77E-64,4.36E-08,9.57E-44,0.0590927,0.156819,0.10078,1.23E-22,0.506144
981500,1.64E-156,7.83E-14,2.98E-59,4.61E-64,3.84E-68,9.24E-18,2.57E-64,4.05E-08,9.21E-44,0.0588611,0.156195,0.100011,1.05E-22,0.506339
981600,1.38E-156,6.75E-14,2.58E-59,4.21E-64,3.54E-68,8.58E-18,2.39E-64,3.76E-08,8.88E-44,0.0585814,0.155379,0.0991997,8.92E-23,0.509672
981700,1.15E-156,5.81E-14,2.22E-59,3.84E-64,3.26E-68,7.96E-18,2.22E-64,3.49E-08,8.55E-44,0.0584658,0.155042,0.0987826,7.69E-23,0.510353
981800,9.61E-157,4.99E-14,1.91E-59,3.50E-64,3.01E-68,7.38E-18,2.06E-64,3.24E-08,8.24E-44,0.0582646,0.154436,0.0983421,6.66E-23,0.511678
981900,8.04E-157,4.30E-14,1.65E-59,3.20E-64,2.78E-68,6.85E-18,1.91E-64,3.02E-08,7.95E-44,0.0582179,0.154288,0.0979601,5.71E-23,0.513118
982000,6.71E-157,3.69E-14,1.42E-59,2.92E-64,2.55E-68,6.35E-18,1.77E-64,2.80E-08,7.65E-44,0.0579748,0.153588,0.097451,4.91E-23,0.515885
982100,5.58E-157,3.16E-14,1.22E-59,2.65E-64,2.35E-68,5.87E-18,1.64E-64,2.59E-08,7.36E-44,0.0579272,0.153458,0.0974114,4.29E-23,0.515163
982200,4.65E-157,2.72E-14,1.05E-59,2.42E-64,2.16E-68,5.45E-18,1.52E-64,2.41E-08,7.09E-44,0.057948,0.153538,0.0972498,3.74E-23,0.516558
982300,3.87E-157,2.33E-14,8.99E-60,2.20E-64,1.99E-68,5.05E-18,1.41E-64,2.24E-08,6.84E-44,0.0581938,0.154203,0.0980265,3.34E-23,0.514841
982400,3.21E-157,2.00E-14,7.72E-60,2.00E-64,1.83E-68,4.67E-18,1.31E-64,2.07E-08,6.58E-44,0.0583107,0.154546,0.098619,3.00E-23,0.512659
982500,2.67E-157,1.71E-14,6.62E-60,1.82E-64,1.68E-68,4.31E-18,1.21E-64,1.92E-08,6.31E-44,0.0581658,0.15418,0.0986985,2.69E-23,0.513406
982600,2.22E-157,1.46E-14,5.67E-60,1.65E-64,1.54E-68,3.98E-18,1.12E-64,1.77E-08,6.07E-44,0.0581863,0.154263,0.0992496,2.44E-23,0.51244
982700,1.84E-157,1.25E-14,4.87E-60,1.50E-64,1.41E-68,3.68E-18,1.03E-64,1.64E-08,5.83E-44,0.0582833,0.154563,0.0999438,2.22E-23,0.510791
982800,1.54E-157,1.07E-14,4.18E-60,1.37E-64,1.30E-68,3.41E-18,9.56E-65,1.52E-08,5.61E-44,0.0581356,0.154107,0.100155,2.01E-23,0.512997
982900,1.28E-157,9.18E-15,3.58E-60,1.24E-64,1.19E-68,3.14E-18,8.83E-65,1.41E-08,5.38E-44,0.0580238,0.153811,0.100594,1.83E-23,0.511462
983000,1.06E-157,7.86E-15,3.07E-60,1.13E-64,1.09E-68,2.91E-18,8.16E-65,1.30E-08,5.18E-44,0.0580747,0.153961,0.101379,1.68E-23,0.510588
983100,8.80E-158,6.72E-15,2.63E-60,1.02E-64,1.00E-68,2.68E-18,7.54E-65,1.20E-08,4.97E-44,0.0580141,0.153839,0.101848,1.54E-23,0.508297
983200,7.34E-158,5.77E-15,2.26E-60,9.30E-65,9.22E-69,2.48E-18,6.99E-65,1.12E-08,4.78E-44,0.0581754,0.154332,0.102343,1.38E-23,0.50678
983300,6.12E-158,4.97E-15,1.95E-60,8.48E-65,8.50E-69,2.31E-18,6.50E-65,1.04E-08,4.61E-44,0.0584768,0.155233,0.103109,1.25E-23,0.505296
983400,5.11E-158,4.28E-15,1.68E-60,7.72E-65,7.82E-69,2.14E-18,6.03E-65,9.65E-09,4.43E-44,0.0585044,0.155379,0.103285,1.12E-23,0.503512
983500,4.27E-158,3.68E-15,1.45E-60,7.03E-65,7.19E-69,1.98E-18,5.59E-65,8.95E-09,4.26E-44,0.0584533,0.155306,0.103396,1.01E-23,0.50297
983600,3.57E-158,3.16E-15,1.25E-60,6.41E-65,6.62E-69,1.83E-18,5.18E-65,8.31E-09,4.10E-44,0.0585332,0.155548,0.103959,9.18E-24,0.502272
983700,2.98E-158,2.72E-15,1.08E-60,5.83E-65,6.09E-69,1.70E-18,4.80E-65,7.71E-09,3.95E-44,0.0585256,0.155574,0.10439,8.34E-24,0.500387
983800,2.49E-158,2.35E-15,9.31E-61,5.33E-65,5.62E-69,1.58E-18,4.47E-65,7.19E-09,3.81E-44,0.0587856,0.156346,0.105072,7.58E-24,0.498214
983900,2.10E-158,2.03E-15,8.06E-61,4.87E-65,5.19E-69,1.47E-18,4.16E-65,6.69E-09,3.67E-44,0.0586879,0.15606,0.105029,6.81E-24,0.499232
984000,1.76E-158,1.75E-15,6.97E-61,4.45E-65,4.79E-69,1.36E-18,3.86E-65,6.22E-09,3.53E-44,0.0583908,0.155258,0.104153,5.90E-24,0.500789
984100,1.48E-158,1.52E-15,6.03E-61,4.07E-65,4.43E-69,1.27E-18,3.60E-65,5.79E-09,3.40E-44,0.0584162,0.155374,0.10393,5.16E-24,0.501204
984200,1.24E-158,1.31E-15,5.23E-61,3.72E-65,4.09E-69,1.18E-18,3.35E-65,5.40E-09,3.28E-44,0.0583079,0.155113,0.103292,4.46E-24,0.503215
984300,1.04E-158,1.13E-15,4.51E-61,3.40E-65,3.77E-69,1.09E-18,3.11E-65,5.01E-09,3.15E-44,0.0580045,0.154304,0.102352,3.85E-24,0.506737
984400,8.68E-159,9.73E-16,3.89E-61,3.10E-65,3.48E-69,1.02E-18,2.89E-65,4.66E-09,3.04E-44,0.0580554,0.154485,0.102305,3.38E-24,0.50654
984500,7.25E-159,8.37E-16,3.36E-61,2.82E-65,3.20E-69,9.43E-19,2.68E-65,4.33E-09,2.92E-44,0.0581661,0.154838,0.102572,3.00E-24,0.505274
984600,6.06E-159,7.21E-16,2.90E-61,2.58E-65,2.95E-69,8.75E-19,2.49E-65,4.03E-09,2.82E-44,0.0582042,0.154952,0.10265,2.65E-24,0.505831
984700,5.07E-159,6.20E-16,2.49E-61,2.35E-65,2.72E-69,8.10E-19,2.30E-65,3.73E-09,2.70E-44,0.0576135,0.153312,0.101224,2.27E-24,0.50997
984800,4.22E-159,5.32E-16,2.14E-61,2.14E-65,2.50E-69,7.49E-19,2.13E-65,3.46E-09,2.60E-44,0.0574517,0.15292,0.100673,1.95E-24,0.509968
984900,3.53E-159,4.58E-16,1.85E-61,1.95E-65,2.30E-69,6.95E-19,1.98E-65,3.21E-09,2.50E-44,0.0574768,0.153028,0.100536,1.70E-24,0.511333
985000,2.95E-159,3.94E-16,1.59E-61,1.78E-65,2.12E-69,6.46E-19,1.84E-65,2.99E-09,2.41E-44,0.0576593,0.153554,0.100793,1.50E-24,0.510027
985100,2.46E-159,3.39E-16,1.37E-61,1.62E-65,1.95E-69,5.98E-19,1.71E-65,2.77E-09,2.32E-44,0.0573859,0.152777,0.100225,1.31E-24,0.512966
985200,2.05E-159,2.90E-16,1.18E-61,1.47E-65,1.79E-69,5.53E-19,1.58E-65,2.56E-09,2.23E-44,0.0570516,0.151852,0.0994379,1.13E-24,0.514112
985300,1.71E-159,2.49E-16,1.01E-61,1.34E-65,1.65E-69,5.12E-19,1.46E-65,2.38E-09,2.15E-44,0.057053,0.151841,0.0996033,1.00E-24,0.514172
985400,1.42E-159,2.13E-16,8.68E-62,1.22E-65,1.52E-69,4.74E-19,1.35E-65,2.20E-09,2.07E-44,0.056864,0.151256,0.0995485,8.84E-25,0.514551
985500,1.18E-159,1.83E-16,7.44E-62,1.11E-65,1.39E-69,4.38E-19,1.25E-65,2.04E-09,1.99E-44,0.0567622,0.150962,0.0997662,7.92E-25,0.514572
985600,9.84E-160,1.57E-16,6.39E-62,1.01E-65,1.28E-69,4.05E-19,1.16E-65,1.89E-09,1.91E-44,0.0563878,0.149828,0.0991759,6.97E-25,0.518145
985700,8.15E-160,1.34E-16,5.46E-62,9.17E-66,1.18E-69,3.74E-19,1.07E-65,1.75E-09,1.84E-44,0.0564343,0.149979,0.0998578,6.38E-25,0.517848
985800,6.75E-160,1.14E-16,4.66E-62,8.31E-66,1.08E-69,3.44E-19,9.85E-66,1.61E-09,1.76E-44,0.0562078,0.149352,0.100193,5.85E-25,0.518596
985900,5.59E-160,9.73E-17,3.99E-62,7.54E-66,9.86E-70,3.18E-19,9.12E-66,1.49E-09,1.69E-44,0.0564979,0.150204,0.101461,5.46E-25,0.517154
986000,4.62E-160,8.30E-17,3.41E-62,6.82E-66,9.03E-70,2.93E-19,8.41E-66,1.38E-09,1.63E-44,0.0567064,0.150853,0.102702,5.13E-25,0.51291
986100,3.84E-160,7.12E-17,2.93E-62,6.20E-66,8.30E-70,2.72E-19,7.80E-66,1.28E-09,1.56E-44,0.0570751,0.151927,0.104237,4.84E-25,0.51029
986200,3.19E-160,6.09E-17,2.51E-62,5.63E-66,7.61E-70,2.51E-19,7.22E-66,1.18E-09,1.50E-44,0.0574189,0.152958,0.105852,4.58E-25,0.50557
