name,stra.14151,stra.14152,stra.14153,stra.14154,stra.13321,stra.14642
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,6.23E-05,6.20E-05,6.17E-05,6.15E-05,7.64E-05,6.79E-05
2,5.67E-05,5.61E-05,5.55E-05,5.50E-05,8.45E-05,6.76E-05
3,5.12E-05,5.04E-05,4.96E-05,4.89E-05,9.21E-05,6.73E-05
4,4.61E-05,4.51E-05,4.41E-05,4.32E-05,9.92E-05,6.70E-05
5,4.13E-05,4.01E-05,3.90E-05,3.79E-05,1.05E-04,6.67E-05
6,3.69E-05,3.55E-05,3.43E-05,3.31E-05,1.10E-04,6.64E-05
7,3.27E-05,3.13E-05,2.99E-05,2.87E-05,1.14E-04,6.62E-05
8,2.90E-05,2.74E-05,2.60E-05,2.48E-05,1.17E-04,6.61E-05
9,2.55E-05,2.39E-05,2.25E-05,2.13E-05,1.18E-04,6.59E-05
10,2.24E-05,2.08E-05,1.94E-05,1.82E-05,1.18E-04,6.59E-05
11,1.97E-05,1.81E-05,1.67E-05,1.55E-05,1.16E-04,6.59E-05
12,1.72E-05,1.56E-05,1.42E-05,1.31E-05,1.14E-04,6.60E-05
13,1.50E-05,1.34E-05,1.21E-05,1.10E-05,1.10E-04,6.62E-05
14,1.30E-05,1.15E-05,1.03E-05,9.27E-06,1.06E-04,6.65E-05
15,1.13E-05,9.90E-06,8.73E-06,7.76E-06,1.02E-04,6.69E-05
16,9.85E-06,8.47E-06,7.38E-06,6.49E-06,9.69E-05,6.74E-05
17,8.55E-06,7.25E-06,6.23E-06,5.41E-06,9.16E-05,6.81E-05
18,7.43E-06,6.20E-06,5.25E-06,4.50E-06,8.61E-05,6.89E-05
19,6.47E-06,5.30E-06,4.43E-06,3.75E-06,8.07E-05,6.99E-05
20,5.63E-06,4.54E-06,3.73E-06,3.12E-06,7.53E-05,7.11E-05
21,4.92E-06,3.89E-06,3.15E-06,2.59E-06,7.00E-05,7.26E-05
22,4.30E-06,3.34E-06,2.66E-06,2.16E-06,6.49E-05,7.43E-05
23,3.78E-06,2.88E-06,2.25E-06,1.80E-06,6.00E-05,7.63E-05
24,3.33E-06,2.49E-06,1.92E-06,1.51E-06,5.55E-05,7.86E-05
25,2.95E-06,2.16E-06,1.63E-06,1.27E-06,5.12E-05,8.12E-05
26,2.62E-06,1.88E-06,1.40E-06,1.07E-06,4.72E-05,8.42E-05
27,2.34E-06,1.65E-06,1.20E-06,9.04E-07,4.35E-05,8.76E-05
28,2.11E-06,1.45E-06,1.04E-06,7.69E-07,4.02E-05,9.14E-05
29,1.91E-06,1.28E-06,9.03E-07,6.59E-07,3.71E-05,9.58E-05
30,1.74E-06,1.15E-06,7.91E-07,5.68E-07,3.43E-05,1.01E-04
31,1.60E-06,1.03E-06,6.98E-07,4.93E-07,3.18E-05,1.06E-04
32,1.48E-06,9.32E-07,6.21E-07,4.32E-07,2.96E-05,1.13E-04
33,1.38E-06,8.52E-07,5.57E-07,3.81E-07,2.76E-05,1.20E-04
34,1.30E-06,7.86E-07,5.05E-07,3.40E-07,2.59E-05,1.28E-04
35,1.24E-06,7.33E-07,4.62E-07,3.07E-07,2.44E-05,1.37E-04
36,1.19E-06,6.91E-07,4.28E-07,2.80E-07,2.31E-05,1.47E-04
37,1.16E-06,6.60E-07,4.02E-07,2.59E-07,2.21E-05,1.59E-04
38,1.14E-06,6.38E-07,3.82E-07,2.43E-07,2.12E-05,1.72E-04
39,1.15E-06,6.26E-07,3.69E-07,2.31E-07,2.06E-05,1.87E-04
40,1.16E-06,6.25E-07,3.63E-07,2.24E-07,2.02E-05,2.05E-04
41,1.20E-06,6.34E-07,3.63E-07,2.21E-07,2.00E-05,2.26E-04
42,1.26E-06,6.56E-07,3.70E-07,2.23E-07,2.01E-05,2.50E-04
43,1.36E-06,6.92E-07,3.85E-07,2.30E-07,2.05E-05,2.78E-04
44,1.48E-06,7.47E-07,4.11E-07,2.42E-07,2.12E-05,3.10E-04
45,1.66E-06,8.25E-07,4.49E-07,2.62E-07,2.24E-05,3.49E-04
46,1.90E-06,9.34E-07,5.03E-07,2.91E-07,2.40E-05,3.94E-04
47,2.23E-06,1.08E-06,5.78E-07,3.33E-07,2.63E-05,4.47E-04
48,2.67E-06,1.29E-06,6.81E-07,3.90E-07,2.94E-05,5.07E-04
49,3.25E-06,1.56E-06,8.21E-07,4.67E-07,3.33E-05,5.75E-04
50,4.03E-06,1.92E-06,1.01E-06,5.71E-07,3.82E-05,6.48E-04
51,5.02E-06,2.39E-06,1.25E-06,7.06E-07,4.42E-05,7.23E-04
52,6.26E-06,2.97E-06,1.55E-06,8.75E-07,5.11E-05,7.92E-04
53,7.72E-06,3.66E-06,1.91E-06,1.08E-06,5.85E-05,8.50E-04
54,9.38E-06,4.45E-06,2.32E-06,1.31E-06,6.63E-05,8.91E-04
55,1.12E-05,5.31E-06,2.77E-06,1.57E-06,7.38E-05,9.12E-04
56,1.31E-05,6.22E-06,3.25E-06,1.84E-06,8.09E-05,9.14E-04
57,1.50E-05,7.16E-06,3.75E-06,2.12E-06,8.74E-05,9.03E-04
58,1.70E-05,8.12E-06,4.26E-06,2.41E-06,9.33E-05,8.80E-04
59,1.90E-05,9.09E-06,4.78E-06,2.71E-06,9.87E-05,8.51E-04
60,2.10E-05,1.01E-05,5.30E-06,3.01E-06,1.04E-04,8.18E-04
61,2.30E-05,1.11E-05,5.84E-06,3.32E-06,1.08E-04,7.83E-04
62,2.50E-05,1.21E-05,6.38E-06,3.63E-06,1.12E-04,7.47E-04
