generation,stra.1,stra.2
init,0.437,0.563
0,0.437099492,0.562900508
1,0.437210592,0.562789408
2,0.437334655,0.562665345
3,0.437473196,0.562526804
4,0.437627906,0.562372094
5,0.437800675,0.562199325
6,0.437993615,0.562006385
7,0.438209084,0.561790916
8,0.438449718,0.561550282
9,0.438718463,0.561281537
10,0.43901861,0.56098139
11,0.439353837,0.560646163
12,0.439728258,0.560271742
13,0.440146469,0.559853531
14,0.44061361,0.55938639
15,0.441135428,0.558864572
16,0.441718349,0.558281651
17,0.442369564,0.557630436
18,0.443097115,0.556902885
19,0.44391,0.55609
20,0.44481829,0.55518171
21,0.445833259,0.554166741
22,0.446967525,0.553032475
23,0.448235222,0.551764778
24,0.449652178,0.550347822
25,0.451236122,0.548763878
26,0.45300692,0.54699308
27,0.454986831,0.545013169
28,0.457200799,0.542799201
29,0.459676775,0.540323225
30,0.46244608,0.53755392
31,0.465543796,0.534456204
32,0.469009208,0.530990792
33,0.472886268,0.527113732
34,0.477224105,0.522775895
35,0.482077547,0.517922453
36,0.487507652,0.512492348
37,0.493582221,0.506417779
38,0.500376242,0.499623758
39,0.507972203,0.492027797
40,0.516460179,0.483539821
41,0.525937562,0.474062438
42,0.536508222,0.463491778
43,0.548280864,0.451719136
44,0.561366224,0.438633776
45,0.575872685,0.424127315
46,0.591899839,0.408100161
47,0.609529481,0.390470519
48,0.628813671,0.371186329
49,0.649759783,0.350240217
50,0.672313121,0.327686879
51,0.696338698,0.303661302
52,0.721605132,0.278394868
53,0.747775072,0.252224928
54,0.774407398,0.225592602
55,0.80097585,0.19902415
56,0.826905874,0.173094126
57,0.851626449,0.148373551
58,0.874628016,0.125371984
59,0.895514021,0.104485979
60,0.914034299,0.085965701
61,0.930093883,0.069906117
62,0.943738271,0.056261729
63,0.955122313,0.044877687
64,0.964472393,0.035527607
65,0.972050358,0.027949642
66,0.978124475,0.021875525
67,0.982949292,0.017050708
68,0.986753837,0.013246163
69,0.989736384,0.010263616
70,0.992063736,0.007936264
71,0.993873225,0.006126775
72,0.995276081,0.004723919
73,0.996361271,0.003638729
74,0.997199284,0.002800716
75,0.997845558,0.002154442
76,0.998343448,0.001656552
77,0.998726718,0.001273282
78,0.999021574,9.78E-04
79,0.999248304,7.52E-04
80,0.999422586,5.77E-04
81,0.999556514,4.43E-04
82,0.99965941,3.41E-04
83,0.999738451,2.62E-04
84,0.99979916,2.01E-04
85,0.999845785,1.54E-04
86,0.999881589,1.18E-04
87,0.999909083,9.09E-05
88,0.999930194,6.98E-05
89,0.999946404,5.36E-05
90,0.999958851,4.11E-05
91,0.999968407,3.16E-05
92,0.999975744,2.43E-05
93,0.999981377,1.86E-05
94,0.999985702,1.43E-05
95,0.999989023,1.10E-05
96,0.999991572,8.43E-06
97,0.99999353,6.47E-06
98,0.999995032,4.97E-06
99,0.999996186,3.81E-06
100,0.999997072,2.93E-06
101,0.999997752,2.25E-06
102,0.999998274,1.73E-06
103,0.999998675,1.33E-06
104,0.999998983,1.02E-06
105,0.999999219,7.81E-07
106,0.9999994,6.00E-07
107,0.99999954,4.60E-07
