generation,stra.1,stra.2
init,0.001,0.999
0,0.001001319,0.998998681
1,0.001002643,0.998997357
2,0.00100397,0.99899603
3,0.0010053,0.9989947
4,0.001006635,0.998993365
5,0.001007974,0.998992026
6,0.001009316,0.998990684
7,0.001010662,0.998989338
8,0.001012012,0.998987988
9,0.001013366,0.998986634
10,0.001014725,0.998985275
11,0.001016087,0.998983913
12,0.001017452,0.998982548
13,0.001018822,0.998981178
14,0.001020196,0.998979804
15,0.001021574,0.998978426
16,0.001022956,0.998977044
17,0.001024343,0.998975657
18,0.001025733,0.998974267
19,0.001027127,0.998972873
20,0.001028525,0.998971475
21,0.001029928,0.998970072
22,0.001031335,0.998968665
23,0.001032745,0.998967255
24,0.00103416,0.99896584
25,0.00103558,0.99896442
26,0.001037003,0.998962997
27,0.001038431,0.998961569
28,0.001039863,0.998960137
29,0.001041299,0.998958701
30,0.00104274,0.99895726
31,0.001044185,0.998955815
32,0.001045634,0.998954366
33,0.001047087,0.998952913
34,0.001048545,0.998951455
35,0.001050008,0.998949992
36,0.001051475,0.998948525
37,0.001052946,0.998947054
38,0.001054422,0.998945578
39,0.001055902,0.998944098
40,0.001057386,0.998942614
41,0.001058876,0.998941124
42,0.001060369,0.998939631
43,0.001061868,0.998938132
44,0.00106337,0.99893663
45,0.001064878,0.998935122
46,0.00106639,0.99893361
47,0.001067907,0.998932093
48,0.001069428,0.998930572
49,0.001070954,0.998929046
50,0.001072485,0.998927515
51,0.001074021,0.998925979
52,0.001075561,0.998924439
53,0.001077106,0.998922894
54,0.001078656,0.998921344
55,0.001080211,0.998919789
56,0.00108177,0.99891823
57,0.001083335,0.998916665
58,0.001084904,0.998915096
59,0.001086478,0.998913522
60,0.001088057,0.998911943
61,0.001089642,0.998910358
62,0.001091231,0.998908769
63,0.001092825,0.998907175
64,0.001094424,0.998905576
65,0.001096028,0.998903972
66,0.001097637,0.998902363
67,0.001099252,0.998900748
68,0.001100871,0.998899129
69,0.001102496,0.998897504
70,0.001104126,0.998895874
71,0.001105761,0.998894239
72,0.001107401,0.998892599
73,0.001109047,0.998890953
74,0.001110697,0.998889303
75,0.001112353,0.998887647
76,0.001114015,0.998885985
77,0.001115682,0.998884318
78,0.001117354,0.998882646
79,0.001119031,0.998880969
80,0.001120714,0.998879286
81,0.001122403,0.998877597
82,0.001124096,0.998875904
83,0.001125796,0.998874204
84,0.001127501,0.998872499
85,0.001129211,0.998870789
86,0.001130927,0.998869073
87,0.001132649,0.998867351
88,0.001134376,0.998865624
89,0.001136109,0.998863891
90,0.001137848,0.998862152
91,0.001139592,0.998860408
92,0.001141343,0.998858657
93,0.001143099,0.998856901
94,0.00114486,0.99885514
95,0.001146628,0.998853372
96,0.001148402,0.998851598
97,0.001150181,0.998849819
98,0.001151966,0.998848034
99,0.001153758,0.998846242
100,0.001155555,0.998844445
101,0.001157358,0.998842642
102,0.001159168,0.998840832
103,0.001160983,0.998839017
104,0.001162805,0.998837195
105,0.001164632,0.998835368
106,0.001166466,0.998833534
107,0.001168306,0.998831694
108,0.001170152,0.998829848
109,0.001172005,0.998827995
110,0.001173864,0.998826136
111,0.001175729,0.998824271
112,0.001177601,0.998822399
113,0.001179478,0.998820522
114,0.001181363,0.998818637
115,0.001183254,0.998816746
116,0.001185151,0.998814849
117,0.001187055,0.998812945
118,0.001188965,0.998811035
119,0.001190882,0.998809118
120,0.001192806,0.998807194
121,0.001194736,0.998805264
122,0.001196673,0.998803327
123,0.001198617,0.998801383
124,0.001200567,0.998799433
125,0.001202525,0.998797475
126,0.001204489,0.998795511
127,0.00120646,0.99879354
128,0.001208438,0.998791562
129,0.001210423,0.998789577
130,0.001212415,0.998787585
131,0.001214413,0.998785587
132,0.001216419,0.998783581
133,0.001218432,0.998781568
134,0.001220453,0.998779547
135,0.00122248,0.99877752
136,0.001224514,0.998775486
137,0.001226556,0.998773444
138,0.001228605,0.998771395
139,0.001230662,0.998769338
140,0.001232725,0.998767275
141,0.001234797,0.998765203
142,0.001236875,0.998763125
143,0.001238961,0.998761039
144,0.001241055,0.998758945
145,0.001243156,0.998756844
146,0.001245265,0.998754735
147,0.001247381,0.998752619
148,0.001249506,0.998750494
149,0.001251637,0.998748363
150,0.001253777,0.998746223
151,0.001255924,0.998744076
152,0.00125808,0.99874192
153,0.001260243,0.998739757
154,0.001262414,0.998737586
155,0.001264593,0.998735407
156,0.00126678,0.99873322
157,0.001268976,0.998731024
158,0.001271179,0.998728821
159,0.00127339,0.99872661
160,0.00127561,0.99872439
161,0.001277838,0.998722162
162,0.001280075,0.998719925
163,0.001282319,0.998717681
164,0.001284572,0.998715428
165,0.001286834,0.998713166
166,0.001289104,0.998710896
167,0.001291382,0.998708618
168,0.001293669,0.998706331
169,0.001295965,0.998704035
170,0.001298269,0.998701731
171,0.001300583,0.998699417
172,0.001302905,0.998697095
173,0.001305235,0.998694765
174,0.001307575,0.998692425
175,0.001309924,0.998690076
176,0.001312281,0.998687719
177,0.001314648,0.998685352
178,0.001317024,0.998682976
179,0.001319408,0.998680592
180,0.001321802,0.998678198
181,0.001324206,0.998675794
182,0.001326618,0.998673382
183,0.00132904,0.99867096
184,0.001331472,0.998668528
185,0.001333912,0.998666088
186,0.001336363,0.998663637
187,0.001338823,0.998661177
188,0.001341292,0.998658708
189,0.001343771,0.998656229
190,0.00134626,0.99865374
191,0.001348759,0.998651241
192,0.001351268,0.998648732
193,0.001353786,0.998646214
194,0.001356315,0.998643685
195,0.001358853,0.998641147
196,0.001361402,0.998638598
197,0.001363961,0.998636039
198,0.00136653,0.99863347
199,0.001369109,0.998630891
200,0.001371699,0.998628301
201,0.001374299,0.998625701
202,0.001376909,0.998623091
203,0.001379531,0.998620469
204,0.001382162,0.998617838
205,0.001384804,0.998615196
206,0.001387457,0.998612543
207,0.001390121,0.998609879
208,0.001392796,0.998607204
209,0.001395481,0.998604519
210,0.001398178,0.998601822
211,0.001400886,0.998599114
212,0.001403604,0.998596396
213,0.001406334,0.998593666
214,0.001409075,0.998590925
215,0.001411828,0.998588172
216,0.001414592,0.998585408
217,0.001417367,0.998582633
218,0.001420154,0.998579846
219,0.001422953,0.998577047
220,0.001425763,0.998574237
221,0.001428585,0.998571415
222,0.001431419,0.998568581
223,0.001434264,0.998565736
224,0.001437122,0.998562878
225,0.001439992,0.998560008
226,0.001442873,0.998557127
227,0.001445768,0.998554232
228,0.001448674,0.998551326
229,0.001451593,0.998548407
230,0.001454524,0.998545476
231,0.001457467,0.998542533
232,0.001460424,0.998539576
233,0.001463393,0.998536607
234,0.001466374,0.998533626
235,0.001469369,0.998530631
236,0.001472377,0.998527623
237,0.001475397,0.998524603
238,0.001478431,0.998521569
239,0.001481477,0.998518523
240,0.001484538,0.998515462
241,0.001487611,0.998512389
242,0.001490698,0.998509302
243,0.001493798,0.998506202
244,0.001496912,0.998503088
245,0.00150004,0.99849996
246,0.001503182,0.998496818
247,0.001506337,0.998493663
248,0.001509507,0.998490493
249,0.00151269,0.99848731
250,0.001515888,0.998484112
251,0.0015191,0.9984809
252,0.001522326,0.998477674
253,0.001525567,0.998474433
254,0.001528822,0.998471178
255,0.001532092,0.998467908
256,0.001535377,0.998464623
257,0.001538677,0.998461323
258,0.001541991,0.998458009
259,0.001545321,0.998454679
260,0.001548665,0.998451335
261,0.001552025,0.998447975
262,0.001555401,0.998444599
263,0.001558792,0.998441208
264,0.001562198,0.998437802
265,0.00156562,0.99843438
266,0.001569058,0.998430942
267,0.001572512,0.998427488
268,0.001575982,0.998424018
269,0.001579468,0.998420532
270,0.00158297,0.99841703
271,0.001586489,0.998413511
272,0.001590024,0.998409976
273,0.001593575,0.998406425
274,0.001597144,0.998402856
275,0.001600729,0.998399271
276,0.001604331,0.998395669
277,0.00160795,0.99839205
278,0.001611586,0.998388414
279,0.00161524,0.99838476
280,0.001618911,0.998381089
281,0.001622599,0.998377401
282,0.001626305,0.998373695
283,0.00163003,0.99836997
284,0.001633771,0.998366229
285,0.001637531,0.998362469
286,0.00164131,0.99835869
287,0.001645106,0.998354894
288,0.001648921,0.998351079
289,0.001652755,0.998347245
290,0.001656607,0.998343393
291,0.001660478,0.998339522
292,0.001664368,0.998335632
293,0.001668278,0.998331722
294,0.001672206,0.998327794
295,0.001676154,0.998323846
296,0.001680122,0.998319878
297,0.001684109,0.998315891
298,0.001688116,0.998311884
299,0.001692143,0.998307857
300,0.00169619,0.99830381
301,0.001700258,0.998299742
302,0.001704346,0.998295654
303,0.001708455,0.998291545
304,0.001712584,0.998287416
305,0.001716735,0.998283265
306,0.001720906,0.998279094
307,0.001725099,0.998274901
308,0.001729313,0.998270687
309,0.001733549,0.998266451
310,0.001737806,0.998262194
311,0.001742085,0.998257915
312,0.001746387,0.998253613
313,0.001750711,0.998249289
314,0.001755057,0.998244943
315,0.001759425,0.998240575
316,0.001763817,0.998236183
317,0.001768231,0.998231769
318,0.001772669,0.998227331
319,0.00177713,0.99822287
320,0.001781614,0.998218386
321,0.001786122,0.998213878
322,0.001790654,0.998209346
323,0.00179521,0.99820479
324,0.00179979,0.99820021
325,0.001804395,0.998195605
326,0.001809024,0.998190976
327,0.001813679,0.998186321
328,0.001818358,0.998181642
329,0.001823062,0.998176938
330,0.001827792,0.998172208
331,0.001832548,0.998167452
332,0.001837329,0.998162671
333,0.001842137,0.998157863
334,0.001846971,0.998153029
335,0.001851831,0.998148169
336,0.001856718,0.998143282
337,0.001861632,0.998138368
338,0.001866573,0.998133427
339,0.001871541,0.998128459
340,0.001876538,0.998123462
341,0.001881562,0.998118438
342,0.001886614,0.998113386
343,0.001891694,0.998108306
344,0.001896803,0.998103197
345,0.001901941,0.998098059
346,0.001907107,0.998092893
347,0.001912303,0.998087697
348,0.001917529,0.998082471
349,0.001922784,0.998077216
350,0.00192807,0.99807193
351,0.001933386,0.998066614
352,0.001938732,0.998061268
353,0.001944109,0.998055891
354,0.001949517,0.998050483
355,0.001954957,0.998045043
356,0.001960428,0.998039572
357,0.001965931,0.998034069
358,0.001971466,0.998028534
359,0.001977034,0.998022966
360,0.001982635,0.998017365
361,0.001988268,0.998011732
362,0.001993935,0.998006065
363,0.001999636,0.998000364
364,0.00200537,0.99799463
365,0.002011139,0.997988861
366,0.002016942,0.997983058
367,0.00202278,0.99797722
368,0.002028653,0.997971347
369,0.002034562,0.997965438
370,0.002040507,0.997959493
371,0.002046487,0.997953513
372,0.002052505,0.997947495
373,0.002058559,0.997941441
374,0.00206465,0.99793535
375,0.002070778,0.997929222
376,0.002076945,0.997923055
377,0.002083149,0.997916851
378,0.002089393,0.997910607
379,0.002095675,0.997904325
380,0.002101996,0.997898004
381,0.002108357,0.997891643
382,0.002114758,0.997885242
383,0.002121199,0.997878801
384,0.002127681,0.997872319
385,0.002134204,0.997865796
386,0.002140769,0.997859231
387,0.002147376,0.997852624
388,0.002154025,0.997845975
389,0.002160716,0.997839284
390,0.002167451,0.997832549
391,0.00217423,0.99782577
392,0.002181052,0.997818948
393,0.002187919,0.997812081
394,0.002194831,0.997805169
395,0.002201788,0.997798212
396,0.002208791,0.997791209
397,0.00221584,0.99778416
398,0.002222935,0.997777065
399,0.002230078,0.997769922
400,0.002237268,0.997762732
401,0.002244507,0.997755493
402,0.002251794,0.997748206
403,0.00225913,0.99774087
404,0.002266515,0.997733485
405,0.002273951,0.997726049
406,0.002281437,0.997718563
407,0.002288974,0.997711026
408,0.002296563,0.997703437
409,0.002304203,0.997695797
410,0.002311897,0.997688103
411,0.002319644,0.997680356
412,0.002327444,0.997672556
413,0.002335299,0.997664701
414,0.002343208,0.997656792
415,0.002351173,0.997648827
416,0.002359194,0.997640806
417,0.002367272,0.997632728
418,0.002375407,0.997624593
419,0.0023836,0.9976164
420,0.002391851,0.997608149
421,0.002400161,0.997599839
422,0.002408531,0.997591469
423,0.002416962,0.997583038
424,0.002425453,0.997574547
425,0.002434006,0.997565994
426,0.002442622,0.997557378
427,0.0024513,0.9975487
428,0.002460042,0.997539958
429,0.002468849,0.997531151
430,0.00247772,0.99752228
431,0.002486658,0.997513342
432,0.002495662,0.997504338
433,0.002504734,0.997495266
434,0.002513873,0.997486127
435,0.002523082,0.997476918
436,0.00253236,0.99746764
437,0.002541708,0.997458292
438,0.002551128,0.997448872
439,0.00256062,0.99743938
440,0.002570185,0.997429815
441,0.002579823,0.997420177
442,0.002589536,0.997410464
443,0.002599324,0.997400676
444,0.002609189,0.997390811
445,0.002619131,0.997380869
446,0.002629151,0.997370849
447,0.00263925,0.99736075
448,0.00264943,0.99735057
449,0.00265969,0.99734031
450,0.002670032,0.997329968
451,0.002680457,0.997319543
452,0.002690965,0.997309035
453,0.002701559,0.997298441
454,0.002712238,0.997287762
455,0.002723005,0.997276995
456,0.00273386,0.99726614
457,0.002744803,0.997255197
458,0.002755837,0.997244163
459,0.002766962,0.997233038
460,0.00277818,0.99722182
461,0.002789492,0.997210508
462,0.002800898,0.997199102
463,0.0028124,0.9971876
464,0.002823999,0.997176001
465,0.002835697,0.997164303
466,0.002847494,0.997152506
467,0.002859393,0.997140607
468,0.002871394,0.997128606
469,0.002883498,0.997116502
470,0.002895707,0.997104293
471,0.002908023,0.997091977
472,0.002920446,0.997079554
473,0.002932978,0.997067022
474,0.002945621,0.997054379
475,0.002958376,0.997041624
476,0.002971245,0.997028755
477,0.002984228,0.997015772
478,0.002997328,0.997002672
479,0.003010546,0.996989454
480,0.003023884,0.996976116
481,0.003037344,0.996962656
482,0.003050926,0.996949074
483,0.003064633,0.996935367
484,0.003078466,0.996921534
485,0.003092428,0.996907572
486,0.00310652,0.99689348
487,0.003120743,0.996879257
488,0.0031351,0.9968649
489,0.003149593,0.996850407
490,0.003164223,0.996835777
491,0.003178993,0.996821007
492,0.003193904,0.996806096
493,0.003208958,0.996791042
494,0.003224158,0.996775842
495,0.003239505,0.996760495
496,0.003255003,0.996744997
497,0.003270652,0.996729348
498,0.003286456,0.996713544
499,0.003302416,0.996697584
500,0.003318535,0.996681465
501,0.003334815,0.996665185
502,0.003351259,0.996648741
503,0.003367869,0.996632131
504,0.003384647,0.996615353
505,0.003401597,0.996598403
506,0.003418721,0.996581279
507,0.003436021,0.996563979
508,0.003453501,0.996546499
509,0.003471162,0.996528838
510,0.003489008,0.996510992
511,0.003507043,0.996492957
512,0.003525268,0.996474732
513,0.003543687,0.996456313
514,0.003562302,0.996437698
515,0.003581118,0.996418882
516,0.003600137,0.996399863
517,0.003619363,0.996380637
518,0.003638799,0.996361201
519,0.003658448,0.996341552
520,0.003678314,0.996321686
521,0.003698401,0.996301599
522,0.003718712,0.996281288
523,0.003739251,0.996260749
524,0.003760021,0.996239979
525,0.003781028,0.996218972
526,0.003802275,0.996197725
527,0.003823765,0.996176235
528,0.003845503,0.996154497
529,0.003867494,0.996132506
530,0.003889742,0.996110258
531,0.003912251,0.996087749
532,0.003935027,0.996064973
533,0.003958073,0.996041927
534,0.003981394,0.996018606
535,0.004004996,0.995995004
536,0.004028884,0.995971116
537,0.004053062,0.995946938
538,0.004077536,0.995922464
539,0.004102312,0.995897688
540,0.004127396,0.995872604
541,0.004152792,0.995847208
542,0.004178506,0.995821494
543,0.004204546,0.995795454
544,0.004230916,0.995769084
545,0.004257624,0.995742376
546,0.004284676,0.995715324
547,0.004312078,0.995687922
548,0.004339837,0.995660163
549,0.00436796,0.99563204
550,0.004396455,0.995603545
551,0.004425328,0.995574672
552,0.004454588,0.995545412
553,0.004484242,0.995515758
554,0.004514298,0.995485702
555,0.004544765,0.995455235
556,0.00457565,0.99542435
557,0.004606963,0.995393037
558,0.004638712,0.995361288
559,0.004670906,0.995329094
560,0.004703556,0.995296444
561,0.004736669,0.995263331
562,0.004770258,0.995229742
563,0.004804331,0.995195669
564,0.004838899,0.995161101
565,0.004873974,0.995126026
566,0.004909565,0.995090435
567,0.004945685,0.995054315
568,0.004982346,0.995017654
569,0.00501956,0.99498044
570,0.005057338,0.994942662
571,0.005095695,0.994904305
572,0.005134643,0.994865357
573,0.005174197,0.994825803
574,0.00521437,0.99478563
575,0.005255176,0.994744824
576,0.005296632,0.994703368
577,0.005338752,0.994661248
578,0.005381553,0.994618447
579,0.005425051,0.994574949
580,0.005469263,0.994530737
581,0.005514207,0.994485793
582,0.005559901,0.994440099
583,0.005606364,0.994393636
584,0.005653615,0.994346385
585,0.005701675,0.994298325
586,0.005750564,0.994249436
587,0.005800304,0.994199696
588,0.005850917,0.994149083
589,0.005902427,0.994097573
590,0.005954856,0.994045144
591,0.006008231,0.993991769
592,0.006062576,0.993937424
593,0.006117919,0.993882081
594,0.006174286,0.993825714
595,0.006231706,0.993768294
596,0.00629021,0.99370979
597,0.006349827,0.993650173
598,0.00641059,0.99358941
599,0.006472531,0.993527469
600,0.006535686,0.993464314
601,0.00660009,0.99339991
602,0.006665779,0.993334221
603,0.006732794,0.993267206
604,0.006801174,0.993198826
605,0.006870961,0.993129039
606,0.006942199,0.993057801
607,0.007014933,0.992985067
608,0.007089211,0.992910789
609,0.007165081,0.992834919
610,0.007242595,0.992757405
611,0.007321808,0.992678192
612,0.007402775,0.992597225
613,0.007485554,0.992514446
614,0.007570207,0.992429793
615,0.007656798,0.992343202
616,0.007745393,0.992254607
617,0.007836063,0.992163937
618,0.00792888,0.99207112
619,0.008023922,0.991976078
620,0.008121268,0.991878732
621,0.008221004,0.991778996
622,0.008323217,0.991676783
623,0.008428001,0.991571999
624,0.008535452,0.991464548
625,0.008645673,0.991354327
626,0.008758772,0.991241228
627,0.008874863,0.991125137
628,0.008994063,0.991005937
629,0.009116501,0.990883499
630,0.009242307,0.990757693
631,0.009371621,0.990628379
632,0.009504592,0.990495408
633,0.009641375,0.990358625
634,0.009782136,0.990217864
635,0.009927048,0.990072952
636,0.010076297,0.989923703
637,0.010230078,0.989769922
638,0.0103886,0.9896114
639,0.010552082,0.989447918
640,0.01072076,0.98927924
641,0.010894882,0.989105118
642,0.011074715,0.988925285
643,0.01126054,0.98873946
644,0.011452659,0.988547341
645,0.011651395,0.988348605
646,0.011857092,0.988142908
647,0.012070118,0.987929882
648,0.012290867,0.987709133
649,0.012519764,0.987480236
650,0.012757262,0.987242738
651,0.013003849,0.986996151
652,0.013260053,0.986739947
653,0.01352644,0.98647356
654,0.013803622,0.986196378
655,0.01409226,0.98590774
656,0.014393072,0.985606928
657,0.014706833,0.985293167
658,0.015034387,0.984965613
659,0.015376652,0.984623348
660,0.015734628,0.984265372
661,0.016109407,0.983890593
662,0.016502183,0.983497817
663,0.016914265,0.983085735
664,0.01734709,0.98265291
665,0.01780224,0.98219776
666,0.01828146,0.98171854
667,0.018786681,0.981213319
668,0.019320039,0.980679961
669,0.019883912,0.980116088
670,0.020480948,0.979519052
671,0.021114105,0.978885895
672,0.021786702,0.978213298
673,0.022502465,0.977497535
674,0.023265603,0.976734397
675,0.024080877,0.975919123
676,0.0249537,0.9750463
677,0.025890246,0.974109754
678,0.026897587,0.973102413
679,0.027983862,0.972016138
680,0.029158483,0.970841517
681,0.030432383,0.969567617
682,0.03181834,0.96818166
683,0.033331367,0.966668633
684,0.034989216,0.965010784
685,0.036813019,0.963186981
686,0.03882811,0.96117189
687,0.041065098,0.958934902
688,0.043561277,0.956438723
689,0.046362499,0.953637501
690,0.049525698,0.950474302
691,0.053122332,0.946877668
692,0.057243146,0.942756854
693,0.062004863,0.937995137
694,0.067559736,0.932440264
695,0.07410944,0.92589056
696,0.081925608,0.918074392
697,0.091380818,0.908619182
698,0.102996192,0.897003808
699,0.117515777,0.882484223
700,0.136024295,0.863975705
701,0.160133861,0.839866139
702,0.192273448,0.807726552
703,0.236100344,0.763899656
704,0.296928579,0.703071421
705,0.381562852,0.618437148
706,0.495562568,0.504437432
707,0.634784562,0.365215438
708,0.775314183,0.224685817
709,0.883760625,0.116239375
710,0.947453459,0.052546541
711,0.978042251,0.021957749
712,0.99116192,0.00883808
713,0.996499114,0.003500886
714,0.998622232,0.001377768
715,0.99945918,5.41E-04
716,0.999787926,2.12E-04
717,0.999916872,8.31E-05
718,0.999967421,3.26E-05
719,0.999987232,1.28E-05
720,0.999994997,5.00E-06
721,0.999998039,1.96E-06
722,0.999999232,7.68E-07
723,0.999999699,3.01E-07
724,0.999999882,1.18E-07
725,0.999999954,4.62E-08
726,0.999999982,1.81E-08
727,0.999999993,7.10E-09
728,0.999999997,2.78E-09
729,0.999999999,1.09E-09
730,1,4.27E-10
731,1,1.67E-10
732,1,6.56E-11
733,1,2.57E-11
734,1,1.01E-11
735,1,3.95E-12
736,1,1.55E-12
737,1,6.06E-13
738,1,2.38E-13
739,1,9.31E-14
740,1,3.65E-14
741,1,1.43E-14
742,1,5.60E-15
743,1,2.20E-15
744,1,8.61E-16
745,1,3.37E-16
746,1,1.32E-16
747,1,5.18E-17
748,1,2.03E-17
749,1,7.95E-18
750,1,3.12E-18
751,1,1.22E-18
752,1,4.79E-19
753,1,1.88E-19
754,1,7.35E-20
755,1,2.88E-20
756,1,1.13E-20
757,1,4.42E-21
758,1,1.73E-21
759,1,6.79E-22
760,1,2.66E-22
761,1,1.04E-22
762,1,4.09E-23
763,1,1.60E-23
764,1,6.28E-24
765,1,2.46E-24
766,1,9.64E-25
767,1,3.78E-25
768,1,1.48E-25
769,1,5.80E-26
770,1,2.27E-26
771,1,8.91E-27
772,1,3.49E-27
773,1,1.37E-27
774,1,5.36E-28
775,1,2.10E-28
776,1,8.23E-29
777,1,3.23E-29
778,1,1.26E-29
779,1,4.96E-30
780,1,1.94E-30
781,1,7.61E-31
782,1,2.98E-31
783,1,1.17E-31
784,1,4.58E-32
785,1,1.79E-32
786,1,7.03E-33
787,1,2.76E-33
788,1,1.08E-33
789,1,4.23E-34
790,1,1.66E-34
791,1,6.50E-35
792,1,2.55E-35
793,1,9.98E-36
794,1,3.91E-36
795,1,1.53E-36
796,1,6.01E-37
797,1,2.35E-37
798,1,9.22E-38
799,1,3.61E-38
800,1,1.42E-38
801,1,5.55E-39
802,1,2.18E-39
803,1,8.52E-40
804,1,3.34E-40
805,1,1.31E-40
806,1,5.13E-41
807,1,2.01E-41
808,1,7.88E-42
809,1,3.09E-42
810,1,1.21E-42
811,1,4.74E-43
812,1,1.86E-43
813,1,7.28E-44
814,1,2.85E-44
815,1,1.12E-44
816,1,4.38E-45
817,1,1.72E-45
818,1,6.73E-46
819,1,2.64E-46
820,1,1.03E-46
821,1,4.05E-47
822,1,1.59E-47
823,1,6.22E-48
824,1,2.44E-48
825,1,9.55E-49
826,1,3.74E-49
827,1,1.47E-49
828,1,5.75E-50
829,1,2.25E-50
830,1,8.82E-51
831,1,3.46E-51
832,1,1.36E-51
833,1,5.31E-52
834,1,2.08E-52
835,1,8.15E-53
836,1,3.20E-53
837,1,1.25E-53
838,1,4.91E-54
839,1,1.92E-54
840,1,7.54E-55
841,1,2.95E-55
842,1,1.16E-55
843,1,4.54E-56
844,1,1.78E-56
845,1,6.96E-57
846,1,2.73E-57
847,1,1.07E-57
848,1,4.19E-58
849,1,1.64E-58
850,1,6.44E-59
851,1,2.52E-59
852,1,9.88E-60
853,1,3.87E-60
854,1,1.52E-60
855,1,5.95E-61
856,1,2.33E-61
857,1,9.13E-62
858,1,3.58E-62
859,1,1.40E-62
860,1,5.50E-63
861,1,2.15E-63
862,1,8.44E-64
863,1,3.31E-64
864,1,1.30E-64
865,1,5.08E-65
866,1,1.99E-65
867,1,7.80E-66
868,1,3.06E-66
869,1,1.20E-66
870,1,4.69E-67
871,1,1.84E-67
872,1,7.21E-68
873,1,2.83E-68
874,1,1.11E-68
875,1,4.34E-69
876,1,1.70E-69
877,1,6.66E-70
878,1,2.61E-70
879,1,1.02E-70
880,1,4.01E-71
881,1,1.57E-71
882,1,6.16E-72
883,1,2.41E-72
884,1,9.46E-73
885,1,3.71E-73
886,1,1.45E-73
887,1,5.69E-74
888,1,2.23E-74
889,1,8.74E-75
890,1,3.42E-75
891,1,1.34E-75
892,1,5.26E-76
893,1,2.06E-76
894,1,8.08E-77
895,1,3.16E-77
896,1,1.24E-77
897,1,4.86E-78
898,1,1.90E-78
899,1,7.46E-79
900,1,2.92E-79
901,1,1.15E-79
902,1,4.49E-80
903,1,1.76E-80
904,1,6.90E-81
905,1,2.70E-81
906,1,1.06E-81
907,1,4.15E-82
908,1,1.63E-82
909,1,6.37E-83
910,1,2.50E-83
911,1,9.79E-84
912,1,3.84E-84
913,1,1.50E-84
914,1,5.89E-85
915,1,2.31E-85
916,1,9.05E-86
917,1,3.54E-86
918,1,1.39E-86
919,1,5.44E-87
920,1,2.13E-87
921,1,8.36E-88
922,1,3.28E-88
923,1,1.28E-88
924,1,5.03E-89
925,1,1.97E-89
926,1,7.73E-90
927,1,3.03E-90
928,1,1.19E-90
929,1,4.65E-91
930,1,1.82E-91
931,1,7.14E-92
932,1,2.80E-92
933,1,1.10E-92
934,1,4.30E-93
935,1,1.68E-93
936,1,6.60E-94
937,1,2.59E-94
938,1,1.01E-94
939,1,3.97E-95
940,1,1.56E-95
941,1,6.10E-96
942,1,2.39E-96
943,1,9.36E-97
944,1,3.67E-97
945,1,1.44E-97
946,1,5.64E-98
947,1,2.21E-98
948,1,8.65E-99
949,1,3.39E-99
950,1,1.33E-99
951,1,5.21E-100
952,1,2.04E-100
953,1,8.00E-101
954,1,3.13E-101
955,1,1.23E-101
956,1,4.81E-102
957,1,1.89E-102
958,1,7.39E-103
959,1,2.90E-103
960,1,1.14E-103
961,1,4.45E-104
962,1,1.74E-104
963,1,6.83E-105
964,1,2.68E-105
965,1,1.05E-105
966,1,4.11E-106
967,1,1.61E-106
968,1,6.31E-107
969,1,2.47E-107
970,1,9.69E-108
971,1,3.80E-108
972,1,1.49E-108
973,1,5.83E-109
974,1,2.29E-109
975,1,8.96E-110
976,1,3.51E-110
977,1,1.38E-110
978,1,5.39E-111
979,1,2.11E-111
980,1,8.28E-112
981,1,3.24E-112
982,1,1.27E-112
983,1,4.98E-113
984,1,1.95E-113
985,1,7.65E-114
986,1,3.00E-114
987,1,1.17E-114
988,1,4.60E-115
989,1,1.80E-115
990,1,7.07E-116
991,1,2.77E-116
992,1,1.09E-116
993,1,4.26E-117
994,1,1.67E-117
995,1,6.53E-118
996,1,2.56E-118
997,1,1.00E-118
998,1,3.93E-119
999,1,1.54E-119
1000,1,6.04E-120
1001,1,2.37E-120
1002,1,9.27E-121
1003,1,3.63E-121
1004,1,1.42E-121
1005,1,5.58E-122
1006,1,2.19E-122
1007,1,8.57E-123
1008,1,3.36E-123
1009,1,1.32E-123
1010,1,5.16E-124
1011,1,2.02E-124
1012,1,7.92E-125
1013,1,3.10E-125
1014,1,1.22E-125
1015,1,4.77E-126
1016,1,1.87E-126
1017,1,7.32E-127
1018,1,2.87E-127
1019,1,1.12E-127
1020,1,4.40E-128
1021,1,1.73E-128
1022,1,6.76E-129
1023,1,2.65E-129
1024,1,1.04E-129
1025,1,4.07E-130
1026,1,1.60E-130
1027,1,6.25E-131
1028,1,2.45E-131
1029,1,9.60E-132
1030,1,3.76E-132
1031,1,1.47E-132
1032,1,5.78E-133
1033,1,2.26E-133
1034,1,8.87E-134
1035,1,3.48E-134
