name,stra.112,stra.1443,stra.2774,stra.4105,stra.13542,stra.13663,stra.13784,stra.13905,stra.14026,stra.14642,stra.13321
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,7.34E-05,7.29E-05,7.24E-05,7.18E-05,6.56E-05,6.43E-05,6.29E-05,6.13E-05,5.95E-05,6.65E-05,7.62E-05
2,7.80E-05,7.70E-05,7.59E-05,7.47E-05,6.29E-05,6.04E-05,5.78E-05,5.49E-05,5.17E-05,6.48E-05,8.25E-05
3,8.20E-05,8.05E-05,7.88E-05,7.71E-05,6.02E-05,5.67E-05,5.30E-05,4.90E-05,4.47E-05,6.30E-05,8.67E-05
4,8.54E-05,8.33E-05,8.11E-05,7.87E-05,5.76E-05,5.32E-05,4.85E-05,4.37E-05,3.86E-05,6.12E-05,8.84E-05
5,8.80E-05,8.54E-05,8.26E-05,7.97E-05,5.50E-05,4.98E-05,4.44E-05,3.89E-05,3.33E-05,5.94E-05,8.75E-05
6,8.98E-05,8.68E-05,8.35E-05,8.01E-05,5.25E-05,4.66E-05,4.06E-05,3.46E-05,2.87E-05,5.77E-05,8.42E-05
7,9.08E-05,8.74E-05,8.36E-05,7.98E-05,5.01E-05,4.36E-05,3.71E-05,3.08E-05,2.47E-05,5.59E-05,7.88E-05
8,9.11E-05,8.73E-05,8.31E-05,7.90E-05,4.78E-05,4.08E-05,3.40E-05,2.75E-05,2.13E-05,5.41E-05,7.19E-05
9,9.07E-05,8.66E-05,8.21E-05,7.76E-05,4.56E-05,3.82E-05,3.11E-05,2.45E-05,1.84E-05,5.24E-05,6.42E-05
10,8.96E-05,8.52E-05,8.05E-05,7.58E-05,4.35E-05,3.58E-05,2.86E-05,2.20E-05,1.60E-05,5.08E-05,5.62E-05
11,8.79E-05,8.34E-05,7.85E-05,7.37E-05,4.15E-05,3.36E-05,2.63E-05,1.97E-05,1.40E-05,4.92E-05,4.82E-05
12,8.58E-05,8.12E-05,7.61E-05,7.12E-05,3.97E-05,3.16E-05,2.43E-05,1.78E-05,1.22E-05,4.77E-05,4.08E-05
13,8.33E-05,7.86E-05,7.35E-05,6.85E-05,3.80E-05,2.98E-05,2.25E-05,1.61E-05,1.08E-05,4.62E-05,3.40E-05
14,8.05E-05,7.57E-05,7.06E-05,6.56E-05,3.64E-05,2.82E-05,2.09E-05,1.46E-05,9.54E-06,4.49E-05,2.80E-05
