name,stra.13321,stra.13332,stra.13442,stra.14642
117,0.00563826,0.00491641,0.00643583,5.03E-08
118,0.0056951,0.00496441,0.00650086,4.51E-08
119,0.00575238,0.00501271,0.00656633,4.05E-08
120,0.0058101,0.00506131,0.00663222,3.63E-08
121,0.00586827,0.00511023,0.00669855,3.25E-08
122,0.00592689,0.00515945,0.00676531,2.92E-08
123,0.00598596,0.00520898,0.00683251,2.61E-08
124,0.00604548,0.00525883,0.00690015,2.34E-08
125,0.00610545,0.00530899,0.00696823,2.10E-08
126,0.00616589,0.00535946,0.00703675,1.88E-08
127,0.00622678,0.00541025,0.00710571,1.68E-08
128,0.00628813,0.00546136,0.00717512,1.51E-08
129,0.00634995,0.00551278,0.00724498,1.35E-08
130,0.00641224,0.00556453,0.00731529,1.20E-08
131,0.006475,0.00561659,0.00738606,1.08E-08
132,0.00653822,0.00566898,0.00745727,9.63E-09
133,0.00660192,0.0057217,0.00752894,8.61E-09
134,0.0066661,0.00577473,0.00760107,7.69E-09
135,0.00673075,0.00582809,0.00767365,6.87E-09
136,0.00679588,0.00588178,0.0077467,6.13E-09
137,0.0068615,0.0059358,0.00782021,5.48E-09
138,0.00692759,0.00599014,0.00789418,4.89E-09
139,0.00699418,0.00604482,0.00796862,4.36E-09
140,0.00706125,0.00609982,0.00804352,3.89E-09
141,0.00712881,0.00615516,0.00811889,3.47E-09
142,0.00719687,0.00621083,0.00819472,3.09E-09
143,0.00726542,0.00626683,0.00827103,2.76E-09
144,0.00733446,0.00632317,0.00834781,2.46E-09
145,0.007404,0.00637985,0.00842506,2.19E-09
146,0.00747405,0.00643685,0.00850279,1.95E-09
147,0.00754459,0.0064942,0.00858099,1.73E-09
148,0.00761564,0.00655188,0.00865967,1.54E-09
149,0.00768719,0.0066099,0.00873882,1.37E-09
150,0.00775925,0.00666827,0.00881846,1.22E-09
151,0.00783182,0.00672697,0.00889857,1.09E-09
152,0.00790491,0.00678601,0.00897916,9.66E-10
153,0.0079785,0.00684539,0.00906024,8.58E-10
154,0.00805261,0.00690511,0.0091418,7.62E-10
155,0.00812724,0.00696518,0.00922384,6.77E-10
156,0.00820238,0.00702559,0.00930636,6.01E-10
157,0.00827805,0.00708635,0.00938938,5.34E-10
158,0.00835424,0.00714744,0.00947287,4.74E-10
159,0.00843095,0.00720889,0.00955686,4.20E-10
160,0.00850818,0.00727067,0.00964133,3.73E-10
161,0.00858595,0.00733281,0.00972629,3.30E-10
162,0.00866424,0.00739529,0.00981174,2.93E-10
163,0.00874306,0.00745811,0.00989768,2.59E-10
