name,stra.13320,stra.13321,stra.13463,stra.13563,stra.13682,stra.13695,stra.13926,stra.14642
173700,3.35E-12,0.999513,2.20E-195,2.71E-125,4.34778e-322,2.50E-12,7.80E-34,4.9E-324
173800,3.13E-12,0.999862,1.46E-195,2.15E-125,4.34778e-322,1.48E-12,3.05E-34,4.9E-324
173900,2.93E-12,0.998707,9.73E-196,1.71E-125,4.34778e-322,8.75E-13,1.19E-34,4.9E-324
174000,2.74E-12,0.999729,6.48E-196,1.36E-125,4.34778e-322,5.18E-13,4.64E-35,4.9E-324
174100,2.56E-12,0.998083,4.30E-196,1.08E-125,4.34778e-322,3.06E-13,1.81E-35,4.9E-324
174200,2.40E-12,0.998904,2.87E-196,8.55E-126,4.34778e-322,1.81E-13,7.08E-36,4.9E-324
174300,2.25E-12,0.999377,1.91E-196,6.80E-126,4.34778e-322,1.07E-13,2.77E-36,4.9E-324
174400,2.10E-12,0.999205,1.27E-196,5.40E-126,4.34778e-322,6.34E-14,1.08E-36,4.9E-324
174500,1.97E-12,0.999633,8.43E-197,4.29E-126,4.34778e-322,3.75E-14,4.23E-37,4.9E-324
174600,1.84E-12,0.999733,5.61E-197,3.41E-126,4.34778e-322,2.22E-14,1.65E-37,4.9E-324
174700,1.72E-12,0.998583,3.73E-197,2.70E-126,4.34778e-322,1.31E-14,6.45E-38,4.9E-324
174800,1.61E-12,0.99982,2.48E-197,2.15E-126,4.34778e-322,7.77E-15,2.52E-38,4.9E-324
174900,1.51E-12,0.999542,1.65E-197,1.71E-126,4.34778e-322,4.59E-15,9.81E-39,4.9E-324
175000,1.41E-12,0.999938,1.10E-197,1.35E-126,4.34778e-322,2.71E-15,3.83E-39,4.9E-324
175100,1.32E-12,0.999749,7.30E-198,1.07E-126,4.34778e-322,1.60E-15,1.49E-39,4.9E-324
175200,1.24E-12,0.999756,4.86E-198,8.54E-127,4.34778e-322,9.48E-16,5.83E-40,4.9E-324
175300,1.16E-12,0.999984,3.23E-198,6.78E-127,4.34778e-322,5.60E-16,2.28E-40,4.9E-324
175400,1.08E-12,0.999985,2.15E-198,5.38E-127,4.34778e-322,3.31E-16,8.89E-41,4.9E-324
175500,1.02E-12,0.999961,1.43E-198,4.27E-127,4.34778e-322,1.96E-16,3.46E-41,4.9E-324
175600,9.49E-13,0.999418,9.48E-199,3.39E-127,4.34778e-322,1.16E-16,1.35E-41,4.9E-324
175700,8.88E-13,0.998868,6.29E-199,2.69E-127,4.34778e-322,6.83E-17,5.27E-42,4.9E-324
175800,8.32E-13,0.999593,4.19E-199,2.14E-127,4.34778e-322,4.04E-17,2.05E-42,4.9E-324
175900,7.80E-13,0.999978,2.79E-199,1.70E-127,4.34778e-322,2.39E-17,8.02E-43,4.9E-324
176000,7.29E-13,0.999295,1.85E-199,1.35E-127,4.34778e-322,1.41E-17,3.13E-43,4.9E-324
176100,6.83E-13,0.999917,1.23E-199,1.07E-127,4.34778e-322,8.34E-18,1.22E-43,4.9E-324
176200,6.39E-13,0.999985,8.19E-200,8.51E-128,4.34778e-322,4.93E-18,4.78E-44,4.9E-324
176300,5.98E-13,0.999996,5.44E-200,6.75E-128,4.34778e-322,2.92E-18,1.87E-44,4.9E-324
176400,5.59E-13,0.999234,3.62E-200,5.36E-128,4.34778e-322,1.72E-18,7.28E-45,4.9E-324
176500,5.23E-13,0.999494,2.41E-200,4.26E-128,4.34778e-322,1.02E-18,2.84E-45,4.9E-324
176600,4.90E-13,0.999742,1.60E-200,3.38E-128,4.34778e-322,6.03E-19,1.11E-45,4.9E-324
176700,4.59E-13,0.999691,1.07E-200,2.68E-128,4.34778e-322,3.57E-19,4.32E-46,4.9E-324
176800,4.29E-13,0.999524,7.08E-201,2.13E-128,4.34778e-322,2.11E-19,1.69E-46,4.9E-324
176900,4.01E-13,0.99942,4.71E-201,1.69E-128,4.34778e-322,1.25E-19,6.59E-47,4.9E-324
177000,3.76E-13,0.999411,3.13E-201,1.34E-128,4.34778e-322,7.36E-20,2.57E-47,4.9E-324
177100,3.52E-13,0.99997,2.08E-201,1.07E-128,4.34778e-322,4.35E-20,1.00E-47,4.9E-324
177200,3.29E-13,0.999233,1.38E-201,8.47E-129,4.34778e-322,2.57E-20,3.91E-48,4.9E-324
177300,3.08E-13,0.999492,9.20E-202,6.73E-129,4.34778e-322,1.52E-20,1.53E-48,4.9E-324
177400,2.88E-13,0.998919,6.11E-202,5.34E-129,4.34778e-322,8.99E-21,5.97E-49,4.9E-324
177500,2.70E-13,0.998775,4.06E-202,4.24E-129,4.34778e-322,5.31E-21,2.33E-49,4.9E-324
177600,2.52E-13,0.999442,2.70E-202,3.37E-129,4.34778e-322,3.14E-21,9.10E-50,4.9E-324
177700,2.36E-13,0.999993,1.80E-202,2.68E-129,4.34778e-322,1.86E-21,3.56E-50,4.9E-324
177800,2.21E-13,0.999528,1.20E-202,2.13E-129,4.34778e-322,1.10E-21,1.39E-50,4.9E-324
177900,2.07E-13,0.999844,7.95E-203,1.69E-129,4.34778e-322,6.50E-22,5.42E-51,4.9E-324
178000,1.94E-13,0.999966,5.29E-203,1.34E-129,4.34778e-322,3.84E-22,2.11E-51,4.9E-324
178100,1.81E-13,0.999157,3.51E-203,1.06E-129,4.34778e-322,2.27E-22,8.24E-52,4.9E-324
178200,1.70E-13,0.999992,2.33E-203,8.45E-130,4.34778e-322,1.34E-22,3.21E-52,4.9E-324
178300,1.59E-13,0.999999,1.55E-203,6.71E-130,4.34778e-322,7.94E-23,1.26E-52,4.9E-324
178400,1.49E-13,0.999735,1.03E-203,5.33E-130,4.34778e-322,4.69E-23,4.90E-53,4.9E-324
178500,1.39E-13,0.999913,6.87E-204,4.23E-130,4.34778e-322,2.77E-23,1.90E-53,4.9E-324
178600,1.30E-13,0.998981,4.57E-204,3.35E-130,4.34778e-322,1.63E-23,7.41E-54,4.9E-324
178700,1.22E-13,0.999133,3.04E-204,2.66E-130,4.34778e-322,9.66E-24,2.89E-54,4.9E-324
178800,1.14E-13,0.999337,2.02E-204,2.11E-130,4.34778e-322,5.71E-24,1.13E-54,4.9E-324
178900,1.07E-13,0.99873,1.34E-204,1.68E-130,4.34778e-322,3.38E-24,4.40E-55,4.9E-324
179000,1.00E-13,0.999949,8.95E-205,1.33E-130,4.34778e-322,2.00E-24,1.72E-55,4.9E-324
179100,9.36E-14,0.998913,5.95E-205,1.06E-130,4.34778e-322,1.18E-24,6.73E-56,4.9E-324
179200,8.76E-14,0.998929,3.95E-205,8.41E-131,4.34778e-322,7.00E-25,2.63E-56,4.9E-324
179300,8.20E-14,0.999854,2.63E-205,6.68E-131,4.34778e-322,4.14E-25,1.03E-56,4.9E-324
179400,7.67E-14,0.99853,1.75E-205,5.30E-131,4.34778e-322,2.44E-25,4.00E-57,4.9E-324
179500,7.18E-14,0.999033,1.16E-205,4.21E-131,4.34778e-322,1.44E-25,1.56E-57,4.9E-324
179600,6.73E-14,0.999527,7.73E-206,3.34E-131,4.34778e-322,8.54E-26,6.10E-58,4.9E-324
179700,6.30E-14,0.99972,5.14E-206,2.66E-131,4.34778e-322,5.05E-26,2.38E-58,4.9E-324
179800,5.89E-14,0.998869,3.42E-206,2.11E-131,4.34778e-322,2.99E-26,9.30E-59,4.9E-324
179900,5.51E-14,0.998785,2.27E-206,1.67E-131,4.34778e-322,1.77E-26,3.63E-59,4.9E-324
180000,5.16E-14,0.999568,1.51E-206,1.33E-131,4.34778e-322,1.05E-26,1.42E-59,4.9E-324
180100,4.83E-14,0.999931,1.00E-206,1.06E-131,4.34778e-322,6.18E-27,5.54E-60,4.9E-324
180200,4.52E-14,0.999919,6.68E-207,8.39E-132,4.34778e-322,3.65E-27,2.16E-60,4.9E-324
180300,4.23E-14,0.999819,4.44E-207,6.66E-132,4.34778e-322,2.16E-27,8.44E-61,4.9E-324
180400,3.96E-14,0.999932,2.95E-207,5.29E-132,4.34778e-322,1.28E-27,3.30E-61,4.9E-324
180500,3.70E-14,0.999934,1.96E-207,4.20E-132,4.34778e-322,7.55E-28,1.29E-61,4.9E-324
180600,3.47E-14,0.999892,1.31E-207,3.34E-132,4.34778e-322,4.47E-28,5.02E-62,4.9E-324
180700,3.24E-14,0.999856,8.69E-208,2.65E-132,4.34778e-322,2.64E-28,1.96E-62,4.9E-324
180800,3.03E-14,0.999802,5.78E-208,2.11E-132,4.34778e-322,1.56E-28,7.67E-63,4.9E-324
180900,2.84E-14,0.998856,3.84E-208,1.67E-132,4.34778e-322,9.23E-29,2.99E-63,4.9E-324
181000,2.66E-14,0.999966,2.56E-208,1.33E-132,4.34778e-322,5.46E-29,1.17E-63,4.9E-324
181100,2.49E-14,0.999742,1.70E-208,1.06E-132,4.34778e-322,3.23E-29,4.56E-64,4.9E-324
181200,2.33E-14,0.999132,1.13E-208,8.37E-133,4.34778e-322,1.91E-29,1.78E-64,4.9E-324
181300,2.18E-14,0.998591,7.50E-209,6.64E-133,4.34778e-322,1.13E-29,6.94E-65,4.9E-324
181400,2.04E-14,0.999793,5.00E-209,5.28E-133,4.34778e-322,6.67E-30,2.71E-65,4.9E-324
181500,1.91E-14,0.999872,3.32E-209,4.19E-133,4.34778e-322,3.94E-30,1.06E-65,4.9E-324
181600,1.79E-14,0.999391,2.21E-209,3.33E-133,4.34778e-322,2.33E-30,4.13E-66,4.9E-324
181700,1.67E-14,0.999119,1.47E-209,2.65E-133,4.34778e-322,1.38E-30,1.61E-66,4.9E-324
181800,1.56E-14,0.999674,9.78E-210,2.10E-133,4.34778e-322,8.16E-31,6.30E-67,4.9E-324
181900,1.46E-14,0.998869,6.49E-210,1.67E-133,4.34778e-322,4.82E-31,2.45E-67,4.9E-324
182000,1.37E-14,0.998484,4.32E-210,1.32E-133,4.34778e-322,2.84E-31,9.54E-68,4.9E-324
182100,1.28E-14,0.999904,2.88E-210,1.05E-133,4.34778e-322,1.68E-31,3.73E-68,4.9E-324
182200,1.20E-14,0.999978,1.91E-210,8.35E-134,4.34778e-322,9.96E-32,1.46E-68,4.9E-324
182300,1.12E-14,0.999124,1.27E-210,6.62E-134,4.34778e-322,5.89E-32,5.68E-69,4.9E-324
182400,1.05E-14,0.99998,8.46E-211,5.26E-134,4.34778e-322,3.48E-32,2.21E-69,4.9E-324
182500,9.84E-15,0.998733,5.62E-211,4.17E-134,4.34778e-322,2.06E-32,8.63E-70,4.9E-324
182600,9.22E-15,0.999941,3.74E-211,3.32E-134,4.34778e-322,1.22E-32,3.38E-70,4.9E-324
182700,8.62E-15,0.999993,2.49E-211,2.64E-134,4.34778e-322,7.20E-33,1.32E-70,4.9E-324
182800,8.06E-15,0.998755,1.65E-211,2.09E-134,4.34778e-322,4.25E-33,5.14E-71,4.9E-324
182900,7.55E-15,0.999968,1.10E-211,1.66E-134,4.34778e-322,2.51E-33,2.01E-71,4.9E-324
183000,7.07E-15,0.999947,7.31E-212,1.32E-134,4.34778e-322,1.48E-33,7.82E-72,4.9E-324
183100,6.62E-15,0.999404,4.86E-212,1.05E-134,4.34778e-322,8.77E-34,3.05E-72,4.9E-324
183200,6.20E-15,0.999493,3.23E-212,8.32E-135,4.34778e-322,5.19E-34,1.19E-72,4.9E-324
183300,5.80E-15,0.99999,2.15E-212,6.61E-135,4.34778e-322,3.07E-34,4.65E-73,4.9E-324
183400,5.43E-15,0.999218,1.43E-212,5.24E-135,4.34778e-322,1.81E-34,1.81E-73,4.9E-324
183500,5.08E-15,0.999848,9.50E-213,4.16E-135,4.34778e-322,1.07E-34,7.07E-74,4.9E-324
183600,4.76E-15,0.999777,6.31E-213,3.31E-135,4.34778e-322,6.34E-35,2.76E-74,4.9E-324
183700,4.45E-15,0.999805,4.20E-213,2.63E-135,4.34778e-322,3.75E-35,1.08E-74,4.9E-324
183800,4.16E-15,0.999999,2.79E-213,2.09E-135,4.34778e-322,2.22E-35,4.22E-75,4.9E-324
183900,3.90E-15,0.999308,1.85E-213,1.65E-135,4.34778e-322,1.31E-35,1.64E-75,4.9E-324
184000,3.65E-15,0.999927,1.23E-213,1.31E-135,4.34778e-322,7.73E-36,6.40E-76,4.9E-324
184100,3.42E-15,0.999769,8.20E-214,1.04E-135,4.34778e-322,4.57E-36,2.50E-76,4.9E-324
184200,3.20E-15,0.99953,5.45E-214,8.29E-136,4.34778e-322,2.70E-36,9.77E-77,4.9E-324
184300,2.99E-15,0.999773,3.63E-214,6.58E-136,4.34778e-322,1.60E-36,3.81E-77,4.9E-324
184400,2.80E-15,0.999997,2.41E-214,5.23E-136,4.34778e-322,9.45E-37,1.49E-77,4.9E-324
184500,2.62E-15,0.999814,1.60E-214,4.15E-136,4.34778e-322,5.58E-37,5.80E-78,4.9E-324
184600,2.45E-15,0.999245,1.06E-214,3.29E-136,4.34778e-322,3.30E-37,2.26E-78,4.9E-324
184700,2.30E-15,0.999651,7.08E-215,2.61E-136,4.34778e-322,1.95E-37,8.81E-79,4.9E-324
184800,2.15E-15,0.999551,4.71E-215,2.07E-136,4.34778e-322,1.15E-37,3.44E-79,4.9E-324
184900,2.01E-15,0.999695,3.13E-215,1.65E-136,4.34778e-322,6.81E-38,1.34E-79,4.9E-324
185000,1.88E-15,0.999988,2.08E-215,1.31E-136,4.34778e-322,4.03E-38,5.23E-80,4.9E-324
185100,1.76E-15,0.998881,1.38E-215,1.04E-136,4.34778e-322,2.38E-38,2.04E-80,4.9E-324
185200,1.65E-15,0.999962,9.22E-216,8.25E-137,4.34778e-322,1.41E-38,7.98E-81,4.9E-324
185300,1.54E-15,0.999387,6.13E-216,6.55E-137,4.34778e-322,8.33E-39,3.12E-81,4.9E-324
185400,1.44E-15,0.999997,4.08E-216,5.20E-137,4.34778e-322,4.93E-39,1.22E-81,4.9E-324
185500,1.35E-15,0.999642,2.71E-216,4.13E-137,4.34778e-322,2.91E-39,4.73E-82,4.9E-324
185600,1.27E-15,0.999913,1.80E-216,3.28E-137,4.34778e-322,1.72E-39,1.85E-82,4.9E-324
185700,1.18E-15,0.999911,1.20E-216,2.60E-137,4.34778e-322,1.02E-39,7.21E-83,4.9E-324
185800,1.11E-15,0.998621,7.95E-217,2.06E-137,4.34778e-322,5.99E-40,2.81E-83,4.9E-324
185900,1.04E-15,0.998703,5.29E-217,1.64E-137,4.34778e-322,3.55E-40,1.10E-83,4.9E-324
186000,9.70E-16,0.999193,3.52E-217,1.30E-137,4.34778e-322,2.10E-40,4.29E-84,4.9E-324
186100,9.06E-16,0.997836,2.34E-217,1.03E-137,4.34778e-322,1.24E-40,1.68E-84,4.9E-324
186200,8.49E-16,0.998616,1.55E-217,8.22E-138,4.34778e-322,7.34E-41,6.55E-85,4.9E-324
186300,7.95E-16,0.999207,1.03E-217,6.53E-138,4.34778e-322,4.34E-41,2.56E-85,4.9E-324
186400,7.43E-16,0.999036,6.88E-218,5.18E-138,4.34778e-322,2.57E-41,9.99E-86,4.9E-324
186500,6.96E-16,0.999205,4.58E-218,4.12E-138,4.34778e-322,1.52E-41,3.90E-86,4.9E-324
186600,6.51E-16,0.998915,3.04E-218,3.27E-138,4.34778e-322,8.98E-42,1.52E-86,4.9E-324
186700,6.09E-16,0.999569,2.02E-218,2.60E-138,4.34778e-322,5.31E-42,5.95E-87,4.9E-324
186800,5.70E-16,0.999574,1.34E-218,2.06E-138,4.34778e-322,3.14E-42,2.32E-87,4.9E-324
186900,5.34E-16,0.99908,8.94E-219,1.64E-138,4.34778e-322,1.85E-42,9.04E-88,4.9E-324
187000,4.99E-16,0.998646,5.94E-219,1.30E-138,4.34778e-322,1.09E-42,3.53E-88,4.9E-324
187100,4.67E-16,0.997847,3.94E-219,1.03E-138,4.34778e-322,6.46E-43,1.37E-88,4.9E-324
187200,4.37E-16,0.999481,2.62E-219,8.19E-139,4.34778e-322,3.82E-43,5.36E-89,4.9E-324
187300,4.09E-16,0.999453,1.74E-219,6.50E-139,4.34778e-322,2.26E-43,2.09E-89,4.9E-324
187400,3.83E-16,0.999354,1.16E-219,5.16E-139,4.34778e-322,1.33E-43,8.17E-90,4.9E-324
187500,3.59E-16,0.999704,7.69E-220,4.10E-139,4.34778e-322,7.88E-44,3.19E-90,4.9E-324
187600,3.36E-16,0.999377,5.11E-220,3.25E-139,4.34778e-322,4.65E-44,1.24E-90,4.9E-324
187700,3.14E-16,0.998431,3.39E-220,2.58E-139,4.34778e-322,2.75E-44,4.85E-91,4.9E-324
187800,2.94E-16,0.999826,2.26E-220,2.05E-139,4.34778e-322,1.63E-44,1.89E-91,4.9E-324
187900,2.75E-16,0.999726,1.50E-220,1.63E-139,4.34778e-322,9.62E-45,7.39E-92,4.9E-324
188000,2.57E-16,0.99856,9.98E-221,1.29E-139,4.34778e-322,5.68E-45,2.88E-92,4.9E-324
188100,2.41E-16,0.998939,6.63E-221,1.03E-139,4.34778e-322,3.36E-45,1.12E-92,4.9E-324
188200,2.25E-16,0.999767,4.41E-221,8.16E-140,4.34778e-322,1.99E-45,4.39E-93,4.9E-324
188300,2.11E-16,0.998605,2.93E-221,6.47E-140,4.34778e-322,1.17E-45,1.71E-93,4.9E-324
188400,1.97E-16,0.999156,1.95E-221,5.14E-140,4.34778e-322,6.93E-46,6.68E-94,4.9E-324
188500,1.85E-16,0.999614,1.30E-221,4.08E-140,4.34778e-322,4.10E-46,2.61E-94,4.9E-324
188600,1.73E-16,0.999298,8.61E-222,3.24E-140,4.34778e-322,2.42E-46,1.01E-94,4.9E-324
188700,1.62E-16,0.999246,5.73E-222,2.57E-140,4.34778e-322,1.43E-46,3.96E-95,4.9E-324
188800,1.51E-16,0.997876,3.80E-222,2.04E-140,4.34778e-322,8.44E-47,1.54E-95,4.9E-324
188900,1.42E-16,0.999521,2.53E-222,1.62E-140,4.34778e-322,5.00E-47,6.02E-96,4.9E-324
189000,1.33E-16,0.998834,1.68E-222,1.29E-140,4.34778e-322,2.95E-47,2.35E-96,4.9E-324
189100,1.24E-16,0.999914,1.12E-222,1.02E-140,4.34778e-322,1.74E-47,9.17E-97,4.9E-324
189200,1.16E-16,0.998952,7.43E-223,8.10E-141,4.34778e-322,1.03E-47,3.57E-97,4.9E-324
189300,1.09E-16,0.999263,4.94E-223,6.43E-141,4.34778e-322,6.09E-48,1.39E-97,4.9E-324
189400,1.02E-16,0.999238,3.28E-223,5.11E-141,4.34778e-322,3.60E-48,5.43E-98,4.9E-324
189500,9.53E-17,0.99975,2.18E-223,4.06E-141,4.34778e-322,2.13E-48,2.12E-98,4.9E-324
189600,8.92E-17,0.999247,1.45E-223,3.22E-141,4.34778e-322,1.26E-48,8.28E-99,4.9E-324
189700,8.35E-17,0.999959,9.65E-224,2.56E-141,4.34778e-322,7.43E-49,3.23E-99,4.9E-324
189800,7.81E-17,0.999975,6.41E-224,2.03E-141,4.34778e-322,4.39E-49,1.26E-99,4.9E-324
189900,7.30E-17,0.998589,4.26E-224,1.61E-141,4.34778e-322,2.59E-49,4.91E-100,4.9E-324
190000,6.84E-17,0.998967,2.83E-224,1.28E-141,4.34778e-322,1.53E-49,1.92E-100,4.9E-324
190100,6.40E-17,0.999424,1.89E-224,1.02E-141,4.34778e-322,9.07E-50,7.49E-101,4.9E-324
190200,6.00E-17,0.999539,1.25E-224,8.07E-142,4.34778e-322,5.36E-50,2.92E-101,4.9E-324
190300,5.62E-17,0.999974,8.35E-225,6.41E-142,4.34778e-322,3.17E-50,1.14E-101,4.9E-324
190400,5.25E-17,0.999563,5.54E-225,5.09E-142,4.34778e-322,1.87E-50,4.45E-102,4.9E-324
190500,4.92E-17,0.999868,3.69E-225,4.04E-142,4.34778e-322,1.11E-50,1.74E-102,4.9E-324
190600,4.61E-17,0.999246,2.45E-225,3.21E-142,4.34778e-322,6.55E-51,6.78E-103,4.9E-324
190700,4.31E-17,0.999933,1.63E-225,2.55E-142,4.34778e-322,3.88E-51,2.65E-103,4.9E-324
190800,4.03E-17,0.999866,1.09E-225,2.02E-142,4.34778e-322,2.29E-51,1.04E-103,4.9E-324
190900,3.78E-17,0.999993,7.22E-226,1.61E-142,4.34778e-322,1.36E-51,4.04E-104,4.9E-324
191000,3.53E-17,0.999994,4.80E-226,1.28E-142,4.34778e-322,8.02E-52,1.58E-104,4.9E-324
191100,3.31E-17,0.999783,3.19E-226,1.01E-142,4.34778e-322,4.74E-52,6.16E-105,4.9E-324
191200,3.09E-17,0.999958,2.12E-226,8.05E-143,4.34778e-322,2.80E-52,2.41E-105,4.9E-324
191300,2.89E-17,0.999989,1.41E-226,6.40E-143,4.34778e-322,1.66E-52,9.39E-106,4.9E-324
191400,2.71E-17,0.999317,9.38E-227,5.08E-143,4.34778e-322,9.80E-53,3.66E-106,4.9E-324
191500,2.53E-17,0.999655,6.24E-227,4.03E-143,4.34778e-322,5.79E-53,1.43E-106,4.9E-324
191600,2.37E-17,0.999882,4.15E-227,3.20E-143,4.34778e-322,3.42E-53,5.58E-107,4.9E-324
191700,2.22E-17,0.999185,2.75E-227,2.54E-143,4.34778e-322,2.02E-53,2.18E-107,4.9E-324
191800,2.08E-17,0.999988,1.83E-227,2.02E-143,4.34778e-322,1.20E-53,8.51E-108,4.9E-324
191900,1.94E-17,0.999071,1.22E-227,1.60E-143,4.34778e-322,7.08E-54,3.32E-108,4.9E-324
192000,1.82E-17,0.999346,8.09E-228,1.27E-143,4.34778e-322,4.18E-54,1.29E-108,4.9E-324
192100,1.70E-17,0.998927,5.37E-228,1.01E-143,4.34778e-322,2.47E-54,5.06E-109,4.9E-324
192200,1.59E-17,0.999021,3.57E-228,8.02E-144,4.34778e-322,1.46E-54,1.97E-109,4.9E-324
192300,1.49E-17,0.999512,2.38E-228,6.37E-144,4.34778e-322,8.63E-55,7.70E-110,4.9E-324
192400,1.39E-17,0.999333,1.58E-228,5.06E-144,4.34778e-322,5.10E-55,3.01E-110,4.9E-324
192500,1.31E-17,0.998763,1.05E-228,4.01E-144,4.34778e-322,3.01E-55,0.000552892,4.9E-324
192600,1.22E-17,0.998889,6.99E-229,3.19E-144,4.34778e-322,1.78E-55,0.000215887,4.9E-324
192700,1.15E-17,0.999814,4.65E-229,2.53E-144,4.34778e-322,1.05E-55,8.43E-05,4.9E-324
192800,1.07E-17,0.999627,3.09E-229,2.01E-144,4.34778e-322,6.23E-56,3.29E-05,4.9E-324
192900,1.00E-17,0.999689,2.05E-229,1.60E-144,4.34778e-322,3.69E-56,1.28E-05,4.9E-324
193000,9.40E-18,0.999331,1.37E-229,1.27E-144,4.34778e-322,2.17E-56,5.00E-06,4.9E-324
193100,8.80E-18,0.999915,9.08E-230,1.01E-144,4.34778e-322,1.29E-56,1.95E-06,4.9E-324
193200,8.23E-18,0.999401,6.04E-230,7.99E-145,4.34778e-322,7.60E-57,7.61E-07,4.9E-324
193300,7.72E-18,0.999996,4.01E-230,6.35E-145,4.34778e-322,4.49E-57,2.97E-07,4.9E-324
193400,7.22E-18,0.999952,2.67E-230,5.04E-145,4.34778e-322,2.66E-57,1.16E-07,4.9E-324
193500,6.75E-18,0.999169,1.77E-230,4.00E-145,4.34778e-322,1.57E-57,4.53E-08,4.9E-324
193600,6.32E-18,0.99983,1.18E-230,3.18E-145,4.34778e-322,9.28E-58,1.77E-08,4.9E-324
193700,5.92E-18,0.999908,7.86E-231,2.52E-145,4.34778e-322,5.49E-58,6.90E-09,4.9E-324
193800,5.53E-18,0.99855,5.22E-231,2.00E-145,4.34778e-322,3.24E-58,2.68E-09,4.9E-324
193900,5.18E-18,0.99979,3.47E-231,1.59E-145,4.34778e-322,1.92E-58,1.05E-09,4.9E-324
194000,4.85E-18,0.999826,2.31E-231,1.26E-145,4.34778e-322,1.13E-58,4.09E-10,4.9E-324
194100,4.54E-18,0.999922,1.54E-231,1.00E-145,4.34778e-322,6.70E-59,1.60E-10,4.9E-324
194200,4.25E-18,0.999958,1.02E-231,7.96E-146,4.34778e-322,3.96E-59,6.23E-11,4.9E-324
194300,3.98E-18,1,6.79E-232,6.32E-146,4.34778e-322,2.34E-59,2.43E-11,4.9E-324
194400,3.73E-18,0.999305,4.51E-232,5.01E-146,4.34778e-322,1.38E-59,9.47E-12,4.9E-324
194500,3.49E-18,0.999248,3.00E-232,3.98E-146,4.34778e-322,8.15E-60,3.69E-12,4.9E-324
194600,3.27E-18,0.999589,1.99E-232,3.16E-146,4.34778e-322,4.82E-60,1.44E-12,4.9E-324
194700,3.06E-18,0.999404,1.33E-232,2.51E-146,4.34778e-322,2.85E-60,5.63E-13,4.9E-324
194800,2.86E-18,0.999166,8.81E-233,1.99E-146,4.34778e-322,1.68E-60,2.19E-13,4.9E-324
194900,2.68E-18,0.99996,5.86E-233,1.58E-146,4.34778e-322,9.95E-61,8.56E-14,4.9E-324
195000,2.51E-18,0.999987,3.89E-233,1.26E-146,4.34778e-322,5.89E-61,3.34E-14,4.9E-324
195100,2.35E-18,0.999997,2.59E-233,9.98E-147,4.34778e-322,3.48E-61,1.30E-14,4.9E-324
195200,2.19E-18,0.999442,1.72E-233,7.92E-147,4.34778e-322,2.05E-61,5.09E-15,4.9E-324
195300,2.05E-18,0.998922,1.14E-233,6.29E-147,4.34778e-322,1.21E-61,1.99E-15,4.9E-324
195400,1.92E-18,0.998328,7.59E-234,4.99E-147,4.34778e-322,7.18E-62,7.75E-16,4.9E-324
195500,1.80E-18,0.999862,5.06E-234,3.97E-147,4.34778e-322,4.25E-62,3.03E-16,4.9E-324
195600,1.69E-18,0.999869,3.36E-234,3.15E-147,4.34778e-322,2.51E-62,1.18E-16,4.9E-324
195700,1.58E-18,0.999432,2.24E-234,2.50E-147,4.34778e-322,1.48E-62,4.60E-17,4.9E-324
195800,1.47E-18,0.998728,1.48E-234,1.98E-147,4.34778e-322,8.77E-63,1.80E-17,4.9E-324
195900,1.38E-18,0.999596,9.88E-235,1.58E-147,4.34778e-322,5.19E-63,7.03E-18,4.9E-324
196000,1.29E-18,0.999347,6.56E-235,1.25E-147,4.34778e-322,3.06E-63,2.74E-18,4.9E-324
196100,1.21E-18,0.999929,4.37E-235,9.94E-148,4.34778e-322,1.81E-63,1.07E-18,4.9E-324
196200,1.13E-18,0.999774,2.90E-235,7.89E-148,4.34778e-322,1.07E-63,4.17E-19,4.9E-324
196300,1.06E-18,0.999327,1.93E-235,6.27E-148,4.34778e-322,6.32E-64,1.63E-19,4.9E-324
196400,9.93E-19,0.999406,1.28E-235,4.98E-148,4.34778e-322,3.74E-64,6.36E-20,4.9E-324
196500,9.30E-19,0.999562,8.52E-236,3.95E-148,4.34778e-322,2.21E-64,2.48E-20,4.9E-324
196600,8.71E-19,0.99999,5.67E-236,3.14E-148,4.34778e-322,1.31E-64,9.66E-21,4.9E-324
196700,8.15E-19,0.999754,3.77E-236,2.49E-148,4.34778e-322,7.71E-65,3.77E-21,4.9E-324
196800,7.61E-19,0.998795,2.50E-236,1.97E-148,4.34778e-322,4.55E-65,1.47E-21,4.9E-324
196900,7.13E-19,0.999997,1.67E-236,1.57E-148,4.34778e-322,2.70E-65,5.75E-22,4.9E-324
197000,6.67E-19,0.998968,1.11E-236,1.25E-148,4.34778e-322,1.59E-65,2.24E-22,4.9E-324
197100,6.25E-19,0.999509,7.36E-237,9.90E-149,4.34778e-322,9.42E-66,8.75E-23,4.9E-324
197200,5.85E-19,0.999546,4.89E-237,7.86E-149,4.34778e-322,5.56E-66,3.41E-23,4.9E-324
197300,5.48E-19,0.999918,3.25E-237,6.24E-149,4.34778e-322,3.29E-66,1.33E-23,4.9E-324
197400,5.12E-19,0.998297,2.16E-237,4.95E-149,4.34778e-322,1.94E-66,5.19E-24,4.9E-324
197500,4.80E-19,0.999315,1.44E-237,3.93E-149,4.34778e-322,1.15E-66,2.03E-24,4.9E-324
197600,4.49E-19,0.998829,9.55E-238,3.12E-149,4.34778e-322,6.79E-67,7.92E-25,4.9E-324
