name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13787,stra.13788,stra.13790,stra.13905,stra.13906,stra.13908,stra.14026,stra.14147,stra.13321
33,2.80E-05,1.47E-05,1.84E-05,8.62E-06,1.35E-06,5.92E-07,1.41E-07,1.10E-05,4.46E-06,5.67E-07,5.73E-06,2.46E-06,9.59E-07
34,2.82E-05,1.43E-05,1.85E-05,8.30E-06,1.18E-06,5.00E-07,1.11E-07,1.10E-05,4.23E-06,4.85E-07,5.69E-06,2.42E-06,7.50E-07
35,2.85E-05,1.39E-05,1.86E-05,7.99E-06,1.04E-06,4.22E-07,8.82E-08,1.10E-05,4.02E-06,4.16E-07,5.66E-06,2.38E-06,5.85E-07
36,2.89E-05,1.35E-05,1.87E-05,7.70E-06,9.11E-07,3.56E-07,6.98E-08,1.10E-05,3.83E-06,3.56E-07,5.64E-06,2.35E-06,4.55E-07
37,2.93E-05,1.31E-05,1.89E-05,7.43E-06,8.00E-07,3.01E-07,5.52E-08,1.11E-05,3.65E-06,3.05E-07,5.63E-06,2.32E-06,3.52E-07
38,2.97E-05,1.28E-05,1.91E-05,7.17E-06,7.02E-07,2.54E-07,4.36E-08,1.11E-05,3.48E-06,2.61E-07,5.63E-06,2.30E-06,2.73E-07
39,3.01E-05,1.25E-05,1.93E-05,6.93E-06,6.16E-07,2.14E-07,3.44E-08,1.12E-05,3.32E-06,2.24E-07,5.64E-06,2.29E-06,2.10E-07
40,3.05E-05,1.22E-05,1.96E-05,6.70E-06,5.40E-07,1.80E-07,2.71E-08,1.13E-05,3.17E-06,1.91E-07,5.66E-06,2.27E-06,1.62E-07
41,3.10E-05,1.19E-05,1.98E-05,6.47E-06,4.74E-07,1.52E-07,2.14E-08,1.14E-05,3.03E-06,1.64E-07,5.68E-06,2.27E-06,1.24E-07
42,3.15E-05,1.16E-05,2.01E-05,6.26E-06,4.16E-07,1.28E-07,1.68E-08,1.16E-05,2.89E-06,1.40E-07,5.72E-06,2.26E-06,9.54E-08
43,3.21E-05,1.13E-05,2.04E-05,6.06E-06,3.65E-07,1.08E-07,1.32E-08,1.17E-05,2.77E-06,1.20E-07,5.75E-06,2.26E-06,7.30E-08
44,3.26E-05,1.10E-05,2.08E-05,5.87E-06,3.20E-07,9.07E-08,1.04E-08,1.18E-05,2.65E-06,1.03E-07,5.80E-06,2.26E-06,5.57E-08
45,3.32E-05,1.08E-05,2.11E-05,5.68E-06,2.80E-07,7.64E-08,8.19E-09,1.20E-05,2.53E-06,8.81E-08,5.85E-06,2.27E-06,4.24E-08
46,3.39E-05,1.05E-05,2.14E-05,5.50E-06,2.46E-07,6.42E-08,6.44E-09,1.22E-05,2.43E-06,7.55E-08,5.91E-06,2.28E-06,3.23E-08
47,3.45E-05,1.03E-05,2.18E-05,5.33E-06,2.15E-07,5.40E-08,5.05E-09,1.23E-05,2.33E-06,6.46E-08,5.97E-06,2.29E-06,2.45E-08
48,3.52E-05,1.00E-05,2.22E-05,5.17E-06,1.89E-07,4.54E-08,3.97E-09,1.25E-05,2.23E-06,5.53E-08,6.04E-06,2.30E-06,1.86E-08
49,3.59E-05,9.81E-06,2.26E-05,5.01E-06,1.66E-07,3.82E-08,3.11E-09,1.27E-05,2.14E-06,4.74E-08,6.12E-06,2.31E-06,1.40E-08
50,3.66E-05,9.59E-06,2.30E-05,4.86E-06,1.45E-07,3.21E-08,2.44E-09,1.29E-05,2.05E-06,4.05E-08,6.20E-06,2.33E-06,1.06E-08
51,3.74E-05,9.38E-06,2.35E-05,4.72E-06,1.27E-07,2.70E-08,1.91E-09,1.32E-05,1.97E-06,3.47E-08,6.28E-06,2.35E-06,8.00E-09
52,3.82E-05,9.17E-06,2.39E-05,4.58E-06,1.11E-07,2.27E-08,1.50E-09,1.34E-05,1.89E-06,2.97E-08,6.37E-06,2.37E-06,6.02E-09
53,3.90E-05,8.97E-06,2.44E-05,4.44E-06,9.77E-08,1.91E-08,1.18E-09,1.36E-05,1.82E-06,2.54E-08,6.47E-06,2.39E-06,4.53E-09
54,3.98E-05,8.77E-06,2.49E-05,4.32E-06,8.56E-08,1.60E-08,9.21E-10,1.39E-05,1.74E-06,2.18E-08,6.57E-06,2.42E-06,3.40E-09
55,4.07E-05,8.58E-06,2.54E-05,4.19E-06,7.50E-08,1.35E-08,7.22E-10,1.42E-05,1.68E-06,1.87E-08,6.67E-06,2.45E-06,2.55E-09
56,4.16E-05,8.40E-06,2.60E-05,4.07E-06,6.58E-08,1.13E-08,5.65E-10,1.44E-05,1.61E-06,1.60E-08,6.79E-06,2.48E-06,1.91E-09
57,4.25E-05,8.22E-06,2.66E-05,3.96E-06,5.77E-08,9.50E-09,4.43E-10,1.47E-05,1.55E-06,1.37E-08,6.90E-06,2.51E-06,1.43E-09
58,4.35E-05,8.05E-06,2.71E-05,3.85E-06,5.05E-08,7.98E-09,3.47E-10,1.50E-05,1.49E-06,1.17E-08,7.03E-06,2.54E-06,1.07E-09
59,4.45E-05,7.88E-06,2.77E-05,3.74E-06,4.43E-08,6.71E-09,2.72E-10,1.53E-05,1.44E-06,1.01E-08,7.15E-06,2.58E-06,7.96E-10
60,4.56E-05,7.72E-06,2.84E-05,3.64E-06,3.89E-08,5.64E-09,2.13E-10,1.57E-05,1.38E-06,8.62E-09,7.29E-06,2.61E-06,5.93E-10
61,4.66E-05,7.57E-06,2.90E-05,3.54E-06,3.41E-08,4.74E-09,1.67E-10,1.60E-05,1.33E-06,7.39E-09,7.43E-06,2.65E-06,4.42E-10
62,4.77E-05,7.41E-06,2.97E-05,3.44E-06,2.99E-08,3.98E-09,1.30E-10,1.63E-05,1.28E-06,6.34E-09,7.57E-06,2.69E-06,3.29E-10
63,4.89E-05,7.27E-06,3.04E-05,3.35E-06,2.62E-08,3.35E-09,1.02E-10,1.67E-05,1.24E-06,5.44E-09,7.73E-06,2.74E-06,2.45E-10
64,5.01E-05,7.12E-06,3.11E-05,3.27E-06,2.30E-08,2.82E-09,8.01E-11,1.71E-05,1.19E-06,4.67E-09,7.88E-06,2.78E-06,1.82E-10
65,5.13E-05,6.99E-06,3.19E-05,3.18E-06,2.02E-08,2.37E-09,6.27E-11,1.75E-05,1.15E-06,4.00E-09,8.05E-06,2.83E-06,1.35E-10
66,5.26E-05,6.85E-06,3.27E-05,3.10E-06,1.78E-08,1.99E-09,4.92E-11,1.79E-05,1.11E-06,3.44E-09,8.22E-06,2.88E-06,1.00E-10
67,5.40E-05,6.73E-06,3.35E-05,3.02E-06,1.56E-08,1.68E-09,3.85E-11,1.83E-05,1.07E-06,2.95E-09,8.40E-06,2.94E-06,7.41E-11
68,5.53E-05,6.60E-06,3.43E-05,2.95E-06,1.37E-08,1.41E-09,3.02E-11,1.88E-05,1.04E-06,2.54E-09,8.59E-06,2.99E-06,5.49E-11
69,5.68E-05,6.48E-06,3.52E-05,2.87E-06,1.21E-08,1.19E-09,2.37E-11,1.92E-05,1.00E-06,2.18E-09,8.79E-06,3.05E-06,4.06E-11
70,5.83E-05,6.37E-06,3.61E-05,2.81E-06,1.06E-08,1.00E-09,1.86E-11,1.97E-05,9.67E-07,1.88E-09,8.99E-06,3.11E-06,3.00E-11
71,5.98E-05,6.25E-06,3.70E-05,2.74E-06,9.32E-09,8.44E-10,1.46E-11,2.02E-05,9.36E-07,1.62E-09,9.20E-06,3.17E-06,2.22E-11
72,6.14E-05,6.15E-06,3.80E-05,2.67E-06,8.21E-09,7.12E-10,1.15E-11,2.07E-05,9.05E-07,1.39E-09,9.42E-06,3.24E-06,1.64E-11
73,6.31E-05,6.04E-06,3.90E-05,2.61E-06,7.23E-09,6.01E-10,9.02E-12,2.13E-05,8.76E-07,1.20E-09,9.66E-06,3.31E-06,1.21E-11
74,6.48E-05,5.94E-06,4.01E-05,2.55E-06,6.37E-09,5.07E-10,7.09E-12,2.18E-05,8.49E-07,1.03E-09,9.90E-06,3.38E-06,8.95E-12
75,6.66E-05,5.85E-06,4.12E-05,2.50E-06,5.61E-09,4.28E-10,5.58E-12,2.24E-05,8.22E-07,8.90E-10,1.01E-05,3.46E-06,6.61E-12
