name,stra.13200,stra.13663,stra.13664,stra.13784,stra.13785,stra.13786,stra.13905,stra.13906,stra.14026,stra.14027,stra.14147,stra.14393,stra.14399,stra.14511,stra.14512,stra.14642
278000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.78E-204,1.03754e-321,0.00100855,6.63E-06,0.0607532,0.120093,0.786369
278100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.35E-204,1.03754e-321,0.00101782,6.75E-06,0.0602989,0.119877,0.786707
278200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.98E-204,1.03754e-321,0.00102678,6.87E-06,0.0597727,0.119516,0.787308
278300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.67E-204,1.03754e-321,0.00103549,6.99E-06,0.0591913,0.119039,0.788134
278400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.41E-204,1.03754e-321,0.00104403,7.11E-06,0.0585762,0.118488,0.789126
278500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.19E-204,1.03754e-321,0.00105251,7.23E-06,0.0579518,0.117908,0.790208
278600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.00E-204,1.03754e-321,0.00106106,7.35E-06,0.0573432,0.117348,0.791299
278700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,8.42E-205,1.03754e-321,0.00106982,7.48E-06,0.0567733,0.116856,0.792316
278800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,7.08E-205,1.03754e-321,0.00107889,7.61E-06,0.0562612,0.116471,0.793186
278900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,5.96E-205,1.03754e-321,0.00108837,7.75E-06,0.0558203,0.11622,0.793847
279000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,5.01E-205,1.03754e-321,0.00109835,7.89E-06,0.0554583,0.116123,0.79426
279100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,4.21E-205,1.03754e-321,0.00110886,8.03E-06,0.0551768,0.116184,0.794401
279200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.54E-205,1.03754e-321,0.0011199,8.18E-06,0.0549721,0.1164,0.794269
279300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.97E-205,1.03754e-321,0.00113147,8.33E-06,0.0548359,0.116755,0.793879
279400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.50E-205,1.03754e-321,0.00114351,8.49E-06,0.0547568,0.117227,0.793262
279500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.10E-205,1.03754e-321,0.00115597,8.66E-06,0.0547206,0.117791,0.792458
279600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.76E-205,1.03754e-321,0.00116876,8.83E-06,0.0547118,0.118413,0.791518
279700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.48E-205,1.03754e-321,0.00118179,9.00E-06,0.0547135,0.119061,0.790498
279800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.25E-205,1.03754e-321,0.00119496,9.17E-06,0.054709,0.119698,0.789456
279900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.05E-205,1.03754e-321,0.00120818,9.35E-06,0.0546817,0.120289,0.788453
280000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,8.85E-206,1.03754e-321,0.00122133,9.53E-06,0.0546161,0.1208,0.78755
280100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,7.46E-206,1.03754e-321,0.00123432,9.71E-06,0.0544982,0.121201,0.7868
280200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,6.29E-206,1.03754e-321,0.00124705,9.90E-06,0.054317,0.121465,0.786254
280300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,5.31E-206,1.03754e-321,0.00125945,1.01E-05,0.0540647,0.121573,0.78595
280400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,4.48E-206,1.03754e-321,0.00127146,1.03E-05,0.0537381,0.121516,0.785914
280500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.78E-206,1.03754e-321,0.00128307,1.04E-05,0.0533392,0.121295,0.786153
280600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.19E-206,1.03754e-321,0.00129427,1.06E-05,0.0528754,0.120924,0.786656
280700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.69E-206,1.03754e-321,0.00130515,1.08E-05,0.0523597,0.12043,0.78739
280800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.27E-206,1.03754e-321,0.00131577,1.10E-05,0.0518095,0.11985,0.788303
280900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.92E-206,1.03754e-321,0.00132629,1.12E-05,0.0512453,0.119227,0.789327
281000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.61E-206,1.03754e-321,0.00133684,1.14E-05,0.0506885,0.118611,0.790384
281100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.36E-206,1.03754e-321,0.00134759,1.16E-05,0.0501595,0.118048,0.791394
281200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.14E-206,1.03754e-321,0.00135868,1.18E-05,0.0496759,0.117579,0.79228
281300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,9.63E-207,1.03754e-321,0.00137026,1.20E-05,0.0492507,0.117235,0.792981
281400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,8.10E-207,1.03754e-321,0.00138241,1.22E-05,0.048892,0.117037,0.793451
281500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,6.81E-207,1.03754e-321,0.0013952,1.24E-05,0.0486026,0.116995,0.793661
281600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,5.73E-207,1.03754e-321,0.00140865,1.26E-05,0.0483805,0.117105,0.793604
281700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,4.81E-207,1.03754e-321,0.00142274,1.29E-05,0.0482198,0.117358,0.793291
281800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,4.05E-207,1.03754e-321,0.00143745,1.31E-05,0.0481113,0.117733,0.792746
281900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.40E-207,1.03754e-321,0.00145268,1.34E-05,0.0480433,0.118204,0.792007
282000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.86E-207,1.03754e-321,0.00146834,1.36E-05,0.0480026,0.118741,0.79112
282100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.41E-207,1.03754e-321,0.00148434,1.39E-05,0.047975,0.119312,0.790139
282200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.03E-207,1.03754e-321,0.00150054,1.41E-05,0.047946,0.119881,0.789122
282300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.71E-207,1.03754e-321,0.00151682,1.44E-05,0.047901,0.120413,0.788126
282400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.44E-207,1.03754e-321,0.00153304,1.47E-05,0.0478265,0.120875,0.787212
282500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.21E-207,1.03754e-321,0.00154909,1.50E-05,0.0477101,0.121234,0.786434
282600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.02E-207,1.03754e-321,0.00156484,1.52E-05,0.0475416,0.121465,0.785843
282700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,8.64E-208,1.03754e-321,0.0015802,1.55E-05,0.0473137,0.121546,0.785479
282800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,7.29E-208,1.03754e-321,0.00159509,1.58E-05,0.0470227,0.121467,0.785371
282900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,6.16E-208,1.03754e-321,0.00160947,1.61E-05,0.0466693,0.121226,0.78553
283000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,5.20E-208,1.03754e-321,0.00162335,1.64E-05,0.0462588,0.120835,0.78595
283100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,4.39E-208,1.03754e-321,0.0016368,1.66E-05,0.0458012,0.120316,0.786605
283200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.71E-208,1.03754e-321,0.00164991,1.69E-05,0.0453106,0.119703,0.787447
283300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.13E-208,1.03754e-321,0.00166283,1.72E-05,0.044804,0.119039,0.788415
283400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.64E-208,1.03754e-321,0.00167575,1.75E-05,0.0442996,0.118369,0.789433
283500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.22E-208,1.03754e-321,0.00168886,1.78E-05,0.0438151,0.11774,0.790425
283600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.87E-208,1.03754e-321,0.00170234,1.81E-05,0.0433661,0.117194,0.791314
283700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.58E-208,1.03754e-321,0.00171638,1.84E-05,0.0429647,0.116763,0.792037
283800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.33E-208,1.03754e-321,0.00173109,1.87E-05,0.0426187,0.11647,0.792544
283900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.12E-208,1.03754e-321,0.00174657,1.91E-05,0.0423318,0.116327,0.792804
284000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,9.39E-209,1.03754e-321,0.00176286,1.94E-05,0.042103,0.116334,0.792804
284100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,7.90E-209,1.03754e-321,0.00177994,1.98E-05,0.041928,0.116482,0.79255
284200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,6.65E-209,1.03754e-321,0.00179777,2.01E-05,0.0417996,0.116753,0.792064
284300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,5.59E-209,1.03754e-321,0.00181628,2.05E-05,0.0417082,0.117124,0.791378
284400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,4.71E-209,1.03754e-321,0.00183534,2.09E-05,0.0416426,0.117565,0.790537
284500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.96E-209,1.03754e-321,0.00185482,2.13E-05,0.041591,0.118045,0.789592
284600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.34E-209,1.03754e-321,0.00187459,2.17E-05,0.0415407,0.11853,0.788598
284700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.81E-209,1.03754e-321,0.00189447,2.21E-05,0.0414795,0.118985,0.787613
284800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.37E-209,1.03754e-321,0.00191432,2.25E-05,0.0413955,0.119378,0.786696
284900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.00E-209,1.03754e-321,0.00193396,2.29E-05,0.0412779,0.119676,0.7859
285000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.69E-209,1.03754e-321,0.00195326,2.33E-05,0.0411177,0.119854,0.785278
285100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.42E-209,1.03754e-321,0.00197209,2.38E-05,0.0409082,0.119889,0.78487
285200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.20E-209,1.03754e-321,0.00199035,2.42E-05,0.0406457,0.119771,0.784706
285300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.02E-209,1.03754e-321,0.00200798,2.46E-05,0.0403302,0.119495,0.784803
285400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,8.59E-210,1.03754e-321,0.00202499,2.50E-05,0.0399654,0.119071,0.785156
285500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,7.26E-210,1.03754e-321,0.00204143,2.55E-05,0.0395593,0.118519,0.785744
285600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,6.13E-210,1.03754e-321,0.00205743,2.59E-05,0.0391231,0.11787,0.786525
285700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,5.17E-210,1.03754e-321,0.00207315,2.63E-05,0.0386709,0.117163,0.78744
285800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,4.37E-210,1.03754e-321,0.00208882,2.67E-05,0.0382179,0.116443,0.78842
285900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.68E-210,1.03754e-321,0.00210467,2.72E-05,0.0377793,0.115754,0.789387
286000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.11E-210,1.03754e-321,0.00212093,2.76E-05,0.0373686,0.115137,0.790269
286100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.62E-210,1.03754e-321,0.00213782,2.81E-05,0.0369966,0.114627,0.791
286200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.20E-210,1.03754e-321,0.00215551,2.86E-05,0.0366706,0.114246,0.791528
286300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.86E-210,1.03754e-321,0.00217412,2.91E-05,0.0363942,0.114007,0.79182
286400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.56E-210,1.03754e-321,0.00219369,2.96E-05,0.0361674,0.113913,0.791859
286500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.32E-210,1.03754e-321,0.00221425,3.01E-05,0.0359869,0.113957,0.791649
286600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.11E-210,1.03754e-321,0.00223573,3.07E-05,0.035847,0.114121,0.791206
286700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,9.32E-211,1.03754e-321,0.00225803,3.12E-05,0.0357399,0.114386,0.790562
286800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,7.85E-211,1.03754e-321,0.00228104,3.18E-05,0.0356563,0.114722,0.789757
286900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,6.61E-211,1.03754e-321,0.00230459,3.24E-05,0.0355861,0.1151,0.788842
287000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,5.57E-211,1.03754e-321,0.00232849,3.30E-05,0.0355189,0.115488,0.78787
287100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,4.70E-211,1.03754e-321,0.00235257,3.36E-05,0.0354441,0.115851,0.786897
287200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.96E-211,1.03754e-321,0.00237661,3.42E-05,0.0353516,0.116158,0.785981
287300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.35E-211,1.03754e-321,0.00240042,3.48E-05,0.0352322,0.116378,0.785176
287400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.82E-211,1.03754e-321,0.00242382,3.55E-05,0.0350781,0.116486,0.784533
287500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.39E-211,1.03754e-321,0.00244664,3.61E-05,0.0348834,0.116459,0.784094
287600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.02E-211,1.03754e-321,0.00246876,3.67E-05,0.0346447,0.116286,0.783891
287700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.70E-211,1.03754e-321,0.00249012,3.74E-05,0.0343616,0.115963,0.783941
287800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.44E-211,1.03754e-321,0.0025107,3.80E-05,0.0340369,0.115496,0.784242
287900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.22E-211,1.03754e-321,0.00253056,3.86E-05,0.0336769,0.114904,0.784776
288000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.03E-211,1.03754e-321,0.00254984,3.93E-05,0.0332906,0.114215,0.785506
288100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,8.70E-212,1.03754e-321,0.00256874,3.99E-05,0.0328896,0.113467,0.786375
288200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,7.35E-212,1.03754e-321,0.00258753,4.06E-05,0.0324865,0.112701,0.787316
288300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,6.20E-212,1.03754e-321,0.00260649,4.12E-05,0.0320941,0.111959,0.788257
288400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,5.24E-212,1.03754e-321,0.00262591,4.19E-05,0.0317239,0.111281,0.789123
288500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,4.42E-212,1.03754e-321,0.00264605,4.26E-05,0.0313851,0.110699,0.78985
288600,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.72E-212,1.03754e-321,0.00266713,4.33E-05,0.0310843,0.110239,0.790386
288700,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,3.14E-212,1.03754e-321,0.0026893,4.40E-05,0.0308248,0.109913,0.790694
288800,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.64E-212,1.03754e-321,0.00271264,4.48E-05,0.0306069,0.109724,0.790757
288900,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,2.23E-212,1.03754e-321,0.00273717,4.55E-05,0.0304282,0.109666,0.790574
289000,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.88E-212,1.03754e-321,0.00276282,4.64E-05,0.0302842,0.109725,0.790161
289100,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.58E-212,1.03754e-321,0.00278949,4.72E-05,0.0301684,0.109881,0.789547
289200,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.33E-212,1.03754e-321,0.00281701,4.80E-05,0.0300732,0.110108,0.78877
289300,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,1.12E-212,1.03754e-321,0.00284521,4.89E-05,0.0299903,0.110377,0.787878
289400,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,9.47E-213,1.03754e-321,0.00287385,4.98E-05,0.0299109,0.110658,0.786923
289500,1.08694e-322,6.42285e-323,2.07508e-322,1.08694e-322,4.05134e-322,6.0276e-322,2.51973e-322,9.83191e-322,6.07701e-322,7.99E-213,1.03754e-321,0.0029027,5.07E-05,0.0298261,0.110918,0.785962
