name,stra.13200,stra.13663,stra.13664,stra.13784,stra.13785,stra.13786,stra.13905,stra.13906,stra.14026,stra.14027,stra.14147,stra.14393,stra.14399,stra.14511,stra.14512,stra.14642
27,7.03E-13,2.74E-05,1.78E-05,1.85E-05,1.12E-05,5.65E-06,1.15E-05,6.29E-06,6.38E-06,3.06E-06,2.97E-06,2.55E-09,2.15E-10,1.81E-09,4.82E-10,4.83E-05
28,2.75E-13,2.73E-05,1.72E-05,1.84E-05,1.06E-05,5.16E-06,1.14E-05,5.91E-06,6.21E-06,2.82E-06,2.85E-06,1.65E-09,1.20E-10,1.25E-09,2.99E-10,4.86E-05
29,1.07E-13,2.74E-05,1.66E-05,1.83E-05,1.02E-05,4.72E-06,1.12E-05,5.57E-06,6.08E-06,2.60E-06,2.75E-06,1.07E-09,6.71E-11,8.63E-10,1.86E-10,4.90E-05
30,4.11E-14,2.75E-05,1.61E-05,1.83E-05,9.76E-06,4.32E-06,1.11E-05,5.26E-06,5.96E-06,2.41E-06,2.66E-06,6.90E-10,3.74E-11,6.00E-10,1.16E-10,4.94E-05
31,1.58E-14,2.76E-05,1.56E-05,1.83E-05,9.36E-06,3.95E-06,1.10E-05,4.97E-06,5.87E-06,2.23E-06,2.59E-06,4.46E-10,2.08E-11,4.19E-10,7.26E-11,4.99E-05
32,6.01E-15,2.78E-05,1.51E-05,1.83E-05,8.99E-06,3.62E-06,1.10E-05,4.71E-06,5.80E-06,2.08E-06,2.52E-06,2.88E-10,1.16E-11,2.93E-10,4.54E-11,5.05E-05
33,2.28E-15,2.80E-05,1.47E-05,1.84E-05,8.64E-06,3.32E-06,1.10E-05,4.47E-06,5.74E-06,1.93E-06,2.47E-06,1.86E-10,6.40E-12,2.06E-10,2.84E-11,5.11E-05
34,8.62E-16,2.83E-05,1.43E-05,1.85E-05,8.31E-06,3.04E-06,1.10E-05,4.24E-06,5.70E-06,1.80E-06,2.42E-06,1.21E-10,3.55E-12,1.45E-10,1.78E-11,5.17E-05
35,3.24E-16,2.86E-05,1.39E-05,1.86E-05,8.01E-06,2.79E-06,1.10E-05,4.03E-06,5.67E-06,1.68E-06,2.38E-06,7.79E-11,1.96E-12,1.03E-10,1.12E-11,5.24E-05
36,1.22E-16,2.89E-05,1.35E-05,1.88E-05,7.72E-06,2.56E-06,1.10E-05,3.84E-06,5.65E-06,1.57E-06,2.35E-06,5.03E-11,1.08E-12,7.26E-11,7.03E-12,5.32E-05
37,4.54E-17,2.93E-05,1.32E-05,1.90E-05,7.45E-06,2.35E-06,1.11E-05,3.66E-06,5.64E-06,1.47E-06,2.33E-06,3.25E-11,5.97E-13,5.16E-11,4.42E-12,5.39E-05
38,1.69E-17,2.97E-05,1.28E-05,1.92E-05,7.19E-06,2.16E-06,1.12E-05,3.49E-06,5.64E-06,1.38E-06,2.31E-06,2.10E-11,3.29E-13,3.67E-11,2.79E-12,5.47E-05
39,6.27E-18,3.01E-05,1.25E-05,1.94E-05,6.95E-06,1.98E-06,1.12E-05,3.33E-06,5.65E-06,1.29E-06,2.29E-06,1.36E-11,1.81E-13,2.62E-11,1.76E-12,5.56E-05
40,2.32E-18,3.06E-05,1.22E-05,1.96E-05,6.71E-06,1.82E-06,1.13E-05,3.18E-06,5.67E-06,1.21E-06,2.28E-06,8.76E-12,9.97E-14,1.87E-11,1.11E-12,5.64E-05
41,8.54E-19,3.11E-05,1.19E-05,1.99E-05,6.49E-06,1.67E-06,1.15E-05,3.03E-06,5.70E-06,1.14E-06,2.27E-06,5.66E-12,5.48E-14,1.34E-11,6.99E-13,5.73E-05
42,3.14E-19,3.16E-05,1.16E-05,2.02E-05,6.28E-06,1.53E-06,1.16E-05,2.90E-06,5.73E-06,1.07E-06,2.27E-06,3.65E-12,3.01E-14,9.64E-12,4.42E-13,5.83E-05
43,1.15E-19,3.22E-05,1.13E-05,2.05E-05,6.08E-06,1.41E-06,1.17E-05,2.77E-06,5.77E-06,1.01E-06,2.27E-06,2.36E-12,1.65E-14,6.93E-12,2.79E-13,5.92E-05
44,4.22E-20,3.27E-05,1.11E-05,2.08E-05,5.89E-06,1.29E-06,1.19E-05,2.66E-06,5.82E-06,9.49E-07,2.27E-06,1.52E-12,9.05E-15,4.99E-12,1.77E-13,6.02E-05
45,1.54E-20,3.33E-05,1.08E-05,2.12E-05,5.70E-06,1.19E-06,1.20E-05,2.54E-06,5.87E-06,8.94E-07,2.28E-06,9.83E-13,4.96E-15,3.60E-12,1.12E-13,6.12E-05
46,5.62E-21,3.40E-05,1.06E-05,2.15E-05,5.52E-06,1.09E-06,1.22E-05,2.44E-06,5.93E-06,8.43E-07,2.28E-06,6.35E-13,2.72E-15,2.60E-12,7.08E-14,6.23E-05
47,2.04E-21,3.46E-05,1.03E-05,2.19E-05,5.35E-06,1.00E-06,1.24E-05,2.33E-06,5.99E-06,7.95E-07,2.29E-06,4.10E-13,1.49E-15,1.88E-12,4.49E-14,6.33E-05
48,7.42E-22,3.53E-05,1.01E-05,2.23E-05,5.19E-06,9.24E-07,1.26E-05,2.24E-06,6.06E-06,7.51E-07,2.31E-06,2.65E-13,8.16E-16,1.36E-12,2.85E-14,6.44E-05
49,2.69E-22,3.60E-05,9.85E-06,2.27E-05,5.03E-06,8.49E-07,1.28E-05,2.15E-06,6.14E-06,7.09E-07,2.32E-06,1.71E-13,4.46E-16,9.86E-13,1.81E-14,6.55E-05
50,9.75E-23,3.68E-05,9.63E-06,2.31E-05,4.88E-06,7.81E-07,1.30E-05,2.06E-06,6.22E-06,6.70E-07,2.34E-06,1.10E-13,2.44E-16,7.16E-13,1.15E-14,6.67E-05
51,3.52E-23,3.75E-05,9.42E-06,2.36E-05,4.74E-06,7.18E-07,1.32E-05,1.98E-06,6.31E-06,6.33E-07,2.36E-06,7.13E-14,1.34E-16,5.20E-13,7.30E-15,6.78E-05
52,1.27E-23,3.83E-05,9.21E-06,2.40E-05,4.60E-06,6.60E-07,1.34E-05,1.90E-06,6.40E-06,5.99E-07,2.38E-06,4.61E-14,7.32E-17,3.79E-13,4.64E-15,6.90E-05
53,4.59E-24,3.91E-05,9.01E-06,2.45E-05,4.47E-06,6.07E-07,1.37E-05,1.82E-06,6.49E-06,5.66E-07,2.40E-06,2.98E-14,4.00E-17,2.76E-13,2.95E-15,7.03E-05
54,1.65E-24,4.00E-05,8.82E-06,2.50E-05,4.34E-06,5.58E-07,1.40E-05,1.75E-06,6.60E-06,5.36E-07,2.43E-06,1.92E-14,2.19E-17,2.01E-13,1.88E-15,7.15E-05
55,5.95E-25,4.09E-05,8.63E-06,2.56E-05,4.21E-06,5.14E-07,1.42E-05,1.69E-06,6.70E-06,5.08E-07,2.46E-06,1.24E-14,1.20E-17,1.47E-13,1.20E-15,7.28E-05
56,2.14E-25,4.18E-05,8.44E-06,2.61E-05,4.09E-06,4.73E-07,1.45E-05,1.62E-06,6.82E-06,4.81E-07,2.49E-06,8.05E-15,6.56E-18,1.07E-13,7.65E-16,7.41E-05
57,7.69E-26,4.27E-05,8.27E-06,2.67E-05,3.98E-06,4.35E-07,1.48E-05,1.56E-06,6.94E-06,4.56E-07,2.52E-06,5.21E-15,3.59E-18,7.84E-14,4.88E-16,7.54E-05
