name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13905,stra.13906,stra.14026,stra.14147,stra.14512,stra.14518,stra.14641,stra.14642
36,2.89E-05,1.35E-05,1.88E-05,7.72E-06,1.10E-05,3.84E-06,5.65E-06,2.35E-06,7.03E-12,6.68E-14,4.47E-16,5.32E-05
37,2.93E-05,1.32E-05,1.90E-05,7.45E-06,1.11E-05,3.66E-06,5.64E-06,2.33E-06,4.42E-12,3.40E-14,1.95E-16,5.39E-05
38,2.97E-05,1.28E-05,1.92E-05,7.19E-06,1.12E-05,3.49E-06,5.64E-06,2.31E-06,2.79E-12,1.72E-14,8.48E-17,5.47E-05
39,3.01E-05,1.25E-05,1.94E-05,6.95E-06,1.12E-05,3.33E-06,5.65E-06,2.29E-06,1.76E-12,8.75E-15,3.69E-17,5.56E-05
40,3.06E-05,1.22E-05,1.96E-05,6.71E-06,1.13E-05,3.18E-06,5.67E-06,2.28E-06,1.11E-12,4.44E-15,1.61E-17,5.64E-05
41,3.11E-05,1.19E-05,1.99E-05,6.49E-06,1.15E-05,3.03E-06,5.70E-06,2.27E-06,6.99E-13,2.25E-15,7.01E-18,5.73E-05
42,3.16E-05,1.16E-05,2.02E-05,6.28E-06,1.16E-05,2.90E-06,5.73E-06,2.27E-06,4.42E-13,1.14E-15,3.05E-18,5.83E-05
43,3.22E-05,1.13E-05,2.05E-05,6.08E-06,1.17E-05,2.77E-06,5.77E-06,2.27E-06,2.79E-13,5.78E-16,1.33E-18,5.92E-05
44,3.27E-05,1.11E-05,2.08E-05,5.89E-06,1.19E-05,2.66E-06,5.82E-06,2.27E-06,1.77E-13,2.93E-16,5.80E-19,6.02E-05
45,3.33E-05,1.08E-05,2.12E-05,5.70E-06,1.20E-05,2.54E-06,5.87E-06,2.28E-06,1.12E-13,1.48E-16,2.53E-19,6.12E-05
46,3.40E-05,1.06E-05,2.15E-05,5.52E-06,1.22E-05,2.44E-06,5.93E-06,2.28E-06,7.08E-14,7.51E-17,1.10E-19,6.23E-05
47,3.46E-05,1.03E-05,2.19E-05,5.35E-06,1.24E-05,2.33E-06,5.99E-06,2.29E-06,4.49E-14,3.80E-17,4.81E-20,6.33E-05
48,3.53E-05,1.01E-05,2.23E-05,5.19E-06,1.26E-05,2.24E-06,6.06E-06,2.31E-06,2.85E-14,1.92E-17,2.10E-20,6.44E-05
49,3.60E-05,9.85E-06,2.27E-05,5.03E-06,1.28E-05,2.15E-06,6.14E-06,2.32E-06,1.81E-14,9.74E-18,9.16E-21,6.55E-05
50,3.68E-05,9.63E-06,2.31E-05,4.88E-06,1.30E-05,2.06E-06,6.22E-06,2.34E-06,1.15E-14,4.93E-18,4.00E-21,6.67E-05
51,3.75E-05,9.42E-06,2.36E-05,4.74E-06,1.32E-05,1.98E-06,6.31E-06,2.36E-06,7.30E-15,2.50E-18,1.75E-21,6.78E-05
52,3.83E-05,9.21E-06,2.40E-05,4.60E-06,1.34E-05,1.90E-06,6.40E-06,2.38E-06,4.64E-15,1.27E-18,7.65E-22,6.90E-05
53,3.91E-05,9.01E-06,2.45E-05,4.47E-06,1.37E-05,1.82E-06,6.49E-06,2.40E-06,2.95E-15,6.41E-19,3.35E-22,7.03E-05
54,4.00E-05,8.82E-06,2.50E-05,4.34E-06,1.40E-05,1.75E-06,6.60E-06,2.43E-06,1.88E-15,3.25E-19,1.47E-22,7.15E-05
55,4.09E-05,8.63E-06,2.56E-05,4.21E-06,1.42E-05,1.69E-06,6.70E-06,2.46E-06,1.20E-15,1.65E-19,6.42E-23,7.28E-05
56,4.18E-05,8.44E-06,2.61E-05,4.09E-06,1.45E-05,1.62E-06,6.82E-06,2.49E-06,7.65E-16,8.35E-20,2.82E-23,7.41E-05
57,4.27E-05,8.27E-06,2.67E-05,3.98E-06,1.48E-05,1.56E-06,6.94E-06,2.52E-06,4.88E-16,4.24E-20,1.24E-23,7.54E-05
58,4.37E-05,8.10E-06,2.73E-05,3.87E-06,1.51E-05,1.50E-06,7.06E-06,2.55E-06,3.12E-16,2.15E-20,5.44E-24,7.68E-05
59,4.47E-05,7.93E-06,2.79E-05,3.76E-06,1.54E-05,1.44E-06,7.19E-06,2.59E-06,1.99E-16,1.09E-20,2.39E-24,7.82E-05
60,4.58E-05,7.77E-06,2.85E-05,3.66E-06,1.57E-05,1.39E-06,7.33E-06,2.63E-06,1.28E-16,5.55E-21,1.05E-24,7.96E-05
61,4.69E-05,7.61E-06,2.92E-05,3.56E-06,1.61E-05,1.34E-06,7.47E-06,2.67E-06,8.17E-17,2.82E-21,4.65E-25,8.11E-05
62,4.80E-05,7.46E-06,2.99E-05,3.47E-06,1.64E-05,1.29E-06,7.62E-06,2.71E-06,5.24E-17,1.44E-21,2.05E-25,8.26E-05
63,4.92E-05,7.31E-06,3.06E-05,3.38E-06,1.68E-05,1.25E-06,7.77E-06,2.75E-06,3.36E-17,7.32E-22,9.06E-26,8.41E-05
64,5.04E-05,7.17E-06,3.13E-05,3.29E-06,1.72E-05,1.20E-06,7.93E-06,2.80E-06,2.16E-17,3.73E-22,4.01E-26,8.57E-05
65,5.17E-05,7.04E-06,3.21E-05,3.20E-06,1.76E-05,1.16E-06,8.10E-06,2.85E-06,1.39E-17,1.91E-22,1.78E-26,8.73E-05
66,5.30E-05,6.90E-06,3.29E-05,3.12E-06,1.80E-05,1.12E-06,8.28E-06,2.90E-06,8.92E-18,9.74E-23,7.89E-27,8.89E-05
67,5.43E-05,6.78E-06,3.37E-05,3.05E-06,1.84E-05,1.08E-06,8.46E-06,2.96E-06,5.74E-18,4.98E-23,3.51E-27,9.06E-05
68,5.57E-05,6.65E-06,3.45E-05,2.97E-06,1.89E-05,1.04E-06,8.65E-06,3.01E-06,3.70E-18,2.55E-23,1.56E-27,9.23E-05
69,5.72E-05,6.53E-06,3.54E-05,2.90E-06,1.94E-05,1.01E-06,8.85E-06,3.07E-06,2.39E-18,1.31E-23,6.96E-28,9.41E-05
70,5.87E-05,6.42E-06,3.64E-05,2.83E-06,1.99E-05,9.76E-07,9.06E-06,3.13E-06,1.54E-18,6.71E-24,3.11E-28,9.59E-05
71,6.02E-05,6.31E-06,3.73E-05,2.76E-06,2.04E-05,9.44E-07,9.27E-06,3.20E-06,9.97E-19,3.45E-24,1.39E-28,9.77E-05
72,6.19E-05,6.20E-06,3.83E-05,2.70E-06,2.09E-05,9.14E-07,9.50E-06,3.27E-06,6.46E-19,1.78E-24,6.24E-29,9.96E-05
73,6.36E-05,6.10E-06,3.93E-05,2.64E-06,2.14E-05,8.85E-07,9.73E-06,3.34E-06,4.19E-19,9.15E-25,2.80E-29,1.02E-04
74,6.53E-05,6.00E-06,4.04E-05,2.58E-06,2.20E-05,8.57E-07,9.98E-06,3.41E-06,2.72E-19,4.72E-25,1.26E-29,1.04E-04
75,6.71E-05,5.90E-06,4.15E-05,2.52E-06,2.26E-05,8.31E-07,1.02E-05,3.49E-06,1.76E-19,2.44E-25,5.68E-30,1.06E-04
76,6.90E-05,5.81E-06,4.27E-05,2.47E-06,2.32E-05,8.06E-07,1.05E-05,3.57E-06,1.15E-19,1.26E-25,2.57E-30,1.08E-04
77,7.10E-05,5.73E-06,4.39E-05,2.42E-06,2.39E-05,7.82E-07,1.08E-05,3.65E-06,7.48E-20,6.56E-26,1.16E-30,1.10E-04
78,7.30E-05,5.64E-06,4.52E-05,2.37E-06,2.46E-05,7.59E-07,1.11E-05,3.74E-06,4.88E-20,3.41E-26,5.27E-31,1.12E-04
79,7.51E-05,5.56E-06,4.65E-05,2.32E-06,2.53E-05,7.37E-07,1.14E-05,3.84E-06,3.19E-20,1.77E-26,2.40E-31,1.14E-04
80,7.74E-05,5.49E-06,4.79E-05,2.28E-06,2.60E-05,7.16E-07,1.17E-05,3.93E-06,2.09E-20,9.25E-27,1.09E-31,1.17E-04
81,7.97E-05,5.41E-06,4.93E-05,2.23E-06,2.68E-05,6.97E-07,1.20E-05,4.03E-06,1.37E-20,4.83E-27,4.99E-32,1.19E-04
82,8.21E-05,5.34E-06,5.08E-05,2.19E-06,2.76E-05,6.78E-07,1.24E-05,4.14E-06,8.97E-21,2.53E-27,2.29E-32,1.21E-04
83,8.46E-05,5.28E-06,5.24E-05,2.15E-06,2.84E-05,6.60E-07,1.27E-05,4.25E-06,5.90E-21,1.33E-27,1.05E-32,1.24E-04
84,8.72E-05,5.22E-06,5.40E-05,2.11E-06,2.93E-05,6.43E-07,1.31E-05,4.37E-06,3.88E-21,6.97E-28,4.83E-33,1.26E-04
85,8.99E-05,5.16E-06,5.57E-05,2.08E-06,3.02E-05,6.27E-07,1.35E-05,4.49E-06,2.56E-21,3.67E-28,2.23E-33,1.29E-04
86,9.27E-05,5.10E-06,5.75E-05,2.05E-06,3.12E-05,6.12E-07,1.39E-05,4.62E-06,1.69E-21,1.94E-28,1.03E-33,1.32E-04
87,9.57E-05,5.05E-06,5.93E-05,2.01E-06,3.22E-05,5.97E-07,1.44E-05,4.76E-06,1.12E-21,1.03E-28,4.80E-34,1.35E-04
88,9.88E-05,5.00E-06,6.13E-05,1.98E-06,3.32E-05,5.84E-07,1.48E-05,4.90E-06,7.42E-22,5.45E-29,2.23E-34,1.38E-04
89,1.02E-04,4.96E-06,6.33E-05,1.96E-06,3.43E-05,5.71E-07,1.53E-05,5.05E-06,4.93E-22,2.90E-29,1.04E-34,1.40E-04
