name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13905,stra.13906,stra.14026,stra.14147,stra.14512,stra.14518,stra.14641,stra.14642
6900,8.81E-09,0.100469,1.90E-06,0.422877,5.02E-05,0.307552,3.20E-04,6.26E-04,2.77E-25,9.51E-37,1.22E-45,0.0138627
6950,8.07E-09,0.0990875,1.79E-06,0.421818,4.79E-05,0.307865,3.07E-04,6.03E-04,2.71E-25,9.39E-37,1.19E-45,0.0143059
7000,7.39E-09,0.0978257,1.68E-06,0.421328,4.58E-05,0.308675,2.96E-04,5.82E-04,2.65E-25,9.28E-37,1.16E-45,0.0147646
7050,6.76E-09,0.0963521,1.58E-06,0.420056,4.37E-05,0.309037,2.85E-04,5.61E-04,2.60E-25,9.19E-37,1.13E-45,0.0152006
7100,6.18E-09,0.0950481,1.49E-06,0.419552,4.18E-05,0.310026,2.75E-04,5.43E-04,2.55E-25,9.14E-37,1.11E-45,0.0155954
7150,5.66E-09,0.0937507,1.40E-06,0.41876,4.00E-05,0.310631,2.64E-04,5.24E-04,2.50E-25,9.03E-37,1.08E-45,0.016076
7200,5.18E-09,0.0924064,1.32E-06,0.417819,3.82E-05,0.311227,2.55E-04,5.06E-04,2.44E-25,8.91E-37,1.05E-45,0.0165654
7250,4.73E-09,0.0909506,1.24E-06,0.416814,3.66E-05,0.312187,2.46E-04,4.90E-04,2.41E-25,8.89E-37,1.03E-45,0.0169865
7300,4.31E-09,0.0894308,1.17E-06,0.415645,3.50E-05,0.313209,2.38E-04,4.76E-04,2.39E-25,8.91E-37,1.03E-45,0.0173912
7350,3.92E-09,0.0876841,1.10E-06,0.413082,3.34E-05,0.313017,2.29E-04,4.60E-04,2.36E-25,8.88E-37,1.01E-45,0.0178238
7400,3.57E-09,0.0862757,1.03E-06,0.411212,3.17E-05,0.312729,2.19E-04,4.42E-04,2.30E-25,8.76E-37,9.85E-46,0.0184146
7450,3.27E-09,0.0853049,9.68E-07,0.410708,3.03E-05,0.31291,2.10E-04,4.24E-04,2.21E-25,8.50E-37,9.40E-46,0.0192226
7500,2.99E-09,0.0841499,9.11E-07,0.410038,2.90E-05,0.313578,2.03E-04,4.09E-04,2.16E-25,8.39E-37,9.15E-46,0.0199415
7550,2.72E-09,0.0828096,8.55E-07,0.408497,2.76E-05,0.31367,1.95E-04,3.94E-04,2.11E-25,8.29E-37,8.94E-46,0.0205935
7600,2.48E-09,0.0815383,8.04E-07,0.40727,2.64E-05,0.314019,1.87E-04,3.80E-04,2.07E-25,8.19E-37,8.71E-46,0.0212877
7650,2.26E-09,0.0803912,7.56E-07,0.406257,2.52E-05,0.314255,1.80E-04,3.66E-04,2.01E-25,8.03E-37,8.42E-46,0.0222088
7700,2.06E-09,0.0792201,7.10E-07,0.405192,2.40E-05,0.314568,1.73E-04,3.53E-04,1.96E-25,7.92E-37,8.21E-46,0.0230131
7750,1.88E-09,0.0780889,6.67E-07,0.404324,2.29E-05,0.315043,1.67E-04,3.40E-04,1.91E-25,7.81E-37,7.98E-46,0.0238413
7800,1.70E-09,0.076728,6.25E-07,0.402553,2.19E-05,0.315095,1.60E-04,3.28E-04,1.87E-25,7.73E-37,7.81E-46,0.0246462
7850,1.55E-09,0.0754881,5.87E-07,0.40132,2.09E-05,0.315536,1.54E-04,3.17E-04,1.84E-25,7.65E-37,7.63E-46,0.0255313
7900,1.40E-09,0.0742495,5.49E-07,0.399809,1.99E-05,0.315539,1.48E-04,3.05E-04,1.78E-25,7.50E-37,7.37E-46,0.0265558
7950,1.27E-09,0.0728031,5.14E-07,0.397533,1.89E-05,0.315312,1.42E-04,2.94E-04,1.74E-25,7.42E-37,7.20E-46,0.0274804
8000,1.15E-09,0.0716779,4.83E-07,0.396856,1.81E-05,0.316269,1.37E-04,2.84E-04,1.71E-25,7.33E-37,7.03E-46,0.0285382
8050,1.04E-09,0.0703668,4.52E-07,0.395407,1.72E-05,0.316886,1.32E-04,2.75E-04,1.68E-25,7.29E-37,6.90E-46,0.0295554
8100,9.36E-10,0.0689543,4.22E-07,0.393342,1.64E-05,0.317058,1.27E-04,2.66E-04,1.65E-25,7.24E-37,6.78E-46,0.0306042
8150,8.42E-10,0.0675354,3.94E-07,0.391082,1.56E-05,0.316993,1.22E-04,2.56E-04,1.61E-25,7.13E-37,6.47E-46,0.0318027
8200,7.59E-10,0.0662738,3.69E-07,0.389986,1.49E-05,0.318184,1.18E-04,2.49E-04,1.59E-25,7.10E-37,6.27E-46,0.0328263
8250,6.82E-10,0.064856,3.45E-07,0.388263,1.43E-05,0.319211,1.14E-04,2.42E-04,1.58E-25,7.12E-37,6.15E-46,0.0337588
8300,6.11E-10,0.0634698,3.22E-07,0.386219,1.36E-05,0.319629,1.10E-04,2.34E-04,1.56E-25,7.08E-37,5.99E-46,0.0350059
8350,5.48E-10,0.0621297,3.00E-07,0.384782,1.29E-05,0.320931,1.06E-04,2.28E-04,1.55E-25,7.11E-37,5.92E-46,0.0360999
8400,4.90E-10,0.0606986,2.80E-07,0.382991,1.24E-05,0.322239,1.03E-04,2.22E-04,1.55E-25,7.17E-37,5.90E-46,0.0372119
8450,4.36E-10,0.0591013,2.61E-07,0.380218,1.18E-05,0.322958,9.93E-05,2.16E-04,1.56E-25,7.27E-37,5.92E-46,0.0382423
8500,3.89E-10,0.057614,2.43E-07,0.378009,1.12E-05,0.324218,9.61E-05,2.11E-04,1.57E-25,7.41E-37,5.98E-46,0.039253
8550,3.45E-10,0.0560022,2.25E-07,0.374374,1.07E-05,0.323912,9.25E-05,2.05E-04,1.56E-25,7.47E-37,5.97E-46,0.0403099
8600,3.07E-10,0.0547828,2.09E-07,0.372861,1.02E-05,0.3251,8.92E-05,1.99E-04,1.56E-25,7.51E-37,5.93E-46,0.0416136
8650,2.73E-10,0.05336,1.95E-07,0.370307,9.66E-06,0.325823,8.61E-05,1.94E-04,1.56E-25,7.59E-37,5.95E-46,0.0427936
8700,2.42E-10,0.0519686,1.81E-07,0.367825,9.20E-06,0.32663,8.32E-05,1.89E-04,1.56E-25,7.67E-37,5.95E-46,0.0441983
8750,2.14E-10,0.0506405,1.68E-07,0.365806,8.77E-06,0.327969,8.05E-05,1.84E-04,1.56E-25,7.75E-37,5.96E-46,0.0455655
8800,1.89E-10,0.0492041,1.56E-07,0.363153,8.35E-06,0.329124,7.79E-05,1.80E-04,1.58E-25,7.92E-37,6.05E-46,0.0466637
8850,1.67E-10,0.0478064,1.44E-07,0.360436,7.94E-06,0.330092,7.53E-05,1.75E-04,1.59E-25,8.04E-37,6.09E-46,0.047934
8900,1.47E-10,0.0463468,1.33E-07,0.357193,7.54E-06,0.330731,7.27E-05,1.71E-04,1.60E-25,8.19E-37,6.16E-46,0.0490147
8950,1.29E-10,0.0450528,1.23E-07,0.354793,7.16E-06,0.331966,7.02E-05,1.67E-04,1.61E-25,8.33E-37,6.21E-46,0.050218
9000,1.13E-10,0.0437085,1.14E-07,0.351862,6.80E-06,0.332797,6.78E-05,1.63E-04,1.62E-25,8.47E-37,6.27E-46,0.051561
9050,9.96E-11,0.0424166,1.05E-07,0.348983,6.46E-06,0.333529,6.55E-05,1.59E-04,1.63E-25,8.58E-37,6.30E-46,0.0530815
9100,8.73E-11,0.0411085,9.72E-08,0.345867,6.14E-06,0.334149,6.33E-05,1.55E-04,1.63E-25,8.70E-37,6.33E-46,0.0547105
9150,7.63E-11,0.0398179,8.96E-08,0.342472,5.82E-06,0.334279,6.09E-05,1.50E-04,1.63E-25,8.76E-37,6.32E-46,0.0565297
9200,6.68E-11,0.0386759,8.27E-08,0.340163,5.53E-06,0.335461,5.89E-05,1.47E-04,1.63E-25,8.83E-37,6.31E-46,0.0583594
9250,5.83E-11,0.0374713,7.63E-08,0.337233,5.24E-06,0.336196,5.68E-05,1.43E-04,1.63E-25,8.94E-37,6.33E-46,0.0600806
9300,5.07E-11,0.0362523,7.02E-08,0.334159,4.97E-06,0.337,5.49E-05,1.39E-04,1.65E-25,9.10E-37,6.39E-46,0.0615834
9350,4.40E-11,0.0350195,6.45E-08,0.330434,4.70E-06,0.336895,5.28E-05,1.35E-04,1.65E-25,9.19E-37,6.40E-46,0.0635478
9400,3.83E-11,0.0339482,5.94E-08,0.327795,4.46E-06,0.337678,5.09E-05,1.32E-04,1.65E-25,9.28E-37,6.41E-46,0.0658498
9450,3.31E-11,0.0327802,5.44E-08,0.324377,4.22E-06,0.33806,4.90E-05,1.28E-04,1.66E-25,9.43E-37,6.45E-46,0.0680173
9500,2.86E-11,0.0316586,4.99E-08,0.321247,3.99E-06,0.338838,4.73E-05,1.25E-04,1.67E-25,9.60E-37,6.52E-46,0.0701269
9550,2.45E-11,0.0305059,4.56E-08,0.317302,3.76E-06,0.338464,4.54E-05,1.21E-04,1.66E-25,9.66E-37,6.50E-46,0.0728947
9600,2.11E-11,0.0294253,4.17E-08,0.313834,3.55E-06,0.33855,4.37E-05,1.18E-04,1.66E-25,9.72E-37,6.48E-46,0.0758895
9650,1.81E-11,0.0283416,3.81E-08,0.310439,3.36E-06,0.339116,4.21E-05,1.15E-04,1.67E-25,9.87E-37,6.53E-46,0.0787575
9700,1.54E-11,0.0272224,3.47E-08,0.306582,3.17E-06,0.339417,4.05E-05,1.12E-04,1.68E-25,1.00E-36,6.60E-46,0.0814376
9750,1.31E-11,0.0261582,3.16E-08,0.302983,2.99E-06,0.339924,3.91E-05,1.09E-04,1.70E-25,1.02E-36,6.66E-46,0.0843346
9800,1.11E-11,0.0250921,2.87E-08,0.298919,2.81E-06,0.339745,3.75E-05,1.06E-04,1.70E-25,1.03E-36,6.68E-46,0.0877262
9850,9.34E-12,0.0240665,2.60E-08,0.294934,2.64E-06,0.3395,3.60E-05,1.03E-04,1.70E-25,1.04E-36,6.66E-46,0.0915471
9900,7.85E-12,0.0230407,2.36E-08,0.291012,2.48E-06,0.339772,3.46E-05,1.01E-04,1.71E-25,1.06E-36,6.73E-46,0.0950836
9950,6.57E-12,0.0220314,2.13E-08,0.287082,2.33E-06,0.340155,3.33E-05,9.81E-05,1.73E-25,1.08E-36,6.79E-46,0.0989115
10000,5.46E-12,0.0210154,1.92E-08,0.282956,2.19E-06,0.340636,3.21E-05,9.59E-05,1.75E-25,1.10E-36,6.90E-46,0.10273
10050,4.51E-12,0.0199758,1.72E-08,0.278376,2.05E-06,0.340925,3.08E-05,9.38E-05,1.79E-25,1.14E-36,7.07E-46,0.106457
10100,3.72E-12,0.018969,1.54E-08,0.273529,1.92E-06,0.340524,2.96E-05,9.14E-05,1.81E-25,1.16E-36,7.17E-46,0.111011
10150,3.04E-12,0.0179687,1.38E-08,0.268606,1.80E-06,0.34039,2.84E-05,8.93E-05,1.84E-25,1.19E-36,7.34E-46,0.115286
10200,2.48E-12,0.0170008,1.23E-08,0.263901,1.68E-06,0.340846,2.74E-05,8.75E-05,1.89E-25,1.24E-36,7.57E-46,0.119392
10250,2.00E-12,0.0160471,1.09E-08,0.258862,1.57E-06,0.340827,2.63E-05,8.57E-05,1.94E-25,1.28E-36,7.79E-46,0.123815
10300,1.62E-12,0.0151429,9.71E-09,0.253985,1.46E-06,0.340843,2.53E-05,8.38E-05,1.97E-25,1.31E-36,7.96E-46,0.129334
10350,1.29E-12,0.0142232,8.58E-09,0.24852,1.36E-06,0.340378,2.42E-05,8.19E-05,2.02E-25,1.36E-36,8.19E-46,0.134735
10400,1.03E-12,0.0133378,7.56E-09,0.243215,1.26E-06,0.340342,2.33E-05,8.03E-05,2.08E-25,1.41E-36,8.47E-46,0.14007
10450,8.09E-13,0.0124517,6.63E-09,0.237407,1.17E-06,0.339872,2.23E-05,7.88E-05,2.15E-25,1.47E-36,8.81E-46,0.144982
10500,6.35E-13,0.0116331,5.81E-09,0.231923,1.08E-06,0.339449,2.14E-05,7.71E-05,2.21E-25,1.52E-36,9.08E-46,0.151489
10550,4.93E-13,0.0108065,5.06E-09,0.225945,1.00E-06,0.33885,2.05E-05,7.56E-05,2.28E-25,1.58E-36,9.33E-46,0.157591
10600,3.80E-13,0.0100315,4.40E-09,0.220108,9.24E-07,0.338185,1.96E-05,7.40E-05,2.35E-25,1.64E-36,9.57E-46,0.164537
10650,2.91E-13,0.00926539,3.80E-09,0.213872,8.50E-07,0.337231,1.88E-05,7.26E-05,2.44E-25,1.72E-36,9.92E-46,0.171371
10700,2.20E-13,0.00854562,3.27E-09,0.207474,7.78E-07,0.335298,1.78E-05,7.07E-05,2.49E-25,1.77E-36,1.01E-45,0.179854
10750,1.65E-13,0.00785326,2.80E-09,0.201214,7.13E-07,0.334075,1.70E-05,6.92E-05,2.57E-25,1.84E-36,1.05E-45,0.188084
10800,1.22E-13,0.00717489,2.38E-09,0.194512,6.50E-07,0.332323,1.62E-05,6.77E-05,2.67E-25,1.93E-36,1.09E-45,0.196281
10850,8.95E-14,0.0065242,2.01E-09,0.18757,5.91E-07,0.330125,1.54E-05,6.62E-05,2.78E-25,2.02E-36,1.14E-45,0.205535
10900,6.47E-14,0.00590364,1.69E-09,0.180537,5.36E-07,0.327986,1.46E-05,6.49E-05,2.91E-25,2.13E-36,1.20E-45,0.214049
10950,4.62E-14,0.00531511,1.41E-09,0.173272,4.84E-07,0.32527,1.39E-05,6.35E-05,3.04E-25,2.25E-36,1.26E-45,0.223464
11000,3.26E-14,0.0047591,1.17E-09,0.16576,4.35E-07,0.321868,1.31E-05,6.20E-05,3.18E-25,2.37E-36,1.33E-45,0.233234
11050,2.27E-14,0.00425584,9.64E-10,0.158611,3.90E-07,0.318582,1.24E-05,6.05E-05,3.30E-25,2.48E-36,1.39E-45,0.24478
11100,1.56E-14,0.00377334,7.87E-10,0.150979,3.48E-07,0.314292,1.17E-05,5.88E-05,3.45E-25,2.61E-36,1.45E-45,0.256516
11150,1.05E-14,0.00332702,6.38E-10,0.143457,3.09E-07,0.310207,1.10E-05,5.74E-05,3.62E-25,2.76E-36,1.54E-45,0.268337
11200,6.94E-15,0.00290345,5.10E-10,0.135247,2.72E-07,0.304001,1.02E-05,5.55E-05,3.75E-25,2.88E-36,1.60E-45,0.282451
11250,4.51E-15,0.00252194,4.05E-10,0.12726,2.38E-07,0.297553,9.49E-06,5.35E-05,3.88E-25,3.00E-36,1.66E-45,0.298836
11300,2.86E-15,0.00216513,3.17E-10,0.118941,2.07E-07,0.290065,8.78E-06,5.14E-05,4.01E-25,3.12E-36,1.72E-45,0.316258
11350,1.76E-15,0.00183857,2.44E-10,0.110527,1.78E-07,0.281892,8.08E-06,4.94E-05,4.13E-25,3.23E-36,1.78E-45,0.335275
11400,1.06E-15,0.00154787,1.86E-10,0.102406,1.53E-07,0.274063,7.44E-06,4.75E-05,4.33E-25,3.41E-36,1.87E-45,0.35389
11450,6.21E-16,0.00128762,1.40E-10,0.0943013,1.30E-07,0.265712,6.83E-06,4.58E-05,4.56E-25,3.61E-36,1.98E-45,0.372485
11500,3.53E-16,0.00105602,1.03E-10,0.0859997,1.09E-07,0.255603,6.20E-06,4.37E-05,4.76E-25,3.79E-36,2.08E-45,0.392941
11550,1.95E-16,8.55E-04,7.52E-11,0.077941,9.09E-08,0.245163,5.62E-06,4.17E-05,4.98E-25,3.99E-36,2.19E-45,0.414417
11600,1.04E-16,6.82E-04,5.36E-11,0.0699737,7.48E-08,0.233672,5.05E-06,3.96E-05,5.21E-25,4.21E-36,2.31E-45,0.436704
11650,5.38E-17,5.37E-04,3.76E-11,0.0624166,6.10E-08,0.222037,4.51E-06,3.76E-05,5.47E-25,4.44E-36,2.44E-45,0.459775
11700,2.67E-17,4.15E-04,2.58E-11,0.0550247,4.91E-08,0.209147,3.99E-06,3.53E-05,5.70E-25,4.65E-36,2.55E-45,0.484854
11750,1.28E-17,3.15E-04,1.73E-11,0.047858,3.88E-08,0.195032,3.49E-06,3.29E-05,5.90E-25,4.83E-36,2.65E-45,0.512046
11800,5.83E-18,2.34E-04,1.13E-11,0.0412101,3.02E-08,0.180799,3.03E-06,3.05E-05,6.08E-25,5.01E-36,2.72E-45,0.539892
11850,2.57E-18,1.71E-04,7.24E-12,0.035178,2.33E-08,0.167014,2.62E-06,2.84E-05,6.38E-25,5.28E-36,2.86E-45,0.564684
11900,1.08E-18,1.23E-04,4.53E-12,0.0296595,1.77E-08,0.152902,2.24E-06,2.62E-05,6.67E-25,5.55E-36,3.01E-45,0.590043
11950,4.40E-19,8.64E-05,2.77E-12,0.0247157,1.33E-08,0.138863,1.90E-06,2.39E-05,6.94E-25,5.80E-36,3.16E-45,0.615489
12000,1.71E-19,5.95E-05,1.65E-12,0.0203136,9.78E-09,0.124877,1.59E-06,2.18E-05,7.21E-25,6.05E-36,3.30E-45,0.640702
12050,6.39E-20,4.04E-05,9.66E-13,0.01655,7.12E-09,0.111755,1.32E-06,1.97E-05,7.51E-25,6.32E-36,3.46E-45,0.666153
12100,2.29E-20,2.67E-05,5.49E-13,0.0132629,5.08E-09,0.0987434,1.08E-06,1.77E-05,7.75E-25,6.54E-36,3.60E-45,0.6899
12150,7.91E-21,1.74E-05,3.07E-13,0.0105593,3.59E-09,0.0870203,8.85E-07,1.58E-05,8.06E-25,6.83E-36,3.77E-45,0.711859
12200,2.63E-21,1.11E-05,1.67E-13,0.00827497,2.50E-09,0.0757335,7.13E-07,1.40E-05,8.33E-25,7.08E-36,3.93E-45,0.731667
12250,8.48E-22,7.02E-06,8.94E-14,0.00643058,1.72E-09,0.0655756,5.71E-07,1.24E-05,8.60E-25,7.33E-36,4.09E-45,0.752824
12300,2.65E-22,4.36E-06,4.71E-14,0.00496223,1.17E-09,0.0565696,4.55E-07,1.09E-05,8.92E-25,7.62E-36,4.28E-45,0.770552
12350,8.02E-23,2.66E-06,2.43E-14,0.00378244,7.86E-10,0.0483265,3.59E-07,9.52E-06,9.18E-25,7.86E-36,4.43E-45,0.788519
12400,2.36E-23,1.61E-06,1.24E-14,0.0028598,5.23E-10,0.0410671,2.81E-07,8.29E-06,9.46E-25,8.12E-36,4.61E-45,0.803367
12450,6.77E-24,9.54E-07,6.18E-15,0.00214022,3.43E-10,0.0346202,2.19E-07,7.16E-06,9.70E-25,8.35E-36,4.77E-45,0.817264
12500,1.90E-24,5.61E-07,3.05E-15,0.0015913,2.24E-10,0.0290525,1.69E-07,6.16E-06,9.91E-25,8.55E-36,4.91E-45,0.831064
12550,5.21E-25,3.26E-07,1.49E-15,0.00117709,1.45E-10,0.024312,1.30E-07,5.30E-06,1.02E-24,8.79E-36,5.08E-45,0.843189
12600,1.40E-25,1.87E-07,7.14E-16,8.61E-04,9.28E-11,0.0201628,9.91E-08,4.52E-06,1.03E-24,8.96E-36,5.21E-45,0.854762
12650,3.68E-26,1.07E-07,3.39E-16,6.28E-04,5.90E-11,0.016687,7.53E-08,3.85E-06,1.06E-24,9.16E-36,5.36E-45,0.864899
12700,9.53E-27,6.04E-08,1.60E-16,4.56E-04,3.74E-11,0.0137766,5.71E-08,3.28E-06,1.08E-24,9.38E-36,5.53E-45,0.874218
12750,2.43E-27,3.39E-08,7.47E-17,3.29E-04,2.35E-11,0.0113373,4.32E-08,2.78E-06,1.10E-24,9.61E-36,5.71E-45,0.882017
12800,6.13E-28,1.89E-08,3.47E-17,2.37E-04,1.48E-11,0.00931287,3.25E-08,2.36E-06,1.13E-24,9.89E-36,5.93E-45,0.888164
12850,1.53E-28,1.05E-08,1.60E-17,1.70E-04,9.23E-12,0.00764078,2.45E-08,2.00E-06,1.16E-24,1.02E-35,6.15E-45,0.893619
12900,3.79E-29,5.82E-09,7.35E-18,1.22E-04,5.75E-12,0.0062571,1.84E-08,1.69E-06,1.19E-24,1.04E-35,6.36E-45,0.900716
12950,9.29E-30,3.21E-09,3.36E-18,8.72E-05,3.58E-12,0.00512813,1.38E-08,1.44E-06,1.23E-24,1.08E-35,6.62E-45,0.905272
13000,2.26E-30,1.76E-09,1.53E-18,6.22E-05,2.22E-12,0.00418549,1.03E-08,1.21E-06,1.26E-24,1.11E-35,6.86E-45,0.911087
13050,5.43E-31,9.61E-10,6.90E-19,4.41E-05,1.37E-12,0.00340815,7.72E-09,1.02E-06,1.29E-24,1.14E-35,7.13E-45,0.914744
13100,1.30E-31,5.23E-10,3.11E-19,3.13E-05,8.42E-13,0.00277582,5.76E-09,8.63E-07,1.33E-24,1.17E-35,7.41E-45,0.919217
13150,3.08E-32,2.83E-10,1.39E-19,2.21E-05,5.15E-13,0.00224811,4.27E-09,7.24E-07,1.35E-24,1.20E-35,7.61E-45,0.922703
13200,7.23E-33,1.52E-10,6.18E-20,1.55E-05,3.14E-13,0.00181306,3.15E-09,6.05E-07,1.38E-24,1.22E-35,7.82E-45,0.926787
13250,1.69E-33,8.20E-11,2.75E-20,1.09E-05,1.92E-13,0.00146746,2.34E-09,5.08E-07,1.41E-24,1.25E-35,8.10E-45,0.930556
13300,3.93E-34,4.39E-11,1.22E-20,7.66E-06,1.16E-13,0.00118331,1.73E-09,4.25E-07,1.44E-24,1.28E-35,8.35E-45,0.933129
13350,9.11E-35,2.35E-11,5.37E-21,5.38E-06,7.08E-14,9.56E-04,1.28E-09,3.56E-07,1.48E-24,1.31E-35,8.66E-45,0.935851
13400,2.10E-35,1.26E-11,2.37E-21,3.78E-06,4.31E-14,7.73E-04,9.45E-10,2.99E-07,1.52E-24,1.35E-35,9.01E-45,0.938159
13450,4.82E-36,6.71E-12,1.04E-21,2.64E-06,2.61E-14,6.24E-04,6.97E-10,2.50E-07,1.56E-24,1.39E-35,9.35E-45,0.940488
13500,1.10E-36,3.56E-12,4.55E-22,1.84E-06,1.57E-14,5.00E-04,5.11E-10,2.08E-07,1.58E-24,1.42E-35,0.00100318,0.942912
13550,2.50E-37,1.88E-12,1.99E-22,1.28E-06,9.47E-15,4.01E-04,3.75E-10,1.73E-07,1.61E-24,1.45E-35,0.001034,0.944431
13600,5.67E-38,1.00E-12,8.68E-23,8.94E-07,5.72E-15,3.23E-04,2.76E-10,1.45E-07,1.65E-24,1.49E-35,0.00107186,0.947478
13650,1.28E-38,5.28E-13,3.77E-23,6.20E-07,3.43E-15,2.58E-04,2.02E-10,1.20E-07,1.68E-24,1.51E-35,0.00110227,0.949118
13700,2.88E-39,2.78E-13,1.64E-23,4.31E-07,2.06E-15,2.07E-04,1.48E-10,1.00E-07,1.72E-24,1.55E-35,0.00113848,0.950689
13750,6.44E-40,1.46E-13,7.07E-24,2.98E-07,1.23E-15,1.65E-04,1.08E-10,8.33E-08,1.75E-24,1.58E-35,0.00117318,0.952424
13800,1.44E-40,7.70E-14,3.06E-24,2.07E-07,7.41E-16,1.33E-04,7.93E-11,6.95E-08,1.80E-24,1.63E-35,0.0012188,0.954358
13850,3.21E-41,4.05E-14,1.32E-24,1.44E-07,4.44E-16,1.06E-04,5.81E-11,5.79E-08,1.84E-24,1.67E-35,0.0012592,0.956639
13900,7.12E-42,2.11E-14,5.68E-25,9.91E-08,2.65E-16,8.48E-05,4.23E-11,4.80E-08,1.88E-24,1.70E-35,0.00129991,0.955947
13950,1.58E-42,1.11E-14,2.45E-25,6.85E-08,1.58E-16,6.78E-05,3.09E-11,3.99E-08,1.92E-24,1.74E-35,0.00134009,0.959684
14000,3.49E-43,5.80E-15,1.05E-25,4.74E-08,9.46E-17,5.43E-05,2.26E-11,3.33E-08,1.97E-24,1.79E-35,0.00139166,0.96072
14050,7.71E-44,3.03E-15,4.52E-26,3.28E-08,5.65E-17,4.34E-05,1.65E-11,2.77E-08,2.02E-24,1.84E-35,0.00144409,0.96162
14100,1.70E-44,1.59E-15,1.94E-26,2.27E-08,3.38E-17,3.48E-05,1.21E-11,2.31E-08,2.07E-24,1.90E-35,0.001505,0.961894
14150,3.75E-45,8.30E-16,8.35E-27,1.57E-08,2.02E-17,2.78E-05,8.84E-12,1.92E-08,2.12E-24,1.94E-35,0.00155253,0.963941
14200,8.21E-46,4.32E-16,3.57E-27,1.08E-08,1.20E-17,2.22E-05,6.43E-12,1.59E-08,2.16E-24,1.99E-35,0.00160003,0.964957
14250,1.78E-46,2.23E-16,1.51E-27,7.37E-09,7.05E-18,1.75E-05,4.63E-12,1.30E-08,2.17E-24,2.00E-35,0.00161963,0.964769
14300,3.90E-47,1.16E-16,6.45E-28,5.08E-09,4.19E-18,1.39E-05,3.38E-12,1.08E-08,2.22E-24,2.05E-35,0.0016749,0.965571
14350,8.53E-48,6.03E-17,2.75E-28,3.50E-09,2.49E-18,1.11E-05,2.46E-12,8.96E-09,2.27E-24,2.09E-35,0.00172565,0.967734
14400,1.86E-48,3.14E-17,1.17E-28,2.41E-09,1.48E-18,8.87E-06,1.79E-12,7.45E-09,2.33E-24,2.15E-35,0.00179412,0.968662
14450,4.06E-49,1.63E-17,5.01E-29,1.66E-09,8.83E-19,7.09E-06,1.31E-12,6.21E-09,2.40E-24,2.22E-35,0.00187128,0.969601
14500,8.85E-50,8.51E-18,2.14E-29,1.15E-09,5.26E-19,5.67E-06,9.56E-13,5.18E-09,2.47E-24,2.30E-35,0.00195672,0.970527
14550,1.92E-50,4.41E-18,9.11E-30,7.89E-10,3.12E-19,4.52E-06,6.96E-13,4.30E-09,2.53E-24,2.36E-35,0.00202733,0.970952
14600,4.14E-51,2.28E-18,3.85E-30,5.40E-10,1.84E-19,3.59E-06,5.04E-13,3.55E-09,2.58E-24,2.40E-35,0.00208811,0.970725
14650,8.93E-52,1.18E-18,1.63E-30,3.70E-10,1.09E-19,2.84E-06,3.64E-13,2.92E-09,2.63E-24,2.45E-35,0.00215083,0.971392
14700,1.93E-52,6.08E-19,6.91E-31,2.54E-10,6.43E-20,2.26E-06,2.65E-13,2.42E-09,2.68E-24,2.51E-35,0.00222161,0.972352
14750,4.17E-53,3.14E-19,2.93E-31,1.74E-10,3.80E-20,1.80E-06,1.92E-13,2.01E-09,2.75E-24,2.58E-35,0.0023043,0.971932
14800,8.99E-54,1.63E-19,1.24E-31,1.20E-10,2.25E-20,1.43E-06,1.40E-13,1.66E-09,2.82E-24,2.64E-35,0.002384,0.97417
14850,1.94E-54,8.42E-20,5.26E-32,8.22E-11,1.33E-20,1.14E-06,1.02E-13,1.38E-09,2.89E-24,2.71E-35,0.00247614,0.974907
14900,4.18E-55,4.34E-20,2.23E-32,5.63E-11,7.88E-21,9.06E-07,7.37E-14,1.14E-09,2.96E-24,2.79E-35,0.00256953,0.974454
14950,9.01E-56,2.25E-20,9.44E-33,3.87E-11,4.68E-21,7.23E-07,5.37E-14,9.50E-10,3.05E-24,2.87E-35,0.00267865,0.974776
15000,1.94E-56,1.16E-20,3.99E-33,2.65E-11,2.76E-21,5.74E-07,3.89E-14,7.86E-10,3.12E-24,2.95E-35,0.00277378,0.975883
15050,4.15E-57,5.97E-21,1.68E-33,1.81E-11,1.63E-21,4.55E-07,2.81E-14,6.49E-10,3.18E-24,3.01E-35,0.00286022,0.977031
15100,8.86E-58,3.06E-21,7.07E-34,1.23E-11,9.55E-22,3.59E-07,2.03E-14,5.33E-10,3.22E-24,3.05E-35,0.00292715,0.977461
15150,1.90E-58,1.58E-21,2.99E-34,8.46E-12,5.64E-22,2.86E-07,1.47E-14,4.42E-10,3.31E-24,3.14E-35,0.00304898,0.977977
15200,4.07E-59,8.13E-22,1.26E-34,5.79E-12,3.33E-22,2.27E-07,1.07E-14,3.66E-10,3.39E-24,3.23E-35,0.00316055,0.977424
15250,8.71E-60,4.19E-22,5.32E-35,3.97E-12,1.97E-22,1.81E-07,7.75E-15,3.04E-10,3.48E-24,3.32E-35,0.00328966,0.977751
15300,1.86E-60,2.15E-22,2.24E-35,2.71E-12,1.16E-22,1.43E-07,5.60E-15,2.51E-10,3.55E-24,3.39E-35,0.00339549,0.977718
15350,3.98E-61,1.11E-22,9.43E-36,1.86E-12,6.83E-23,1.14E-07,4.06E-15,2.07E-10,3.63E-24,3.48E-35,0.003515,0.979214
