name,stra.13663,stra.13664,stra.13784,stra.13785,stra.13791,stra.13905,stra.13906,stra.14026,stra.14147,stra.14519,stra.14642
0,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05,6.83E-05
1,6.53E-05,6.55E-05,6.42E-05,6.43E-05,6.15E-05,6.29E-05,6.29E-05,6.14E-05,5.96E-05,4.92E-05,6.71E-05
2,6.24E-05,6.27E-05,6.02E-05,6.03E-05,5.49E-05,5.78E-05,5.78E-05,5.50E-05,5.18E-05,3.47E-05,6.59E-05
3,5.96E-05,5.98E-05,5.64E-05,5.65E-05,4.86E-05,5.30E-05,5.29E-05,4.91E-05,4.49E-05,2.39E-05,6.47E-05
4,5.68E-05,5.70E-05,5.28E-05,5.28E-05,4.27E-05,4.85E-05,4.83E-05,4.38E-05,3.87E-05,1.61E-05,6.34E-05
5,5.42E-05,5.41E-05,4.94E-05,4.92E-05,3.71E-05,4.43E-05,4.39E-05,3.90E-05,3.33E-05,1.06E-05,6.22E-05
6,5.16E-05,5.14E-05,4.62E-05,4.57E-05,3.20E-05,4.05E-05,3.99E-05,3.47E-05,2.87E-05,6.80E-06,6.09E-05
7,4.91E-05,4.87E-05,4.31E-05,4.24E-05,2.74E-05,3.70E-05,3.61E-05,3.08E-05,2.46E-05,4.28E-06,5.97E-05
8,4.68E-05,4.60E-05,4.03E-05,3.93E-05,2.32E-05,3.38E-05,3.27E-05,2.74E-05,2.11E-05,2.64E-06,5.85E-05
9,4.46E-05,4.35E-05,3.77E-05,3.64E-05,1.95E-05,3.10E-05,2.95E-05,2.44E-05,1.82E-05,1.60E-06,5.72E-05
10,4.25E-05,4.11E-05,3.53E-05,3.37E-05,1.63E-05,2.84E-05,2.67E-05,2.18E-05,1.57E-05,9.49E-07,5.61E-05
11,4.06E-05,3.88E-05,3.31E-05,3.12E-05,1.35E-05,2.60E-05,2.41E-05,1.95E-05,1.35E-05,5.53E-07,5.49E-05
12,3.88E-05,3.66E-05,3.11E-05,2.89E-05,1.11E-05,2.40E-05,2.18E-05,1.75E-05,1.17E-05,3.17E-07,5.39E-05
13,3.72E-05,3.45E-05,2.93E-05,2.67E-05,9.07E-06,2.21E-05,1.97E-05,1.57E-05,1.02E-05,1.79E-07,5.28E-05
14,3.57E-05,3.26E-05,2.77E-05,2.48E-05,7.36E-06,2.05E-05,1.79E-05,1.42E-05,8.97E-06,9.98E-08,5.19E-05
15,3.43E-05,3.08E-05,2.63E-05,2.30E-05,5.95E-06,1.91E-05,1.62E-05,1.29E-05,7.90E-06,5.48E-08,5.11E-05
16,3.31E-05,2.91E-05,2.50E-05,2.14E-05,4.78E-06,1.78E-05,1.48E-05,1.18E-05,7.01E-06,2.98E-08,5.03E-05
17,3.20E-05,2.76E-05,2.38E-05,1.99E-05,3.82E-06,1.67E-05,1.35E-05,1.08E-05,6.26E-06,1.60E-08,4.96E-05
18,3.11E-05,2.62E-05,2.29E-05,1.86E-05,3.05E-06,1.58E-05,1.23E-05,1.00E-05,5.64E-06,8.53E-09,4.90E-05
19,3.03E-05,2.49E-05,2.20E-05,1.74E-05,2.42E-06,1.50E-05,1.13E-05,9.32E-06,5.11E-06,4.51E-09,4.86E-05
