Strategy_Type,p1,p2,p3,p4
stra.133,0.01,0.1,0.1,0.01
stra.134,0.01,0.1,0.1,0.1
stra.135,0.01,0.1,0.1,0.2
stra.136,0.01,0.1,0.1,0.3
stra.137,0.01,0.1,0.1,0.4
stra.138,0.01,0.1,0.1,0.5
stra.139,0.01,0.1,0.1,0.6
stra.140,0.01,0.1,0.1,0.7
stra.141,0.01,0.1,0.1,0.8
stra.142,0.01,0.1,0.1,0.9
stra.143,0.01,0.1,0.1,0.99
stra.144,0.01,0.1,0.2,0.01
stra.145,0.01,0.1,0.2,0.1
stra.146,0.01,0.1,0.2,0.2
stra.147,0.01,0.1,0.2,0.3
stra.148,0.01,0.1,0.2,0.4
stra.149,0.01,0.1,0.2,0.5
stra.150,0.01,0.1,0.2,0.6
stra.151,0.01,0.1,0.2,0.7
stra.152,0.01,0.1,0.2,0.8
stra.153,0.01,0.1,0.2,0.9
stra.154,0.01,0.1,0.2,0.99
stra.155,0.01,0.1,0.3,0.01
stra.156,0.01,0.1,0.3,0.1
stra.157,0.01,0.1,0.3,0.2
stra.158,0.01,0.1,0.3,0.3
stra.159,0.01,0.1,0.3,0.4
stra.160,0.01,0.1,0.3,0.5
stra.161,0.01,0.1,0.3,0.6
stra.162,0.01,0.1,0.3,0.7
stra.163,0.01,0.1,0.3,0.8
stra.164,0.01,0.1,0.3,0.9
stra.165,0.01,0.1,0.3,0.99
stra.166,0.01,0.1,0.4,0.01
stra.167,0.01,0.1,0.4,0.1
stra.168,0.01,0.1,0.4,0.2
stra.169,0.01,0.1,0.4,0.3
stra.170,0.01,0.1,0.4,0.4
stra.171,0.01,0.1,0.4,0.5
stra.172,0.01,0.1,0.4,0.6
stra.173,0.01,0.1,0.4,0.7
stra.174,0.01,0.1,0.4,0.8
stra.175,0.01,0.1,0.4,0.9
stra.176,0.01,0.1,0.4,0.99
stra.177,0.01,0.1,0.5,0.01
stra.178,0.01,0.1,0.5,0.1
stra.179,0.01,0.1,0.5,0.2
stra.180,0.01,0.1,0.5,0.3
stra.181,0.01,0.1,0.5,0.4
stra.182,0.01,0.1,0.5,0.5
stra.183,0.01,0.1,0.5,0.6
stra.184,0.01,0.1,0.5,0.7
stra.185,0.01,0.1,0.5,0.8
stra.186,0.01,0.1,0.5,0.9
stra.187,0.01,0.1,0.5,0.99
stra.188,0.01,0.1,0.6,0.01
stra.189,0.01,0.1,0.6,0.1
stra.190,0.01,0.1,0.6,0.2
stra.191,0.01,0.1,0.6,0.3
stra.192,0.01,0.1,0.6,0.4
stra.193,0.01,0.1,0.6,0.5
stra.194,0.01,0.1,0.6,0.6
stra.195,0.01,0.1,0.6,0.7
stra.196,0.01,0.1,0.6,0.8
stra.197,0.01,0.1,0.6,0.9
stra.198,0.01,0.1,0.6,0.99
stra.199,0.01,0.1,0.7,0.01
stra.200,0.01,0.1,0.7,0.1
stra.201,0.01,0.1,0.7,0.2
stra.202,0.01,0.1,0.7,0.3
stra.203,0.01,0.1,0.7,0.4
stra.204,0.01,0.1,0.7,0.5
stra.205,0.01,0.1,0.7,0.6
stra.206,0.01,0.1,0.7,0.7
stra.207,0.01,0.1,0.7,0.8
stra.208,0.01,0.1,0.7,0.9
stra.209,0.01,0.1,0.7,0.99
stra.210,0.01,0.1,0.8,0.01
stra.211,0.01,0.1,0.8,0.1
stra.212,0.01,0.1,0.8,0.2
stra.213,0.01,0.1,0.8,0.3
stra.214,0.01,0.1,0.8,0.4
stra.215,0.01,0.1,0.8,0.5
stra.216,0.01,0.1,0.8,0.6
stra.217,0.01,0.1,0.8,0.7
stra.218,0.01,0.1,0.8,0.8
stra.219,0.01,0.1,0.8,0.9
stra.220,0.01,0.1,0.8,0.99
stra.221,0.01,0.1,0.9,0.01
stra.222,0.01,0.1,0.9,0.1
stra.223,0.01,0.1,0.9,0.2
stra.224,0.01,0.1,0.9,0.3
stra.225,0.01,0.1,0.9,0.4
stra.226,0.01,0.1,0.9,0.5
stra.227,0.01,0.1,0.9,0.6
stra.228,0.01,0.1,0.9,0.7
stra.229,0.01,0.1,0.9,0.8
stra.230,0.01,0.1,0.9,0.9
stra.231,0.01,0.1,0.9,0.99
stra.232,0.01,0.1,0.99,0.01
stra.233,0.01,0.1,0.99,0.1
stra.234,0.01,0.1,0.99,0.2
stra.235,0.01,0.1,0.99,0.3
stra.236,0.01,0.1,0.99,0.4
stra.237,0.01,0.1,0.99,0.5
stra.238,0.01,0.1,0.99,0.6
stra.239,0.01,0.1,0.99,0.7
stra.240,0.01,0.1,0.99,0.8
stra.241,0.01,0.1,0.99,0.9
stra.242,0.01,0.1,0.99,0.99
stra.243,0.01,0.2,0.01,0.01
stra.244,0.01,0.2,0.01,0.1
stra.245,0.01,0.2,0.01,0.2
stra.246,0.01,0.2,0.01,0.3
stra.247,0.01,0.2,0.01,0.4
stra.248,0.01,0.2,0.01,0.5
stra.249,0.01,0.2,0.01,0.6
stra.250,0.01,0.2,0.01,0.7
