Strategy_Type,p1,p2,p3,p4
stra.4128,0.3,0.1,0.1,0.2
stra.4129,0.3,0.1,0.1,0.3
stra.4130,0.3,0.1,0.1,0.4
stra.4131,0.3,0.1,0.1,0.5
stra.4132,0.3,0.1,0.1,0.6
stra.4133,0.3,0.1,0.1,0.7
stra.4134,0.3,0.1,0.1,0.8
stra.4135,0.3,0.1,0.1,0.9
stra.4136,0.3,0.1,0.1,0.99
stra.4137,0.3,0.1,0.2,0.01
stra.4138,0.3,0.1,0.2,0.1
stra.4139,0.3,0.1,0.2,0.2
stra.4140,0.3,0.1,0.2,0.3
stra.4141,0.3,0.1,0.2,0.4
stra.4142,0.3,0.1,0.2,0.5
stra.4143,0.3,0.1,0.2,0.6
stra.4144,0.3,0.1,0.2,0.7
stra.4145,0.3,0.1,0.2,0.8
stra.4146,0.3,0.1,0.2,0.9
stra.4147,0.3,0.1,0.2,0.99
stra.4148,0.3,0.1,0.3,0.01
stra.4149,0.3,0.1,0.3,0.1
stra.4150,0.3,0.1,0.3,0.2
stra.4151,0.3,0.1,0.3,0.3
stra.4152,0.3,0.1,0.3,0.4
stra.4153,0.3,0.1,0.3,0.5
stra.4154,0.3,0.1,0.3,0.6
stra.4155,0.3,0.1,0.3,0.7
stra.4156,0.3,0.1,0.3,0.8
stra.4157,0.3,0.1,0.3,0.9
stra.4158,0.3,0.1,0.3,0.99
stra.4159,0.3,0.1,0.4,0.01
stra.4160,0.3,0.1,0.4,0.1
stra.4161,0.3,0.1,0.4,0.2
stra.4162,0.3,0.1,0.4,0.3
stra.4163,0.3,0.1,0.4,0.4
stra.4164,0.3,0.1,0.4,0.5
stra.4165,0.3,0.1,0.4,0.6
stra.4166,0.3,0.1,0.4,0.7
stra.4167,0.3,0.1,0.4,0.8
stra.4168,0.3,0.1,0.4,0.9
stra.4169,0.3,0.1,0.4,0.99
stra.4170,0.3,0.1,0.5,0.01
stra.4171,0.3,0.1,0.5,0.1
stra.4172,0.3,0.1,0.5,0.2
stra.4173,0.3,0.1,0.5,0.3
stra.4174,0.3,0.1,0.5,0.4
stra.4175,0.3,0.1,0.5,0.5
stra.4176,0.3,0.1,0.5,0.6
stra.4177,0.3,0.1,0.5,0.7
stra.4178,0.3,0.1,0.5,0.8
stra.4179,0.3,0.1,0.5,0.9
stra.4180,0.3,0.1,0.5,0.99
stra.4181,0.3,0.1,0.6,0.01
stra.4182,0.3,0.1,0.6,0.1
stra.4183,0.3,0.1,0.6,0.2
stra.4184,0.3,0.1,0.6,0.3
stra.4185,0.3,0.1,0.6,0.4
stra.4186,0.3,0.1,0.6,0.5
stra.4187,0.3,0.1,0.6,0.6
stra.4188,0.3,0.1,0.6,0.7
stra.4189,0.3,0.1,0.6,0.8
stra.4190,0.3,0.1,0.6,0.9
stra.4191,0.3,0.1,0.6,0.99
stra.4192,0.3,0.1,0.7,0.01
stra.4193,0.3,0.1,0.7,0.1
stra.4194,0.3,0.1,0.7,0.2
stra.4195,0.3,0.1,0.7,0.3
stra.4196,0.3,0.1,0.7,0.4
stra.4197,0.3,0.1,0.7,0.5
stra.4198,0.3,0.1,0.7,0.6
stra.4199,0.3,0.1,0.7,0.7
stra.4200,0.3,0.1,0.7,0.8
stra.4201,0.3,0.1,0.7,0.9
stra.4202,0.3,0.1,0.7,0.99
stra.4203,0.3,0.1,0.8,0.01
stra.4204,0.3,0.1,0.8,0.1
stra.4205,0.3,0.1,0.8,0.2
stra.4206,0.3,0.1,0.8,0.3
stra.4207,0.3,0.1,0.8,0.4
stra.4208,0.3,0.1,0.8,0.5
stra.4209,0.3,0.1,0.8,0.6
stra.4210,0.3,0.1,0.8,0.7
stra.4211,0.3,0.1,0.8,0.8
stra.4212,0.3,0.1,0.8,0.9
stra.4213,0.3,0.1,0.8,0.99
stra.4214,0.3,0.1,0.9,0.01
stra.4215,0.3,0.1,0.9,0.1
stra.4216,0.3,0.1,0.9,0.2
stra.4217,0.3,0.1,0.9,0.3
stra.4218,0.3,0.1,0.9,0.4
stra.4219,0.3,0.1,0.9,0.5
stra.4220,0.3,0.1,0.9,0.6
stra.4221,0.3,0.1,0.9,0.7
stra.4222,0.3,0.1,0.9,0.8
stra.4223,0.3,0.1,0.9,0.9
stra.4224,0.3,0.1,0.9,0.99
stra.4225,0.3,0.1,0.99,0.01
stra.4226,0.3,0.1,0.99,0.1
stra.4227,0.3,0.1,0.99,0.2
stra.4228,0.3,0.1,0.99,0.3
stra.4229,0.3,0.1,0.99,0.4
stra.4230,0.3,0.1,0.99,0.5
stra.4231,0.3,0.1,0.99,0.6
stra.4232,0.3,0.1,0.99,0.7
stra.4233,0.3,0.1,0.99,0.8
stra.4234,0.3,0.1,0.99,0.9
stra.4235,0.3,0.1,0.99,0.99
stra.4236,0.3,0.2,0.01,0.01
stra.4237,0.3,0.2,0.01,0.1
stra.4238,0.3,0.2,0.01,0.2
stra.4239,0.3,0.2,0.01,0.3
stra.4240,0.3,0.2,0.01,0.4
stra.4241,0.3,0.2,0.01,0.5
stra.4242,0.3,0.2,0.01,0.6
stra.4243,0.3,0.2,0.01,0.7
stra.4244,0.3,0.2,0.01,0.8
stra.4245,0.3,0.2,0.01,0.9
stra.4246,0.3,0.2,0.01,0.99
stra.4247,0.3,0.2,0.1,0.01
stra.4248,0.3,0.2,0.1,0.1
stra.4249,0.3,0.2,0.1,0.2
stra.4250,0.3,0.2,0.1,0.3
stra.4251,0.3,0.2,0.1,0.4
stra.4252,0.3,0.2,0.1,0.5
stra.4253,0.3,0.2,0.1,0.6
stra.4254,0.3,0.2,0.1,0.7
stra.4255,0.3,0.2,0.1,0.8
stra.4256,0.3,0.2,0.1,0.9
stra.4257,0.3,0.2,0.1,0.99
stra.4258,0.3,0.2,0.2,0.01
stra.4259,0.3,0.2,0.2,0.1
stra.4260,0.3,0.2,0.2,0.2
stra.4261,0.3,0.2,0.2,0.3
stra.4262,0.3,0.2,0.2,0.4
stra.4263,0.3,0.2,0.2,0.5
stra.4264,0.3,0.2,0.2,0.6
stra.4265,0.3,0.2,0.2,0.7
stra.4266,0.3,0.2,0.2,0.8
stra.4267,0.3,0.2,0.2,0.9
stra.4268,0.3,0.2,0.2,0.99
stra.4269,0.3,0.2,0.3,0.01
stra.4270,0.3,0.2,0.3,0.1
stra.4271,0.3,0.2,0.3,0.2
stra.4272,0.3,0.2,0.3,0.3
stra.4273,0.3,0.2,0.3,0.4
stra.4274,0.3,0.2,0.3,0.5
stra.4275,0.3,0.2,0.3,0.6
stra.4276,0.3,0.2,0.3,0.7
stra.4277,0.3,0.2,0.3,0.8
stra.4278,0.3,0.2,0.3,0.9
stra.4279,0.3,0.2,0.3,0.99
stra.4280,0.3,0.2,0.4,0.01
stra.4281,0.3,0.2,0.4,0.1
stra.4282,0.3,0.2,0.4,0.2
stra.4283,0.3,0.2,0.4,0.3
stra.4284,0.3,0.2,0.4,0.4
stra.4285,0.3,0.2,0.4,0.5
stra.4286,0.3,0.2,0.4,0.6
stra.4287,0.3,0.2,0.4,0.7
stra.4288,0.3,0.2,0.4,0.8
stra.4289,0.3,0.2,0.4,0.9
stra.4290,0.3,0.2,0.4,0.99
stra.4291,0.3,0.2,0.5,0.01
stra.4292,0.3,0.2,0.5,0.1
stra.4293,0.3,0.2,0.5,0.2
stra.4294,0.3,0.2,0.5,0.3
stra.4295,0.3,0.2,0.5,0.4
stra.4296,0.3,0.2,0.5,0.5
stra.4297,0.3,0.2,0.5,0.6
stra.4298,0.3,0.2,0.5,0.7
stra.4299,0.3,0.2,0.5,0.8
stra.4300,0.3,0.2,0.5,0.9
stra.4301,0.3,0.2,0.5,0.99
stra.4302,0.3,0.2,0.6,0.01
stra.4303,0.3,0.2,0.6,0.1
stra.4304,0.3,0.2,0.6,0.2
stra.4305,0.3,0.2,0.6,0.3
stra.4306,0.3,0.2,0.6,0.4
stra.4307,0.3,0.2,0.6,0.5
stra.4308,0.3,0.2,0.6,0.6
stra.4309,0.3,0.2,0.6,0.7
stra.4310,0.3,0.2,0.6,0.8
stra.4311,0.3,0.2,0.6,0.9
stra.4312,0.3,0.2,0.6,0.99
stra.4313,0.3,0.2,0.7,0.01
stra.4314,0.3,0.2,0.7,0.1
stra.4315,0.3,0.2,0.7,0.2
stra.4316,0.3,0.2,0.7,0.3
stra.4317,0.3,0.2,0.7,0.4
stra.4318,0.3,0.2,0.7,0.5
stra.4319,0.3,0.2,0.7,0.6
stra.4320,0.3,0.2,0.7,0.7
stra.4321,0.3,0.2,0.7,0.8
stra.4322,0.3,0.2,0.7,0.9
stra.4323,0.3,0.2,0.7,0.99
stra.4324,0.3,0.2,0.8,0.01
stra.4325,0.3,0.2,0.8,0.1
stra.4326,0.3,0.2,0.8,0.2
stra.4327,0.3,0.2,0.8,0.3
stra.4328,0.3,0.2,0.8,0.4
stra.4329,0.3,0.2,0.8,0.5
stra.4330,0.3,0.2,0.8,0.6
stra.4331,0.3,0.2,0.8,0.7
stra.4332,0.3,0.2,0.8,0.8
stra.4333,0.3,0.2,0.8,0.9
stra.4334,0.3,0.2,0.8,0.99
stra.4335,0.3,0.2,0.9,0.01
stra.4336,0.3,0.2,0.9,0.1
stra.4337,0.3,0.2,0.9,0.2
stra.4338,0.3,0.2,0.9,0.3
stra.4339,0.3,0.2,0.9,0.4
stra.4340,0.3,0.2,0.9,0.5
stra.4341,0.3,0.2,0.9,0.6
stra.4342,0.3,0.2,0.9,0.7
stra.4343,0.3,0.2,0.9,0.8
stra.4344,0.3,0.2,0.9,0.9
stra.4345,0.3,0.2,0.9,0.99
stra.4346,0.3,0.2,0.99,0.01
stra.4347,0.3,0.2,0.99,0.1
stra.4348,0.3,0.2,0.99,0.2
stra.4349,0.3,0.2,0.99,0.3
stra.4350,0.3,0.2,0.99,0.4
stra.4351,0.3,0.2,0.99,0.5
stra.4352,0.3,0.2,0.99,0.6
stra.4353,0.3,0.2,0.99,0.7
stra.4354,0.3,0.2,0.99,0.8
stra.4355,0.3,0.2,0.99,0.9
stra.4356,0.3,0.2,0.99,0.99
stra.4357,0.3,0.3,0.01,0.01
stra.4358,0.3,0.3,0.01,0.1
stra.4359,0.3,0.3,0.01,0.2
stra.4360,0.3,0.3,0.01,0.3
stra.4361,0.3,0.3,0.01,0.4
stra.4362,0.3,0.3,0.01,0.5
stra.4363,0.3,0.3,0.01,0.6
stra.4364,0.3,0.3,0.01,0.7
stra.4365,0.3,0.3,0.01,0.8
stra.4366,0.3,0.3,0.01,0.9
stra.4367,0.3,0.3,0.01,0.99
stra.4368,0.3,0.3,0.1,0.01
stra.4369,0.3,0.3,0.1,0.1
stra.4370,0.3,0.3,0.1,0.2
stra.4371,0.3,0.3,0.1,0.3
stra.4372,0.3,0.3,0.1,0.4
stra.4373,0.3,0.3,0.1,0.5
stra.4374,0.3,0.3,0.1,0.6
stra.4375,0.3,0.3,0.1,0.7
stra.4376,0.3,0.3,0.1,0.8
stra.4377,0.3,0.3,0.1,0.9
stra.4378,0.3,0.3,0.1,0.99
stra.4379,0.3,0.3,0.2,0.01
stra.4380,0.3,0.3,0.2,0.1
stra.4381,0.3,0.3,0.2,0.2
stra.4382,0.3,0.3,0.2,0.3
stra.4383,0.3,0.3,0.2,0.4
stra.4384,0.3,0.3,0.2,0.5
stra.4385,0.3,0.3,0.2,0.6
stra.4386,0.3,0.3,0.2,0.7
stra.4387,0.3,0.3,0.2,0.8
stra.4388,0.3,0.3,0.2,0.9
stra.4389,0.3,0.3,0.2,0.99
stra.4390,0.3,0.3,0.3,0.01
stra.4391,0.3,0.3,0.3,0.1
stra.4392,0.3,0.3,0.3,0.2
stra.4393,0.3,0.3,0.3,0.3
stra.4394,0.3,0.3,0.3,0.4
stra.4395,0.3,0.3,0.3,0.5
stra.4396,0.3,0.3,0.3,0.6
stra.4397,0.3,0.3,0.3,0.7
stra.4398,0.3,0.3,0.3,0.8
stra.4399,0.3,0.3,0.3,0.9
stra.4400,0.3,0.3,0.3,0.99
stra.4401,0.3,0.3,0.4,0.01
stra.4402,0.3,0.3,0.4,0.1
stra.4403,0.3,0.3,0.4,0.2
stra.4404,0.3,0.3,0.4,0.3
stra.4405,0.3,0.3,0.4,0.4
stra.4406,0.3,0.3,0.4,0.5
stra.4407,0.3,0.3,0.4,0.6
stra.4408,0.3,0.3,0.4,0.7
stra.4409,0.3,0.3,0.4,0.8
stra.4410,0.3,0.3,0.4,0.9
stra.4411,0.3,0.3,0.4,0.99
stra.4412,0.3,0.3,0.5,0.01
stra.4413,0.3,0.3,0.5,0.1
stra.4414,0.3,0.3,0.5,0.2
stra.4415,0.3,0.3,0.5,0.3
stra.4416,0.3,0.3,0.5,0.4
stra.4417,0.3,0.3,0.5,0.5
stra.4418,0.3,0.3,0.5,0.6
stra.4419,0.3,0.3,0.5,0.7
stra.4420,0.3,0.3,0.5,0.8
stra.4421,0.3,0.3,0.5,0.9
stra.4422,0.3,0.3,0.5,0.99
stra.4423,0.3,0.3,0.6,0.01
stra.4424,0.3,0.3,0.6,0.1
stra.4425,0.3,0.3,0.6,0.2
stra.4426,0.3,0.3,0.6,0.3
stra.4427,0.3,0.3,0.6,0.4
stra.4428,0.3,0.3,0.6,0.5
stra.4429,0.3,0.3,0.6,0.6
stra.4430,0.3,0.3,0.6,0.7
stra.4431,0.3,0.3,0.6,0.8
stra.4432,0.3,0.3,0.6,0.9
stra.4433,0.3,0.3,0.6,0.99
stra.4434,0.3,0.3,0.7,0.01
stra.4435,0.3,0.3,0.7,0.1
stra.4436,0.3,0.3,0.7,0.2
stra.4437,0.3,0.3,0.7,0.3
stra.4438,0.3,0.3,0.7,0.4
stra.4439,0.3,0.3,0.7,0.5
stra.4440,0.3,0.3,0.7,0.6
stra.4441,0.3,0.3,0.7,0.7
stra.4442,0.3,0.3,0.7,0.8
stra.4443,0.3,0.3,0.7,0.9
stra.4444,0.3,0.3,0.7,0.99
stra.4445,0.3,0.3,0.8,0.01
stra.4446,0.3,0.3,0.8,0.1
stra.4447,0.3,0.3,0.8,0.2
stra.4448,0.3,0.3,0.8,0.3
stra.4449,0.3,0.3,0.8,0.4
stra.4450,0.3,0.3,0.8,0.5
stra.4451,0.3,0.3,0.8,0.6
stra.4452,0.3,0.3,0.8,0.7
stra.4453,0.3,0.3,0.8,0.8
stra.4454,0.3,0.3,0.8,0.9
stra.4455,0.3,0.3,0.8,0.99
stra.4456,0.3,0.3,0.9,0.01
stra.4457,0.3,0.3,0.9,0.1
stra.4458,0.3,0.3,0.9,0.2
stra.4459,0.3,0.3,0.9,0.3
stra.4460,0.3,0.3,0.9,0.4
stra.4461,0.3,0.3,0.9,0.5
stra.4462,0.3,0.3,0.9,0.6
stra.4463,0.3,0.3,0.9,0.7
stra.4464,0.3,0.3,0.9,0.8
stra.4465,0.3,0.3,0.9,0.9
stra.4466,0.3,0.3,0.9,0.99
stra.4467,0.3,0.3,0.99,0.01
stra.4468,0.3,0.3,0.99,0.1
stra.4469,0.3,0.3,0.99,0.2
stra.4470,0.3,0.3,0.99,0.3
stra.4471,0.3,0.3,0.99,0.4
stra.4472,0.3,0.3,0.99,0.5
stra.4473,0.3,0.3,0.99,0.6
stra.4474,0.3,0.3,0.99,0.7
stra.4475,0.3,0.3,0.99,0.8
stra.4476,0.3,0.3,0.99,0.9
stra.4477,0.3,0.3,0.99,0.99
stra.4478,0.3,0.4,0.01,0.01
stra.4479,0.3,0.4,0.01,0.1
stra.4480,0.3,0.4,0.01,0.2
stra.4481,0.3,0.4,0.01,0.3
stra.4482,0.3,0.4,0.01,0.4
stra.4483,0.3,0.4,0.01,0.5
stra.4484,0.3,0.4,0.01,0.6
stra.4485,0.3,0.4,0.01,0.7
stra.4486,0.3,0.4,0.01,0.8
stra.4487,0.3,0.4,0.01,0.9
stra.4488,0.3,0.4,0.01,0.99
stra.4489,0.3,0.4,0.1,0.01
stra.4490,0.3,0.4,0.1,0.1
stra.4491,0.3,0.4,0.1,0.2
stra.4492,0.3,0.4,0.1,0.3
stra.4493,0.3,0.4,0.1,0.4
stra.4494,0.3,0.4,0.1,0.5
stra.4495,0.3,0.4,0.1,0.6
stra.4496,0.3,0.4,0.1,0.7
stra.4497,0.3,0.4,0.1,0.8
stra.4498,0.3,0.4,0.1,0.9
stra.4499,0.3,0.4,0.1,0.99
stra.4500,0.3,0.4,0.2,0.01
stra.4501,0.3,0.4,0.2,0.1
stra.4502,0.3,0.4,0.2,0.2
stra.4503,0.3,0.4,0.2,0.3
stra.4504,0.3,0.4,0.2,0.4
stra.4505,0.3,0.4,0.2,0.5
stra.4506,0.3,0.4,0.2,0.6
stra.4507,0.3,0.4,0.2,0.7
stra.4508,0.3,0.4,0.2,0.8
stra.4509,0.3,0.4,0.2,0.9
stra.4510,0.3,0.4,0.2,0.99
stra.4511,0.3,0.4,0.3,0.01
stra.4512,0.3,0.4,0.3,0.1
stra.4513,0.3,0.4,0.3,0.2
stra.4514,0.3,0.4,0.3,0.3
stra.4515,0.3,0.4,0.3,0.4
stra.4516,0.3,0.4,0.3,0.5
stra.4517,0.3,0.4,0.3,0.6
stra.4518,0.3,0.4,0.3,0.7
stra.4519,0.3,0.4,0.3,0.8
stra.4520,0.3,0.4,0.3,0.9
stra.4521,0.3,0.4,0.3,0.99
stra.4522,0.3,0.4,0.4,0.01
stra.4523,0.3,0.4,0.4,0.1
stra.4524,0.3,0.4,0.4,0.2
stra.4525,0.3,0.4,0.4,0.3
stra.4526,0.3,0.4,0.4,0.4
stra.4527,0.3,0.4,0.4,0.5
stra.4528,0.3,0.4,0.4,0.6
stra.4529,0.3,0.4,0.4,0.7
stra.4530,0.3,0.4,0.4,0.8
stra.4531,0.3,0.4,0.4,0.9
stra.4532,0.3,0.4,0.4,0.99
stra.4533,0.3,0.4,0.5,0.01
stra.4534,0.3,0.4,0.5,0.1
stra.4535,0.3,0.4,0.5,0.2
stra.4536,0.3,0.4,0.5,0.3
stra.4537,0.3,0.4,0.5,0.4
stra.4538,0.3,0.4,0.5,0.5
stra.4539,0.3,0.4,0.5,0.6
stra.4540,0.3,0.4,0.5,0.7
stra.4541,0.3,0.4,0.5,0.8
stra.4542,0.3,0.4,0.5,0.9
stra.4543,0.3,0.4,0.5,0.99
stra.4544,0.3,0.4,0.6,0.01
stra.4545,0.3,0.4,0.6,0.1
stra.4546,0.3,0.4,0.6,0.2
stra.4547,0.3,0.4,0.6,0.3
stra.4548,0.3,0.4,0.6,0.4
stra.4549,0.3,0.4,0.6,0.5
stra.4550,0.3,0.4,0.6,0.6
stra.4551,0.3,0.4,0.6,0.7
stra.4552,0.3,0.4,0.6,0.8
stra.4553,0.3,0.4,0.6,0.9
stra.4554,0.3,0.4,0.6,0.99
stra.4555,0.3,0.4,0.7,0.01
stra.4556,0.3,0.4,0.7,0.1
stra.4557,0.3,0.4,0.7,0.2
stra.4558,0.3,0.4,0.7,0.3
stra.4559,0.3,0.4,0.7,0.4
stra.4560,0.3,0.4,0.7,0.5
stra.4561,0.3,0.4,0.7,0.6
stra.4562,0.3,0.4,0.7,0.7
stra.4563,0.3,0.4,0.7,0.8
stra.4564,0.3,0.4,0.7,0.9
stra.4565,0.3,0.4,0.7,0.99
stra.4566,0.3,0.4,0.8,0.01
stra.4567,0.3,0.4,0.8,0.1
stra.4568,0.3,0.4,0.8,0.2
stra.4569,0.3,0.4,0.8,0.3
stra.4570,0.3,0.4,0.8,0.4
stra.4571,0.3,0.4,0.8,0.5
stra.4572,0.3,0.4,0.8,0.6
stra.4573,0.3,0.4,0.8,0.7
stra.4574,0.3,0.4,0.8,0.8
stra.4575,0.3,0.4,0.8,0.9
stra.4576,0.3,0.4,0.8,0.99
stra.4577,0.3,0.4,0.9,0.01
stra.4578,0.3,0.4,0.9,0.1
stra.4579,0.3,0.4,0.9,0.2
stra.4580,0.3,0.4,0.9,0.3
stra.4581,0.3,0.4,0.9,0.4
stra.4582,0.3,0.4,0.9,0.5
stra.4583,0.3,0.4,0.9,0.6
stra.4584,0.3,0.4,0.9,0.7
stra.4585,0.3,0.4,0.9,0.8
stra.4586,0.3,0.4,0.9,0.9
stra.4587,0.3,0.4,0.9,0.99
stra.4588,0.3,0.4,0.99,0.01
stra.4589,0.3,0.4,0.99,0.1
stra.4590,0.3,0.4,0.99,0.2
stra.4591,0.3,0.4,0.99,0.3
stra.4592,0.3,0.4,0.99,0.4
stra.4593,0.3,0.4,0.99,0.5
stra.4594,0.3,0.4,0.99,0.6
stra.4595,0.3,0.4,0.99,0.7
stra.4596,0.3,0.4,0.99,0.8
stra.4597,0.3,0.4,0.99,0.9
stra.4598,0.3,0.4,0.99,0.99
stra.4599,0.3,0.5,0.01,0.01
stra.4600,0.3,0.5,0.01,0.1
stra.4601,0.3,0.5,0.01,0.2
stra.4602,0.3,0.5,0.01,0.3
stra.4603,0.3,0.5,0.01,0.4
stra.4604,0.3,0.5,0.01,0.5
stra.4605,0.3,0.5,0.01,0.6
stra.4606,0.3,0.5,0.01,0.7
stra.4607,0.3,0.5,0.01,0.8
stra.4608,0.3,0.5,0.01,0.9
stra.4609,0.3,0.5,0.01,0.99
stra.4610,0.3,0.5,0.1,0.01
stra.4611,0.3,0.5,0.1,0.1
stra.4612,0.3,0.5,0.1,0.2
stra.4613,0.3,0.5,0.1,0.3
stra.4614,0.3,0.5,0.1,0.4
stra.4615,0.3,0.5,0.1,0.5
stra.4616,0.3,0.5,0.1,0.6
stra.4617,0.3,0.5,0.1,0.7
stra.4618,0.3,0.5,0.1,0.8
stra.4619,0.3,0.5,0.1,0.9
stra.4620,0.3,0.5,0.1,0.99
stra.4621,0.3,0.5,0.2,0.01
stra.4622,0.3,0.5,0.2,0.1
stra.4623,0.3,0.5,0.2,0.2
stra.4624,0.3,0.5,0.2,0.3
stra.4625,0.3,0.5,0.2,0.4
stra.4626,0.3,0.5,0.2,0.5
stra.4627,0.3,0.5,0.2,0.6
stra.4628,0.3,0.5,0.2,0.7
stra.4629,0.3,0.5,0.2,0.8
stra.4630,0.3,0.5,0.2,0.9
stra.4631,0.3,0.5,0.2,0.99
stra.4632,0.3,0.5,0.3,0.01
stra.4633,0.3,0.5,0.3,0.1
stra.4634,0.3,0.5,0.3,0.2
stra.4635,0.3,0.5,0.3,0.3
stra.4636,0.3,0.5,0.3,0.4
stra.4637,0.3,0.5,0.3,0.5
stra.4638,0.3,0.5,0.3,0.6
stra.4639,0.3,0.5,0.3,0.7
stra.4640,0.3,0.5,0.3,0.8
stra.4641,0.3,0.5,0.3,0.9
stra.4642,0.3,0.5,0.3,0.99
stra.4643,0.3,0.5,0.4,0.01
stra.4644,0.3,0.5,0.4,0.1
stra.4645,0.3,0.5,0.4,0.2
stra.4646,0.3,0.5,0.4,0.3
stra.4647,0.3,0.5,0.4,0.4
stra.4648,0.3,0.5,0.4,0.5
stra.4649,0.3,0.5,0.4,0.6
stra.4650,0.3,0.5,0.4,0.7
stra.4651,0.3,0.5,0.4,0.8
stra.4652,0.3,0.5,0.4,0.9
stra.4653,0.3,0.5,0.4,0.99
stra.4654,0.3,0.5,0.5,0.01
stra.4655,0.3,0.5,0.5,0.1
stra.4656,0.3,0.5,0.5,0.2
stra.4657,0.3,0.5,0.5,0.3
stra.4658,0.3,0.5,0.5,0.4
stra.4659,0.3,0.5,0.5,0.5
stra.4660,0.3,0.5,0.5,0.6
stra.4661,0.3,0.5,0.5,0.7
stra.4662,0.3,0.5,0.5,0.8
stra.4663,0.3,0.5,0.5,0.9
stra.4664,0.3,0.5,0.5,0.99
stra.4665,0.3,0.5,0.6,0.01
stra.4666,0.3,0.5,0.6,0.1
stra.4667,0.3,0.5,0.6,0.2
stra.4668,0.3,0.5,0.6,0.3
stra.4669,0.3,0.5,0.6,0.4
stra.4670,0.3,0.5,0.6,0.5
stra.4671,0.3,0.5,0.6,0.6
stra.4672,0.3,0.5,0.6,0.7
stra.4673,0.3,0.5,0.6,0.8
stra.4674,0.3,0.5,0.6,0.9
stra.4675,0.3,0.5,0.6,0.99
stra.4676,0.3,0.5,0.7,0.01
stra.4677,0.3,0.5,0.7,0.1
stra.4678,0.3,0.5,0.7,0.2
stra.4679,0.3,0.5,0.7,0.3
stra.4680,0.3,0.5,0.7,0.4
stra.4681,0.3,0.5,0.7,0.5
stra.4682,0.3,0.5,0.7,0.6
stra.4683,0.3,0.5,0.7,0.7
stra.4684,0.3,0.5,0.7,0.8
stra.4685,0.3,0.5,0.7,0.9
stra.4686,0.3,0.5,0.7,0.99
stra.4687,0.3,0.5,0.8,0.01
stra.4688,0.3,0.5,0.8,0.1
stra.4689,0.3,0.5,0.8,0.2
stra.4690,0.3,0.5,0.8,0.3
stra.4691,0.3,0.5,0.8,0.4
stra.4692,0.3,0.5,0.8,0.5
stra.4693,0.3,0.5,0.8,0.6
stra.4694,0.3,0.5,0.8,0.7
stra.4695,0.3,0.5,0.8,0.8
stra.4696,0.3,0.5,0.8,0.9
stra.4697,0.3,0.5,0.8,0.99
stra.4698,0.3,0.5,0.9,0.01
stra.4699,0.3,0.5,0.9,0.1
stra.4700,0.3,0.5,0.9,0.2
stra.4701,0.3,0.5,0.9,0.3
stra.4702,0.3,0.5,0.9,0.4
stra.4703,0.3,0.5,0.9,0.5
stra.4704,0.3,0.5,0.9,0.6
stra.4705,0.3,0.5,0.9,0.7
stra.4706,0.3,0.5,0.9,0.8
stra.4707,0.3,0.5,0.9,0.9
stra.4708,0.3,0.5,0.9,0.99
stra.4709,0.3,0.5,0.99,0.01
stra.4710,0.3,0.5,0.99,0.1
stra.4711,0.3,0.5,0.99,0.2
stra.4712,0.3,0.5,0.99,0.3
stra.4713,0.3,0.5,0.99,0.4
stra.4714,0.3,0.5,0.99,0.5
stra.4715,0.3,0.5,0.99,0.6
stra.4716,0.3,0.5,0.99,0.7
stra.4717,0.3,0.5,0.99,0.8
stra.4718,0.3,0.5,0.99,0.9
stra.4719,0.3,0.5,0.99,0.99
stra.4720,0.3,0.6,0.01,0.01
stra.4721,0.3,0.6,0.01,0.1
stra.4722,0.3,0.6,0.01,0.2
stra.4723,0.3,0.6,0.01,0.3
stra.4724,0.3,0.6,0.01,0.4
stra.4725,0.3,0.6,0.01,0.5
stra.4726,0.3,0.6,0.01,0.6
stra.4727,0.3,0.6,0.01,0.7
stra.4728,0.3,0.6,0.01,0.8
stra.4729,0.3,0.6,0.01,0.9
stra.4730,0.3,0.6,0.01,0.99
stra.4731,0.3,0.6,0.1,0.01
stra.4732,0.3,0.6,0.1,0.1
stra.4733,0.3,0.6,0.1,0.2
stra.4734,0.3,0.6,0.1,0.3
stra.4735,0.3,0.6,0.1,0.4
stra.4736,0.3,0.6,0.1,0.5
stra.4737,0.3,0.6,0.1,0.6
stra.4738,0.3,0.6,0.1,0.7
stra.4739,0.3,0.6,0.1,0.8
stra.4740,0.3,0.6,0.1,0.9
stra.4741,0.3,0.6,0.1,0.99
stra.4742,0.3,0.6,0.2,0.01
stra.4743,0.3,0.6,0.2,0.1
stra.4744,0.3,0.6,0.2,0.2
stra.4745,0.3,0.6,0.2,0.3
stra.4746,0.3,0.6,0.2,0.4
stra.4747,0.3,0.6,0.2,0.5
stra.4748,0.3,0.6,0.2,0.6
stra.4749,0.3,0.6,0.2,0.7
stra.4750,0.3,0.6,0.2,0.8
stra.4751,0.3,0.6,0.2,0.9
stra.4752,0.3,0.6,0.2,0.99
stra.4753,0.3,0.6,0.3,0.01
stra.4754,0.3,0.6,0.3,0.1
stra.4755,0.3,0.6,0.3,0.2
stra.4756,0.3,0.6,0.3,0.3
stra.4757,0.3,0.6,0.3,0.4
stra.4758,0.3,0.6,0.3,0.5
stra.4759,0.3,0.6,0.3,0.6
stra.4760,0.3,0.6,0.3,0.7
stra.4761,0.3,0.6,0.3,0.8
stra.4762,0.3,0.6,0.3,0.9
