name,stra.14151,stra.14152,stra.14153,stra.14269,stra.14392,stra.14394,stra.14511,stra.14517,stra.14520,stra.14642,stra.13321
613500,5.36E-31,1.83E-28,0.000292752,1.73E-45,0.0556076,0.275097,0.019526,0.0195172,0.0921002,0.440583,1.5E-323
613600,5.01E-31,1.71E-28,0.000274273,1.67E-45,0.0556683,0.275622,0.0196418,0.019678,0.0927158,0.438374,1.5E-323
613700,4.68E-31,1.60E-28,0.000256898,1.61E-45,0.0555106,0.274935,0.0196209,0.0196792,0.0925505,0.439486,1.5E-323
613800,4.38E-31,1.49E-28,0.000240534,1.56E-45,0.055564,0.275303,0.0197391,0.0198254,0.0930766,0.438161,1.5E-323
613900,4.08E-31,1.39E-28,0.000224575,1.50E-45,0.0553692,0.27445,0.0197514,0.0198659,0.093107,0.436206,1.5E-323
614000,3.82E-31,1.31E-28,0.000210996,1.46E-45,0.0554879,0.27516,0.0198666,0.0200086,0.0936184,0.435882,1.5E-323
614100,3.57E-31,1.22E-28,0.000197722,1.41E-45,0.0554583,0.275145,0.0199217,0.0200945,0.0938586,0.435293,1.5E-323
614200,3.34E-31,1.14E-28,0.000185272,1.36E-45,0.0553508,0.274822,0.0199342,0.0201485,0.0939618,0.433957,1.5E-323
614300,3.12E-31,1.07E-28,0.000173831,1.32E-45,0.0553078,0.274728,0.0199599,0.0201984,0.0940298,0.43522,1.5E-323
614400,2.93E-31,1.01E-28,0.000163155,1.28E-45,0.0553434,0.275016,0.0200169,0.0202789,0.0942297,0.433453,1.5E-323
614500,2.74E-31,9.43E-29,0.000153264,1.24E-45,0.0552873,0.274738,0.0199864,0.0202542,0.0938948,0.434278,1.5E-323
614600,2.57E-31,8.84E-29,0.000143869,1.20E-45,0.0551914,0.274218,0.0199345,0.0201975,0.0934105,0.435608,1.5E-323
614700,2.41E-31,8.30E-29,0.000135271,1.16E-45,0.0551649,0.274287,0.0199055,0.0202019,0.0932607,0.435333,1.5E-323
614800,2.26E-31,7.78E-29,0.00012697,1.12E-45,0.0550705,0.273919,0.0198509,0.0201663,0.0929041,0.436204,1.5E-323
614900,2.12E-31,7.30E-29,0.000119332,1.09E-45,0.0549881,0.273667,0.0197523,0.020089,0.0923764,0.436279,1.5E-323
615000,1.98E-31,6.85E-29,0.000112132,1.05E-45,0.0548494,0.2731,0.0196102,0.019969,0.0916381,0.43712,1.5E-323
615100,1.86E-31,6.45E-29,0.000105645,1.02E-45,0.054887,0.273393,0.0195501,0.0199268,0.0912466,0.439153,1.5E-323
615200,1.75E-31,6.07E-29,9.96E-05,9.93E-46,0.0551711,0.275029,0.0196491,0.0200607,0.0916997,0.43817,1.5E-323
615300,1.64E-31,5.70E-29,9.36E-05,9.63E-46,0.0552881,0.275773,0.0196779,0.0201145,0.0917718,0.436102,1.5E-323
615400,1.54E-31,5.35E-29,8.80E-05,9.33E-46,0.0551431,0.275097,0.019535,0.0199781,0.0909621,0.437902,1.5E-323
615500,1.44E-31,5.01E-29,8.26E-05,9.02E-46,0.0549464,0.274264,0.0193885,0.0198529,0.0902267,0.439878,1.5E-323
615600,1.35E-31,4.71E-29,7.77E-05,8.76E-46,0.0550649,0.27501,0.0194238,0.0199092,0.0903175,0.440882,1.5E-323
615700,1.27E-31,4.41E-29,7.29E-05,8.47E-46,0.0550444,0.275066,0.019404,0.0199132,0.0901656,0.438975,1.5E-323
615800,1.18E-31,4.13E-29,6.83E-05,8.20E-46,0.0549743,0.274774,0.0193553,0.0198722,0.0897915,0.439279,1.5E-323
615900,1.11E-31,3.87E-29,6.41E-05,7.94E-46,0.0549275,0.274649,0.0193049,0.019839,0.0894672,0.440556,1.5E-323
